,date,symbol,open,close,low,high,volume
483,2010-01-04,IVZ,23.57,23.34,23.15,23.58,4254200.0
951,2010-01-05,IVZ,23.309998999999998,23.469998999999998,23.23,23.549999,2711400.0
1419,2010-01-06,IVZ,23.41,22.98,22.969998999999998,23.440001000000002,3562500.0
1887,2010-01-07,IVZ,22.93,23.049999,22.77,23.1,2739000.0
2355,2010-01-08,IVZ,22.85,22.92,22.65,23.030001000000002,2378900.0
2823,2010-01-11,IVZ,22.98,23.629998999999998,22.98,23.700001,2405000.0
3291,2010-01-12,IVZ,23.459999,23.290001,23.01,23.700001,2053200.0
3759,2010-01-13,IVZ,23.450001,23.379998999999998,23.15,23.68,3122000.0
4227,2010-01-14,IVZ,23.309998999999998,23.0,22.780001000000002,23.35,3551900.0
4695,2010-01-15,IVZ,22.799999,22.709999,22.49,22.99,2528600.0
5163,2010-01-19,IVZ,22.67,23.030001000000002,22.530001000000002,23.200001,1990700.0
5631,2010-01-20,IVZ,22.9,22.41,22.26,22.9,2734500.0
6099,2010-01-21,IVZ,22.4,21.450001,21.450001,22.6,4307700.0
6567,2010-01-22,IVZ,21.469998999999998,20.83,20.76,21.66,4648400.0
7035,2010-01-25,IVZ,21.25,21.17,20.93,21.459999,3708300.0
7503,2010-01-26,IVZ,20.84,20.33,20.32,21.040001,4312800.0
7971,2010-01-27,IVZ,20.459999,21.690001000000002,20.27,21.690001000000002,8292400.0
8439,2010-01-28,IVZ,21.84,20.209999,20.040001,21.84,10000600.0
8907,2010-01-29,IVZ,20.66,19.299999,19.110001,20.66,9763000.0
9375,2010-02-01,IVZ,19.290001,20.049999,19.26,20.120001000000002,6031500.0
9843,2010-02-02,IVZ,20.08,20.24,19.83,20.360001,4188800.0
10311,2010-02-03,IVZ,19.98,19.57,19.450001,20.290001,3762000.0
10779,2010-02-04,IVZ,19.35,18.59,18.549999,19.540001,6453900.0
11247,2010-02-05,IVZ,18.780001000000002,18.58,17.74,19.1,8635300.0
11715,2010-02-08,IVZ,18.549999,18.32,18.309998999999998,19.110001,4827400.0
12183,2010-02-09,IVZ,18.66,18.610001,18.51,19.17,7248200.0
12651,2010-02-10,IVZ,18.530001000000002,18.75,18.530001000000002,18.99,5659000.0
13119,2010-02-11,IVZ,18.780001000000002,18.51,18.32,18.780001000000002,5129100.0
13587,2010-02-12,IVZ,18.299999,18.440001000000002,18.049999,18.5,3609900.0
14055,2010-02-16,IVZ,18.709999,19.139999,18.52,19.16,3922700.0
14523,2010-02-17,IVZ,19.290001,19.16,19.059998999999998,19.379998999999998,3683800.0
14991,2010-02-18,IVZ,19.219998999999998,19.49,19.049999,19.540001,3742300.0
15459,2010-02-19,IVZ,19.32,19.540001,19.16,19.68,3372000.0
15927,2010-02-22,IVZ,19.620001000000002,19.620001000000002,19.450001,19.77,3579700.0
16395,2010-02-23,IVZ,19.59,19.049999,18.98,19.68,4224000.0
16863,2010-02-24,IVZ,19.17,19.549999,19.129998999999998,19.629998999999998,4159200.0
17331,2010-02-25,IVZ,19.16,19.75,18.950001,19.76,5183300.0
17799,2010-02-26,IVZ,19.860001,19.6,19.469998999999998,19.91,4581100.0
18267,2010-03-01,IVZ,19.610001,20.08,19.610001,20.120001000000002,3452600.0
18735,2010-03-02,IVZ,20.02,20.33,19.9,20.370001000000002,3848100.0
19203,2010-03-03,IVZ,20.32,20.5,20.15,20.620001000000002,4240900.0
19671,2010-03-04,IVZ,20.370001000000002,20.91,20.370001000000002,20.959999,3837900.0
20139,2010-03-05,IVZ,20.639999,21.360001,20.549999,21.48,4802600.0
20607,2010-03-08,IVZ,21.02,21.08,20.76,21.209999,3560300.0
21075,2010-03-09,IVZ,20.809998999999998,19.99,19.74,21.01,11493800.0
