,date,symbol,open,close,low,high,volume
487,2010-01-04,JNJ,64.709999,64.68,64.410004,64.989998,9506200.0
955,2010-01-05,JNJ,64.58000200000001,63.93,63.82,64.620003,10673100.0
1423,2010-01-06,JNJ,63.900002,64.449997,63.830002,64.540001,13171500.0
1891,2010-01-07,JNJ,64.25,63.990002000000004,63.740002000000004,64.349998,10901600.0
2359,2010-01-08,JNJ,63.919998,64.209999,63.630001,64.260002,7898000.0
2827,2010-01-11,JNJ,64.75,64.220001,64.010002,64.75,7975700.0
3295,2010-01-12,JNJ,64.129997,64.559998,64.019997,64.720001,10820700.0
3763,2010-01-13,JNJ,64.540001,64.970001,64.540001,65.230003,13023800.0
4231,2010-01-14,JNJ,65.199997,65.099998,64.75,65.269997,7899000.0
4699,2010-01-15,JNJ,65.139999,64.559998,63.98,65.199997,20995000.0
5167,2010-01-19,JNJ,64.139999,65.349998,64.110001,65.75,15181800.0
5635,2010-01-20,JNJ,65.470001,65.150002,64.470001,65.949997,13033000.0
6103,2010-01-21,JNJ,65.07,63.970001,63.799999,65.470001,14473900.0
6571,2010-01-22,JNJ,63.91,63.200001,63.09,64.190002,14017200.0
7039,2010-01-25,JNJ,63.669998,63.220001,63.049999,63.700001,10001700.0
7507,2010-01-26,JNJ,62.639998999999996,62.790001000000004,62.220001,63.009997999999996,15630300.0
7975,2010-01-27,JNJ,62.779999,63.439999,62.700001,63.720001,14982400.0
8443,2010-01-28,JNJ,63.57,63.799999,63.040001000000004,64.07,17096000.0
8911,2010-01-29,JNJ,63.950001,62.860001000000004,62.82,64.269997,17844400.0
9379,2010-02-01,JNJ,63.259997999999996,63.09,62.77,63.259997999999996,10153400.0
9847,2010-02-02,JNJ,63.200001,63.990002000000004,62.630001,64.199997,13609300.0
10315,2010-02-03,JNJ,63.869999,63.630001,63.290001000000004,63.869999,9255900.0
10783,2010-02-04,JNJ,63.490002000000004,62.639998999999996,62.619999,63.619999,18397000.0
11251,2010-02-05,JNJ,62.689999,62.639998999999996,61.889998999999996,63.599998,16775200.0
11719,2010-02-08,JNJ,62.5,62.369999,62.259997999999996,62.98,10081200.0
12187,2010-02-09,JNJ,62.549999,62.759997999999996,62.470001,63.470001,11356400.0
12655,2010-02-10,JNJ,62.790001000000004,62.73,62.209998999999996,63.07,10115800.0
13123,2010-02-11,JNJ,62.619999,62.91,62.259997999999996,63.209998999999996,8353600.0
13591,2010-02-12,JNJ,62.610001000000004,62.720001,62.110001000000004,63.0,12335800.0
14059,2010-02-16,JNJ,63.25,63.610001000000004,62.82,63.709998999999996,10212400.0
14527,2010-02-17,JNJ,63.630001,63.98,63.610001000000004,64.360001,9485500.0
14995,2010-02-18,JNJ,63.98,64.529999,63.950001,64.699997,8260600.0
15463,2010-02-19,JNJ,64.150002,63.810001,63.619999,64.459999,14222300.0
15931,2010-02-22,JNJ,63.810001,63.490002000000004,63.389998999999996,64.099998,9839700.0
16399,2010-02-23,JNJ,63.560001,63.310001,63.23,63.849998,12481400.0
16867,2010-02-24,JNJ,63.549999,63.450001,63.25,63.849998,8519300.0
17335,2010-02-25,JNJ,62.790001000000004,63.279999,62.52,63.349998,10528900.0
17803,2010-02-26,JNJ,63.459998999999996,63.0,63.0,63.59,9357800.0
