,date,symbol,open,close,low,high,volume
354581,2013-01-02,KMI,35.82,36.529999,35.740002000000004,36.560001,5596300.0
355064,2013-01-03,KMI,36.580002,36.98,36.580002,37.080002,5574900.0
355547,2013-01-04,KMI,36.98,36.709998999999996,36.560001,37.009997999999996,5350100.0
356030,2013-01-07,KMI,36.68,37.32,36.619999,37.34,5109800.0
356513,2013-01-08,KMI,37.259997999999996,37.34,37.0,37.349998,3633100.0
356996,2013-01-09,KMI,37.360001000000004,37.119999,36.93,37.380001,4059900.0
357479,2013-01-10,KMI,37.32,37.099998,36.93,37.369999,5543000.0
357962,2013-01-11,KMI,37.310001,37.060001,36.939999,37.310001,3713800.0
358445,2013-01-14,KMI,37.07,36.939999,36.91,37.25,3289600.0
358928,2013-01-15,KMI,36.84,36.84,36.68,36.919998,2970100.0
359411,2013-01-16,KMI,36.639998999999996,36.599998,36.540001000000004,36.830002,4389000.0
359894,2013-01-17,KMI,37.130001,37.240002000000004,37.029999,37.700001,6122000.0
360377,2013-01-18,KMI,37.380001,37.41,36.66,37.41,4698600.0
360860,2013-01-22,KMI,37.330002,37.790001000000004,37.310001,37.810001,4336600.0
361343,2013-01-23,KMI,37.830002,37.580002,37.439999,37.880001,3946400.0
361826,2013-01-24,KMI,37.669998,37.23,37.189999,37.849998,2605000.0
362309,2013-01-25,KMI,37.52,37.25,37.139998999999996,37.709998999999996,13173200.0
362792,2013-01-28,KMI,37.549999,37.529999,37.34,37.73,14001500.0
363275,2013-01-29,KMI,37.380001,37.299999,37.169998,37.529999,13342500.0
363758,2013-01-30,KMI,37.380001,37.73,37.34,38.209998999999996,6233100.0
364241,2013-01-31,KMI,37.849998,37.459998999999996,37.240002000000004,37.849998,9122500.0
364724,2013-02-01,KMI,37.740002000000004,37.490002000000004,37.25,37.779999,7240500.0
365208,2013-02-04,KMI,37.400002,36.580002,36.560001,37.470001,5491700.0
365692,2013-02-05,KMI,36.73,37.380001,36.700001,37.48,4759100.0
366176,2013-02-06,KMI,37.25,37.27,37.18,37.470001,10241100.0
366660,2013-02-07,KMI,37.380001,37.77,37.32,37.93,4982500.0
367144,2013-02-08,KMI,37.720001,37.599998,37.41,38.169998,6391100.0
367628,2013-02-11,KMI,37.57,37.650002,37.5,37.75,2927400.0
368112,2013-02-12,KMI,37.59,37.740002000000004,37.349998,37.82,2674800.0
368596,2013-02-13,KMI,37.82,37.799999,37.68,37.91,1976700.0
369080,2013-02-14,KMI,37.619999,37.57,37.369999,37.77,2910100.0
369564,2013-02-15,KMI,37.560001,37.52,37.419998,37.84,3855100.0
370048,2013-02-19,KMI,37.52,37.419998,37.32,37.790001000000004,3850300.0
370532,2013-02-20,KMI,37.439999,37.130001,37.099998,37.549999,4938200.0
371016,2013-02-21,KMI,37.099998,36.73,36.549999,37.099998,4219300.0
371500,2013-02-22,KMI,36.799999,37.0,36.669998,37.060001,2112200.0
371984,2013-02-25,KMI,37.040001000000004,36.110001000000004,36.110001000000004,37.220001,3751200.0
372468,2013-02-26,KMI,36.200001,36.209998999999996,35.889998999999996,36.470001,3534200.0
372952,2013-02-27,KMI,36.09,37.060001,36.09,37.060001,4729400.0
373436,2013-02-28,KMI,37.060001,37.07,36.77,37.48,7566200.0
373920,2013-03-01,KMI,36.959998999999996,37.259997999999996,36.720001,37.310001,3194300.0
