,date,symbol,open,close,low,high,volume
497,2010-01-04,KO,28.58,28.520000500000002,28.450001,28.6100005,13870400.0
965,2010-01-05,KO,28.424999,28.174999,28.069999499999998,28.495001000000002,23172400.0
1433,2010-01-06,KO,28.174999,28.165001,27.99,28.2199995,19264600.0
1901,2010-01-07,KO,28.165001,28.0949995,27.875,28.1849995,13234600.0
2369,2010-01-08,KO,27.729999499999998,27.575001,27.375,27.819999499999998,28712400.0
2837,2010-01-11,KO,27.575001,28.135,27.3999995,28.2250005,28642400.0
3305,2010-01-12,KO,28.045,28.4400005,28.0300005,28.5,23269800.0
3773,2010-01-13,KO,28.430000500000002,28.5149995,28.3449995,28.715,15157400.0
4241,2010-01-14,KO,28.520000500000002,28.5650005,28.385,28.625,12392600.0
4709,2010-01-15,KO,28.4750005,28.145000500000002,28.020000500000002,28.674999,27460800.0
5177,2010-01-19,KO,28.1100005,28.209999,27.959999,28.245001000000002,14615400.0
5645,2010-01-20,KO,28.08,27.75,27.645000500000002,28.194999499999998,18810200.0
6113,2010-01-21,KO,27.7749995,27.1849995,27.0949995,27.790001,27396800.0
6581,2010-01-22,KO,27.174999,27.120001000000002,26.99,27.430000500000002,23551400.0
7049,2010-01-25,KO,27.245001000000002,27.174999,26.9400005,27.270000500000002,16853200.0
7517,2010-01-26,KO,27.035,27.069999499999998,26.9349995,27.25,15515000.0
7985,2010-01-27,KO,27.0,27.254998999999998,26.8500005,27.33,20414800.0
8453,2010-01-28,KO,27.354999499999998,27.09,27.0650005,27.42,20905200.0
8921,2010-01-29,KO,27.2199995,27.125,26.950001,27.4699995,22146800.0
9389,2010-02-01,KO,27.254998999999998,27.1900005,27.0,27.2800005,14517600.0
9857,2010-02-02,KO,27.2649995,27.5249995,27.075001,27.604999499999998,16888600.0
10325,2010-02-03,KO,27.459999,27.4349995,27.2649995,27.479999499999998,15899400.0
10793,2010-02-04,KO,27.2749995,26.715,26.700001,27.34,21342800.0
11261,2010-02-05,KO,26.620001000000002,26.545,26.2649995,26.715,29285000.0
11729,2010-02-08,KO,26.635,26.325001,26.285,26.635,16721200.0
12197,2010-02-09,KO,26.8449995,27.004998999999998,26.6849995,27.49,31495000.0
12665,2010-02-10,KO,27.299999,26.895000500000002,26.584999,27.299999,18717600.0
13133,2010-02-11,KO,26.799999,27.1100005,26.635,27.165001,26327200.0
13601,2010-02-12,KO,26.959999,26.99,26.8099995,27.200001,24640000.0
14069,2010-02-16,KO,27.254998999999998,27.41,26.965,27.41,19339400.0
