,date,symbol,open,close,low,high,volume
501,2010-01-04,L,36.799999,37.18,36.59,37.290001000000004,2210900.0
969,2010-01-05,L,37.220001,37.380001,36.77,37.419998,1975600.0
1437,2010-01-06,L,37.389998999999996,37.639998999999996,37.110001000000004,37.700001,1324300.0
1905,2010-01-07,L,37.529999,37.919998,37.279999,38.009997999999996,1979400.0
2373,2010-01-08,L,37.73,37.889998999999996,37.619999,37.950001,1159400.0
2841,2010-01-11,L,38.18,37.919998,37.700001,38.18,1390600.0
3309,2010-01-12,L,37.66,37.619999,37.5,37.939999,1565400.0
3777,2010-01-13,L,37.73,37.919998,37.509997999999996,38.009997999999996,1566100.0
4245,2010-01-14,L,37.75,37.91,37.57,38.02,1279600.0
4713,2010-01-15,L,37.73,37.209998999999996,37.029999,37.869999,1678600.0
5181,2010-01-19,L,37.080002,38.16,37.07,38.18,2078300.0
5649,2010-01-20,L,37.959998999999996,37.599998,37.310001,38.040001000000004,2015800.0
6117,2010-01-21,L,38.41,37.189999,36.810001,38.41,2503500.0
6585,2010-01-22,L,36.919998,35.73,35.68,37.279999,2884400.0
7053,2010-01-25,L,36.16,36.09,35.91,36.439999,1754900.0
7521,2010-01-26,L,35.959998999999996,36.040001000000004,35.950001,36.68,1808700.0
7989,2010-01-27,L,35.93,36.380001,35.82,36.439999,2365500.0
8457,2010-01-28,L,36.540001000000004,35.93,35.459998999999996,36.66,1755100.0
8925,2010-01-29,L,36.099998,35.77,35.66,36.52,2594500.0
9393,2010-02-01,L,35.889998999999996,36.41,35.860001000000004,36.470001,1738300.0
9861,2010-02-02,L,36.400002,37.060001,36.240002000000004,37.080002,1625800.0
10329,2010-02-03,L,36.830002,36.630001,36.540001000000004,36.950001,982500.0
10797,2010-02-04,L,36.419998,35.330002,35.32,36.5,2979200.0
11265,2010-02-05,L,35.32,35.369999,34.59,35.470001,3097500.0
11733,2010-02-08,L,35.009997999999996,34.759997999999996,34.240002000000004,35.52,2513100.0
12201,2010-02-09,L,35.130001,35.220001,34.849998,35.439999,2060900.0
12669,2010-02-10,L,35.139998999999996,35.029999,34.810001,35.34,2185500.0
13137,2010-02-11,L,35.040001000000004,35.209998999999996,34.599998,35.23,2099400.0
13605,2010-02-12,L,34.900002,35.169998,34.240002000000004,35.25,3247200.0
14073,2010-02-16,L,35.540001000000004,36.119999,35.389998999999996,36.130001,2151600.0
14541,2010-02-17,L,36.23,36.169998,35.889998999999996,36.490002000000004,1524000.0
15009,2010-02-18,L,35.98,36.439999,35.98,36.540001000000004,1292000.0
15477,2010-02-19,L,36.32,36.549999,36.110001000000004,36.709998999999996,1423900.0
15945,2010-02-22,L,36.700001,36.700001,36.549999,36.77,1160700.0
16413,2010-02-23,L,36.580002,36.060001,35.990002000000004,36.639998999999996,2003300.0
16881,2010-02-24,L,36.099998,36.619999,36.09,36.650002,1756000.0
17349,2010-02-25,L,36.060001,36.66,35.75,36.689999,1871400.0
17817,2010-02-26,L,36.619999,36.459998999999996,36.259997999999996,36.709998999999996,1961400.0
18285,2010-03-01,L,36.610001000000004,37.02,36.549999,37.099998,1600700.0
18753,2010-03-02,L,37.139998999999996,37.189999,36.939999,37.330002,1260100.0
19221,2010-03-03,L,37.240002000000004,37.049999,37.0,37.400002,1563000.0
19689,2010-03-04,L,37.09,37.139998999999996,36.84,37.259997999999996,2348000.0
20157,2010-03-05,L,37.360001000000004,37.5,37.16,37.66,2278300.0
20625,2010-03-08,L,37.57,37.540001000000004,37.41,37.700001,1510800.0
21093,2010-03-09,L,37.459998999999996,37.439999,37.259997999999996,37.599998,1645300.0
21561,2010-03-10,L,37.459998999999996,37.529999,37.400002,37.68,2600700.0
22029,2010-03-11,L,37.360001000000004,37.700001,37.32,37.709998999999996,1366700.0
22497,2010-03-12,L,37.82,37.560001,37.450001,38.099998,1765600.0
22965,2010-03-15,L,37.380001,37.400002,37.080002,37.57,2110500.0
23433,2010-03-16,L,37.439999,37.619999,37.330002,37.619999,1606900.0
23901,2010-03-17,L,37.799999,37.599998,37.5,37.849998,2163800.0
