,date,symbol,open,close,low,high,volume
503,2010-01-04,LEG,20.5,20.51,20.389999,20.74,1241400.0
971,2010-01-05,LEG,20.52,20.290001,19.709999,20.549999,2242100.0
1439,2010-01-06,LEG,20.24,20.530001000000002,20.24,20.540001,1258400.0
1907,2010-01-07,LEG,20.68,21.190001000000002,20.610001,21.200001,1417800.0
2375,2010-01-08,LEG,21.049999,21.18,20.969998999999998,21.360001,752500.0
2843,2010-01-11,LEG,21.299999,21.09,21.02,21.299999,1171300.0
3311,2010-01-12,LEG,20.91,20.42,20.389999,20.91,1469900.0
3779,2010-01-13,LEG,20.4,20.68,20.26,20.780001000000002,1171700.0
4247,2010-01-14,LEG,20.610001,20.709999,20.6,20.940001000000002,692900.0
4715,2010-01-15,LEG,20.719998999999998,20.99,20.6,21.07,2423600.0
5183,2010-01-19,LEG,20.91,21.16,20.91,21.27,945700.0
5651,2010-01-20,LEG,21.040001,21.0,20.860001,21.1,1444200.0
6119,2010-01-21,LEG,20.879998999999998,20.360001,20.25,21.0,2031800.0
6587,2010-01-22,LEG,20.25,20.02,20.02,20.530001000000002,1209400.0
7055,2010-01-25,LEG,20.26,20.23,20.049999,20.309998999999998,1398000.0
7523,2010-01-26,LEG,20.1,20.17,20.049999,20.459999,1000600.0
7991,2010-01-27,LEG,20.01,20.049999,19.780001000000002,20.219998999999998,1101800.0
8459,2010-01-28,LEG,20.139999,19.809998999999998,19.76,20.23,1219300.0
8927,2010-01-29,LEG,19.790001,18.26,18.26,19.809998999999998,4488700.0
9395,2010-02-01,LEG,18.48,18.879998999999998,18.4,19.01,2937100.0
9863,2010-02-02,LEG,18.9,19.309998999999998,18.75,19.450001,3013500.0
10331,2010-02-03,LEG,19.290001,19.15,19.030001000000002,19.42,1557900.0
10799,2010-02-04,LEG,19.07,18.66,18.629998999999998,19.18,2223700.0
11267,2010-02-05,LEG,18.629998999999998,18.450001,17.889999,18.65,1835100.0
11735,2010-02-08,LEG,18.450001,18.360001,18.24,18.68,3364800.0
12203,2010-02-09,LEG,18.59,18.66,18.379998999999998,18.809998999999998,1212900.0
12671,2010-02-10,LEG,18.57,18.51,18.290001,18.74,811700.0
13139,2010-02-11,LEG,18.5,18.75,18.32,18.75,1065200.0
13607,2010-02-12,LEG,18.690001000000002,18.780001000000002,18.48,18.790001,1298100.0
14075,2010-02-16,LEG,18.93,19.389999,18.83,19.4,1343000.0
14543,2010-02-17,LEG,19.5,19.48,19.23,19.549999,963300.0
15011,2010-02-18,LEG,19.43,19.59,19.26,19.610001,588300.0
15479,2010-02-19,LEG,19.58,19.41,19.389999,19.59,1304400.0
15947,2010-02-22,LEG,19.469998999999998,19.459999,19.35,19.559998999999998,577900.0
16415,2010-02-23,LEG,19.43,19.200001,18.99,19.5,1217800.0
16883,2010-02-24,LEG,19.299999,19.33,18.93,19.33,1217000.0
17351,2010-02-25,LEG,18.959999,18.85,18.67,18.959999,2048600.0
17819,2010-02-26,LEG,18.870001000000002,18.950001,18.65,18.98,2270500.0
18287,2010-03-01,LEG,19.049999,19.33,18.950001,19.459999,1141800.0
18755,2010-03-02,LEG,19.43,19.52,19.389999,19.74,1554600.0
19223,2010-03-03,LEG,19.66,19.91,19.59,20.1,1343900.0
19691,2010-03-04,LEG,19.98,20.27,19.719998999999998,20.27,1924400.0
20159,2010-03-05,LEG,20.41,20.610001,20.25,20.620001000000002,1584700.0
20627,2010-03-08,LEG,20.67,20.799999,20.540001,20.92,1839900.0
21095,2010-03-09,LEG,20.799999,21.040001,20.75,21.17,1660100.0
21563,2010-03-10,LEG,21.1,21.549999,20.879998999999998,21.65,2504500.0
22031,2010-03-11,LEG,21.139999,21.26,20.950001,21.26,1885300.0
22499,2010-03-12,LEG,21.309998999999998,21.290001,20.99,21.34,1403600.0
22967,2010-03-15,LEG,21.33,21.139999,20.99,21.360001,1381400.0
23435,2010-03-16,LEG,21.139999,21.379998999999998,21.0,21.41,2020000.0
23903,2010-03-17,LEG,21.469998999999998,21.530001000000002,21.469998999999998,21.780001000000002,1421200.0
24371,2010-03-18,LEG,21.48,21.709999,21.48,21.74,1297400.0
24839,2010-03-19,LEG,21.469998999999998,21.469998999999998,21.370001000000002,21.889999,2829100.0
25307,2010-03-22,LEG,21.290001,21.540001,21.01,21.559998999999998,2167000.0
25775,2010-03-23,LEG,21.6,21.709999,21.370001000000002,21.82,1388800.0
26243,2010-03-24,LEG,21.67,21.51,21.379998999999998,21.77,1106200.0
26711,2010-03-25,LEG,21.690001000000002,21.610001,21.58,21.99,1737200.0
27179,2010-03-26,LEG,21.709999,21.610001,21.530001000000002,21.879998999999998,1266000.0
27647,2010-03-29,LEG,21.74,21.530001000000002,21.469998999999998,21.799999,1428100.0
28115,2010-03-30,LEG,21.52,21.780001000000002,21.5,21.870001000000002,1534300.0
28583,2010-03-31,LEG,21.76,21.639999,21.6,21.93,1389800.0
29051,2010-04-01,LEG,21.75,21.690001000000002,21.51,21.9,1186300.0
29519,2010-04-05,LEG,21.799999,21.73,21.700001,21.82,1589700.0
29987,2010-04-06,LEG,21.610001,21.77,21.48,21.799999,1739000.0
