,date,symbol,open,close,low,high,volume
504,2010-01-04,LEN,12.81,13.01,12.65,13.02,4493800.0
972,2010-01-05,LEN,12.95,13.55,12.72,13.6,6205100.0
1440,2010-01-06,LEN,13.51,13.7,13.25,13.75,6363000.0
1908,2010-01-07,LEN,14.93,15.46,14.62,16.0,28709400.0
2376,2010-01-08,LEN,15.4,15.95,15.19,16.07,8641500.0
2844,2010-01-11,LEN,16.07,16.26,15.98,16.35,6404600.0
3312,2010-01-12,LEN,16.15,16.129998999999998,15.95,16.530001000000002,7382500.0
3780,2010-01-13,LEN,16.290001,16.25,15.85,16.440001000000002,5182600.0
4248,2010-01-14,LEN,16.52,16.35,16.280001000000002,16.84,4990800.0
4716,2010-01-15,LEN,16.27,15.96,15.85,16.379998999999998,5635700.0
5184,2010-01-19,LEN,15.76,16.209999,15.76,16.34,4798900.0
5652,2010-01-20,LEN,16.059998999999998,15.74,15.71,16.139999,5534700.0
6120,2010-01-21,LEN,15.77,15.31,15.28,15.88,4560800.0
6588,2010-01-22,LEN,15.31,14.78,14.71,15.57,6357500.0
7056,2010-01-25,LEN,15.05,14.7,14.42,15.1,4982400.0
7524,2010-01-26,LEN,14.62,14.56,14.51,14.95,4113100.0
7992,2010-01-27,LEN,14.55,15.11,14.3,15.16,6272300.0
8460,2010-01-28,LEN,15.33,15.39,15.02,15.87,8280300.0
8928,2010-01-29,LEN,15.49,15.36,15.27,15.96,7065000.0
9396,2010-02-01,LEN,15.47,15.32,15.06,15.49,4641100.0
9864,2010-02-02,LEN,15.64,16.549999,15.64,16.629998999999998,10419500.0
10332,2010-02-03,LEN,16.370001000000002,16.26,15.91,16.52,4311800.0
10800,2010-02-04,LEN,15.89,15.34,15.24,15.99,5813800.0
11268,2010-02-05,LEN,15.3,14.71,14.22,15.45,8638800.0
11736,2010-02-08,LEN,14.75,15.39,14.52,15.85,8990900.0
12204,2010-02-09,LEN,15.4,15.6,15.03,15.67,5324900.0
12672,2010-02-10,LEN,15.67,15.61,15.18,15.7,4027300.0
13140,2010-02-11,LEN,15.96,16.99,15.8,17.0,12714000.0
13608,2010-02-12,LEN,16.780001000000002,16.959999,16.549999,17.190001000000002,10487100.0
14076,2010-02-16,LEN,17.18,17.34,17.15,17.370001000000002,5448000.0
14544,2010-02-17,LEN,17.52,17.34,17.09,17.879998999999998,5748800.0
15012,2010-02-18,LEN,17.23,17.040001,16.75,17.290001,5282700.0
15480,2010-02-19,LEN,16.92,17.309998999999998,16.92,17.440001000000002,6151400.0
15948,2010-02-22,LEN,17.43,17.17,16.969998999999998,17.540001,5789200.0
16416,2010-02-23,LEN,17.08,16.280001000000002,16.09,17.25,8340900.0
16884,2010-02-24,LEN,16.450001,16.27,15.26,16.559998999999998,13125200.0
17352,2010-02-25,LEN,15.91,16.27,15.59,16.32,7172400.0
17820,2010-02-26,LEN,16.209999,16.41,15.79,16.469998999999998,5790500.0
18288,2010-03-01,LEN,16.48,16.639999,16.41,16.700001,3895600.0
18756,2010-03-02,LEN,16.799999,16.6,16.5,16.950001,3402500.0
19224,2010-03-03,LEN,16.639999,16.790001,16.559998999999998,16.969998999999998,3879600.0
19692,2010-03-04,LEN,16.68,16.549999,16.34,16.93,4160000.0
20160,2010-03-05,LEN,16.709999,17.01,16.610001,17.040001,4041200.0
20628,2010-03-08,LEN,17.1,17.200001,16.98,17.309998999999998,4498000.0
21096,2010-03-09,LEN,17.27,17.290001,17.0,17.469998999999998,4009900.0
21564,2010-03-10,LEN,17.290001,16.93,16.799999,17.41,5407600.0
22032,2010-03-11,LEN,16.809998999999998,16.639999,16.43,16.879998999999998,5835900.0
22500,2010-03-12,LEN,16.74,16.33,16.219998999999998,16.82,4350800.0
22968,2010-03-15,LEN,16.5,16.09,15.86,16.5,6229200.0
23436,2010-03-16,LEN,16.26,16.74,16.1,16.84,7307700.0
23904,2010-03-17,LEN,16.76,16.639999,16.58,17.01,4327700.0
24372,2010-03-18,LEN,16.559998999999998,16.540001,16.41,16.74,2575400.0
24840,2010-03-19,LEN,16.110001,16.110001,16.1,16.73,5462400.0
25308,2010-03-22,LEN,15.89,16.299999,15.89,16.41,4565400.0
25776,2010-03-23,LEN,16.379998999999998,17.059998999999998,16.17,17.129998999999998,9601800.0
26244,2010-03-24,LEN,18.09,17.690001000000002,17.530001000000002,18.33,15414300.0
26712,2010-03-25,LEN,17.98,18.049999,17.809998999999998,18.58,9200100.0
27180,2010-03-26,LEN,18.219998999999998,18.299999,18.17,18.93,10286400.0
27648,2010-03-29,LEN,18.469998999999998,18.24,17.799999,18.559998999999998,6459100.0
28116,2010-03-30,LEN,17.870001000000002,18.049999,17.870001000000002,18.49,6332600.0
28584,2010-03-31,LEN,17.92,17.209999,17.17,18.040001,7739900.0
29052,2010-04-01,LEN,17.32,17.129998999999998,17.01,17.6,5827400.0
29520,2010-04-05,LEN,17.360001,17.559998999999998,17.18,17.73,5323100.0
29988,2010-04-06,LEN,17.459999,17.290001,17.049999,17.48,4803600.0
30456,2010-04-07,LEN,17.309998999999998,16.950001,16.780001000000002,17.52,6215000.0
30924,2010-04-08,LEN,16.879998999999998,17.26,16.809998999999998,17.35,5395200.0
31392,2010-04-09,LEN,17.379998999999998,17.52,17.27,17.6,4020200.0
31860,2010-04-12,LEN,17.58,17.17,17.030001000000002,17.709999,6172800.0
32328,2010-04-13,LEN,17.219998999999998,17.280001000000002,17.129998999999998,17.549999,4779400.0
32796,2010-04-14,LEN,17.4,18.280001000000002,17.280001000000002,18.43,13565000.0
33264,2010-04-15,LEN,18.200001,17.790001,17.65,18.23,5529600.0
33732,2010-04-16,LEN,17.67,17.15,16.98,17.690001000000002,6937000.0
34200,2010-04-19,LEN,17.0,17.24,16.969998999999998,17.57,5623300.0
34668,2010-04-20,LEN,17.450001,17.969998999999998,17.33,18.0,5306300.0
35136,2010-04-21,LEN,18.030001000000002,18.52,17.9,18.629998999999998,6282200.0
35604,2010-04-22,LEN,18.379998999999998,19.74,18.07,19.84,9474200.0
36072,2010-04-23,LEN,20.23,20.530001000000002,20.09,21.790001,17097900.0
36540,2010-04-26,LEN,20.17,20.1,20.1,21.030001000000002,12702400.0
37008,2010-04-27,LEN,19.799999,18.940001000000002,18.84,19.99,13589300.0
37476,2010-04-28,LEN,19.15,19.35,19.07,19.700001,6753700.0
37945,2010-04-29,LEN,19.440001000000002,20.52,19.43,20.92,8539100.0
38414,2010-04-30,LEN,20.6,19.92,19.879998999999998,21.17,6798900.0
38883,2010-05-03,LEN,20.110001,20.709999,19.969998999999998,20.959999,4943200.0
39352,2010-05-04,LEN,20.34,20.02,19.4,20.5,8381500.0
39821,2010-05-05,LEN,19.65,19.309998999999998,19.15,20.120001000000002,5204600.0
40290,2010-05-06,LEN,19.1,18.450001,16.790001,19.639999,7461400.0
40759,2010-05-07,LEN,18.33,17.49,17.17,18.700001,9385400.0
41228,2010-05-10,LEN,18.74,19.76,18.4,19.799999,9576500.0
41697,2010-05-11,LEN,19.469998999999998,19.459999,19.26,20.1,6677200.0
42166,2010-05-12,LEN,19.700001,19.459999,19.059998999999998,20.049999,7418100.0
