,date,symbol,open,close,low,high,volume
510,2010-01-04,LMT,75.870003,76.849998,75.519997,76.949997,2408300.0
978,2010-01-05,LMT,76.620003,77.650002,76.550003,77.790001,2356500.0
1446,2010-01-06,LMT,76.099998,76.510002,75.849998,77.190002,5208100.0
1914,2010-01-07,LMT,76.16999799999999,74.410004,73.610001,76.199997,7038300.0
2382,2010-01-08,LMT,74.349998,75.610001,74.32,75.940002,3629400.0
2850,2010-01-11,LMT,75.760002,75.970001,75.190002,76.190002,1973500.0
3318,2010-01-12,LMT,75.75,75.959999,75.309998,76.470001,2119000.0
3786,2010-01-13,LMT,76.160004,76.879997,75.709999,77.019997,2245100.0
4254,2010-01-14,LMT,76.790001,76.839996,76.150002,77.029999,1954500.0
4722,2010-01-15,LMT,76.959999,76.760002,76.33000200000001,77.190002,2041900.0
5190,2010-01-19,LMT,76.800003,78.309998,76.550003,78.699997,3765500.0
5658,2010-01-20,LMT,77.809998,78.110001,76.82,78.300003,3128200.0
6126,2010-01-21,LMT,78.050003,76.980003,76.470001,78.58000200000001,2304400.0
6594,2010-01-22,LMT,76.75,75.58000200000001,75.5,77.309998,2072100.0
7062,2010-01-25,LMT,76.25,76.760002,75.82,77.480003,2559200.0
7530,2010-01-26,LMT,76.41999799999999,76.779999,75.849998,77.349998,2835100.0
7998,2010-01-27,LMT,76.690002,77.129997,76.0,77.339996,3054500.0
8466,2010-01-28,LMT,78.43,76.150002,75.25,78.470001,3542400.0
8934,2010-01-29,LMT,76.160004,74.519997,74.370003,76.449997,3249800.0
9402,2010-02-01,LMT,75.339996,74.889999,74.279999,75.339996,2781100.0
9870,2010-02-02,LMT,75.0,76.550003,74.889999,76.760002,2995600.0
10338,2010-02-03,LMT,76.18,76.690002,75.839996,76.949997,2647600.0
10806,2010-02-04,LMT,76.25,76.0,75.949997,77.120003,4992800.0
11274,2010-02-05,LMT,75.849998,75.720001,74.040001,76.620003,5029700.0
11742,2010-02-08,LMT,75.68,74.529999,74.470001,75.860001,4308100.0
