,date,symbol,open,close,low,high,volume
513,2010-01-04,LOW,23.51,23.16,23.139999,23.59,9616700.0
981,2010-01-05,LOW,23.120001000000002,22.92,22.74,23.129998999999998,14428400.0
1449,2010-01-06,LOW,22.84,22.98,22.75,23.17,12448200.0
1917,2010-01-07,LOW,23.24,23.639999,23.07,23.809998999999998,16572300.0
2385,2010-01-08,LOW,23.51,23.59,23.25,23.639999,8668900.0
2853,2010-01-11,LOW,23.6,23.389999,23.200001,23.610001,7975300.0
3321,2010-01-12,LOW,23.219998999999998,23.33,23.01,23.469998999999998,10248100.0
3789,2010-01-13,LOW,23.459999,23.219998999999998,23.110001,23.5,10514000.0
4257,2010-01-14,LOW,23.389999,23.190001000000002,23.17,23.42,10643500.0
4725,2010-01-15,LOW,23.059998999999998,23.129998999999998,23.0,23.33,12862400.0
5193,2010-01-19,LOW,23.07,23.110001,22.99,23.25,9619900.0
5661,2010-01-20,LOW,22.940001000000002,22.799999,22.709999,23.32,15221200.0
6129,2010-01-21,LOW,22.780001000000002,22.889999,22.549999,23.040001,13639900.0
6597,2010-01-22,LOW,22.77,22.309998999999998,22.26,23.389999,12236800.0
7065,2010-01-25,LOW,22.459999,22.120001000000002,21.98,22.5,13266300.0
7533,2010-01-26,LOW,22.01,21.959999,21.940001000000002,22.389999,13760700.0
8001,2010-01-27,LOW,22.0,22.120001000000002,21.93,22.5,14136200.0
8469,2010-01-28,LOW,22.219998999999998,21.98,21.780001000000002,22.26,15261200.0
8937,2010-01-29,LOW,22.190001000000002,21.65,21.610001,22.25,21935300.0
9405,2010-02-01,LOW,21.719998999999998,21.99,21.67,21.99,12454300.0
9873,2010-02-02,LOW,21.969998999999998,22.58,21.57,22.639999,16244400.0
10341,2010-02-03,LOW,22.34,22.110001,21.66,22.48,38815000.0
10809,2010-02-04,LOW,21.889999,21.6,21.57,22.09,18434400.0
11277,2010-02-05,LOW,21.59,21.59,21.290001,21.82,15147100.0
11745,2010-02-08,LOW,21.76,21.76,21.719998999999998,22.26,12352900.0
12213,2010-02-09,LOW,22.02,21.84,21.66,22.07,16562900.0
12681,2010-02-10,LOW,21.84,21.799999,21.469998999999998,21.889999,9638600.0
13149,2010-02-11,LOW,21.9,22.17,21.620001000000002,22.23,12708300.0
13617,2010-02-12,LOW,22.040001,22.16,21.780001000000002,22.190001000000002,11256900.0
14085,2010-02-16,LOW,22.290001,22.74,22.219998999999998,22.75,8992800.0
14553,2010-02-17,LOW,22.959999,23.049999,22.870001000000002,23.18,11773500.0
15021,2010-02-18,LOW,22.98,23.15,22.809998999999998,23.200001,8571100.0
15489,2010-02-19,LOW,23.08,23.129998999999998,22.790001,23.219998999999998,18888700.0
15957,2010-02-22,LOW,23.43,23.07,22.879998999999998,23.469998999999998,25810200.0
16425,2010-02-23,LOW,23.09,22.809998999999998,22.700001,23.200001,16679500.0
16893,2010-02-24,LOW,22.83,23.639999,22.83,23.65,16583800.0
17361,2010-02-25,LOW,23.110001,23.82,23.110001,23.870001000000002,16795100.0
17829,2010-02-26,LOW,23.809998999999998,23.709999,23.700001,23.969998999999998,13102300.0
18297,2010-03-01,LOW,23.790001,23.98,23.6,24.0,9701600.0
18765,2010-03-02,LOW,23.98,23.690001000000002,23.610001,24.0,9887000.0
19233,2010-03-03,LOW,23.690001000000002,23.620001000000002,23.530001000000002,23.98,9627100.0
19701,2010-03-04,LOW,23.530001000000002,23.790001,23.530001000000002,23.82,10692700.0
20169,2010-03-05,LOW,23.870001000000002,24.049999,23.84,24.15,10758900.0
20637,2010-03-08,LOW,24.08,23.950001,23.92,24.129998999999998,9528200.0
21105,2010-03-09,LOW,23.889999,24.01,23.85,24.23,11145800.0
21573,2010-03-10,LOW,23.98,24.290001,23.92,24.33,9675300.0
22041,2010-03-11,LOW,24.25,24.59,24.15,24.620001000000002,8535900.0
22509,2010-03-12,LOW,24.77,24.950001,24.620001000000002,25.0,16217100.0
22977,2010-03-15,LOW,25.0,25.040001,24.77,25.08,8989200.0
23445,2010-03-16,LOW,25.030001000000002,25.049999,24.860001,25.25,12994700.0
23913,2010-03-17,LOW,25.139999,25.16,25.049999,25.309998999999998,12615600.0
24381,2010-03-18,LOW,25.200001,24.9,24.82,25.27,10390100.0
24849,2010-03-19,LOW,24.780001000000002,24.780001000000002,24.65,25.01,16328800.0
25317,2010-03-22,LOW,24.65,24.91,24.629998999999998,25.030001000000002,12325400.0
25785,2010-03-23,LOW,24.75,24.83,24.459999,24.83,12291600.0
26253,2010-03-24,LOW,24.75,24.379998999999998,24.35,24.75,9807300.0
26721,2010-03-25,LOW,24.51,24.34,24.34,24.620001000000002,12777600.0
27189,2010-03-26,LOW,24.440001000000002,24.48,24.309998999999998,24.59,12185400.0
27657,2010-03-29,LOW,24.51,24.309998999999998,24.26,24.620001000000002,7946500.0
28125,2010-03-30,LOW,24.389999,24.34,24.309998999999998,24.549999,6960400.0
28593,2010-03-31,LOW,24.26,24.24,24.16,24.34,9008600.0
29061,2010-04-01,LOW,24.370001000000002,24.540001,24.35,24.620001000000002,10097500.0
29529,2010-04-05,LOW,24.6,24.870001000000002,24.530001000000002,24.870001000000002,7051800.0
29997,2010-04-06,LOW,24.879998999999998,24.98,24.73,25.059998999999998,9998200.0
30465,2010-04-07,LOW,24.93,25.25,24.870001000000002,25.41,15400800.0
30933,2010-04-08,LOW,25.18,25.59,25.129998999999998,25.690001000000002,13680000.0
31401,2010-04-09,LOW,25.629998999999998,25.629998999999998,25.280001000000002,25.67,8599600.0
31869,2010-04-12,LOW,25.59,25.6,25.370001000000002,25.6,7762400.0
32337,2010-04-13,LOW,25.43,26.219998999999998,25.43,26.309998999999998,17079500.0
32805,2010-04-14,LOW,26.360001,26.59,26.129998999999998,26.629998999999998,18419100.0
33273,2010-04-15,LOW,26.540001,26.66,26.459999,26.799999,12021600.0
33741,2010-04-16,LOW,26.559998999999998,26.290001,26.120001000000002,26.719998999999998,13036500.0
34209,2010-04-19,LOW,26.200001,26.450001,25.92,26.459999,10543800.0
34677,2010-04-20,LOW,26.540001,26.620001000000002,26.540001,26.98,13457700.0
35145,2010-04-21,LOW,26.700001,26.66,26.43,26.790001,9195900.0
35613,2010-04-22,LOW,26.610001,27.530001000000002,26.450001,27.700001,16084500.0
36081,2010-04-23,LOW,27.559998999999998,28.219998999999998,27.309998999999998,28.25,18839200.0
36549,2010-04-26,LOW,28.139999,28.16,28.120001000000002,28.540001,18536500.0
37017,2010-04-27,LOW,28.08,27.0,26.92,28.08,23812600.0
37485,2010-04-28,LOW,27.280001000000002,27.030001000000002,26.75,27.549999,14724000.0
37954,2010-04-29,LOW,27.24,27.4,27.200001,27.59,12925500.0
38423,2010-04-30,LOW,27.459999,27.120001000000002,27.1,27.74,17271200.0
38892,2010-05-03,LOW,27.290001,27.74,27.1,27.93,10810800.0
39361,2010-05-04,LOW,27.5,26.969998999999998,26.9,27.629998999999998,17534400.0
39830,2010-05-05,LOW,26.74,26.65,25.75,27.17,19311300.0
40299,2010-05-06,LOW,26.49,25.52,24.139999,26.76,19162800.0
40768,2010-05-07,LOW,25.530001000000002,25.309998999999998,24.780001000000002,25.959999,22869200.0
41237,2010-05-10,LOW,26.639999,26.700001,26.34,26.93,17308800.0
41706,2010-05-11,LOW,26.57,27.1,26.43,27.26,18227400.0
42175,2010-05-12,LOW,27.219998999999998,27.059998999999998,26.74,27.41,16967500.0
42644,2010-05-13,LOW,27.08,26.25,26.16,27.110001,15105500.0
43113,2010-05-14,LOW,26.059998999999998,26.07,25.780001000000002,26.33,16935900.0
43582,2010-05-17,LOW,25.77,25.26,24.58,25.9,40981500.0
44051,2010-05-18,LOW,25.17,24.700001,24.299999,25.25,26834500.0
44520,2010-05-19,LOW,24.530001000000002,24.82,24.35,24.99,19058900.0
44989,2010-05-20,LOW,24.32,23.700001,23.610001,24.379998999999998,25295300.0
45458,2010-05-21,LOW,23.370001000000002,24.200001,23.09,24.309998999999998,22426500.0
45927,2010-05-24,LOW,24.17,24.18,23.98,24.549999,14303800.0
46396,2010-05-25,LOW,23.59,24.42,23.530001000000002,24.43,18928700.0
46865,2010-05-26,LOW,24.76,24.34,24.25,24.950001,20492300.0
47334,2010-05-27,LOW,24.68,25.120001000000002,24.459999,25.15,13537400.0
47803,2010-05-28,LOW,25.389999,24.75,24.58,25.389999,11274000.0
48272,2010-06-01,LOW,24.58,24.290001,24.290001,24.889999,10536700.0
48741,2010-06-02,LOW,24.35,24.43,24.059998999999998,24.440001000000002,16284300.0
49210,2010-06-03,LOW,24.450001,24.440001000000002,24.08,24.700001,12868800.0
49679,2010-06-04,LOW,24.049999,23.52,23.4,24.09,16140300.0
50148,2010-06-07,LOW,23.610001,23.389999,23.32,23.74,16814800.0
50617,2010-06-08,LOW,23.459999,23.370001000000002,22.99,23.5,16035200.0
51086,2010-06-09,LOW,23.530001000000002,23.280001000000002,23.16,23.76,11686700.0
51555,2010-06-10,LOW,23.57,23.84,23.4,23.860001,12304600.0
52024,2010-06-11,LOW,23.59,23.48,23.23,23.83,10495800.0
52493,2010-06-14,LOW,23.68,23.450001,23.389999,23.91,10096900.0
52962,2010-06-15,LOW,23.65,23.93,23.200001,23.93,9964600.0
53431,2010-06-16,LOW,23.67,23.200001,22.950001,23.73,18229500.0
53900,2010-06-17,LOW,23.24,22.68,22.360001,23.26,22320700.0
54369,2010-06-18,LOW,22.700001,22.620001000000002,22.530001000000002,22.969998999999998,30122400.0
54838,2010-06-21,LOW,22.809998999999998,22.51,22.440001000000002,22.98,13461300.0
55307,2010-06-22,LOW,22.67,21.76,21.73,22.73,20283600.0
55776,2010-06-23,LOW,21.709999,21.85,21.42,22.120001000000002,13977400.0
56245,2010-06-24,LOW,21.35,21.24,21.059998999999998,21.629998999999998,15902100.0
56714,2010-06-25,LOW,21.209999,21.33,21.120001000000002,21.6,21273000.0
57183,2010-06-28,LOW,21.379998999999998,21.23,21.17,21.49,8009500.0
57652,2010-06-29,LOW,20.940001000000002,20.6,20.5,20.98,16668000.0
58121,2010-06-30,LOW,20.58,20.42,20.360001,20.860001,11343100.0
58590,2010-07-01,LOW,20.549999,20.41,20.02,20.76,22597500.0
59059,2010-07-02,LOW,20.530001000000002,20.27,20.01,20.540001,11921600.0
59528,2010-07-06,LOW,20.440001000000002,19.959999,19.74,20.639999,16062300.0
59997,2010-07-07,LOW,20.040001,20.389999,19.639999,20.42,18584100.0
60466,2010-07-08,LOW,20.540001,20.23,20.040001,20.639999,14387500.0
60935,2010-07-09,LOW,20.219998999999998,20.43,20.02,20.440001000000002,19708600.0
61404,2010-07-12,LOW,20.360001,20.360001,20.110001,20.5,17236900.0
61873,2010-07-13,LOW,20.549999,21.16,20.469998999999998,21.309998999999998,17774900.0
62342,2010-07-14,LOW,21.09,20.870001000000002,20.639999,21.09,11120400.0
62811,2010-07-15,LOW,20.889999,20.879998999999998,20.5,20.950001,9586200.0
63280,2010-07-16,LOW,20.790001,20.040001,19.99,20.790001,14778100.0
63749,2010-07-19,LOW,20.030001000000002,19.93,19.75,20.059998999999998,8218900.0
64218,2010-07-20,LOW,19.709999,20.33,19.639999,20.42,11511000.0
64687,2010-07-21,LOW,20.4,19.98,19.860001,20.41,10141500.0
65156,2010-07-22,LOW,20.200001,20.83,20.17,20.93,13812300.0
65625,2010-07-23,LOW,20.76,21.110001,20.59,21.139999,12254300.0
66094,2010-07-26,LOW,21.23,21.799999,21.08,21.82,12603400.0
66563,2010-07-27,LOW,21.950001,21.15,21.040001,21.99,14993100.0
67032,2010-07-28,LOW,21.08,20.700001,20.57,21.309998999999998,11207700.0
67501,2010-07-29,LOW,20.98,20.48,20.129998999999998,21.01,14500600.0
67970,2010-07-30,LOW,20.309998999999998,20.74,20.190001000000002,20.809998999999998,11694200.0
68439,2010-08-02,LOW,21.07,21.33,20.809998999999998,21.4,9355800.0
68908,2010-08-03,LOW,21.219998999999998,20.74,20.65,21.280001000000002,11929000.0
69377,2010-08-04,LOW,20.92,20.809998999999998,20.809998999999998,21.129998999999998,11262100.0
69846,2010-08-05,LOW,20.719998999999998,20.74,20.469998999999998,20.940001000000002,10953600.0
70315,2010-08-06,LOW,20.52,20.280001000000002,20.200001,20.620001000000002,15673200.0
70784,2010-08-09,LOW,20.389999,20.309998999999998,20.290001,20.459999,10990000.0
71253,2010-08-10,LOW,20.16,19.92,19.82,20.190001000000002,13426500.0
71722,2010-08-11,LOW,19.73,19.809998999999998,19.35,19.92,19107200.0
72191,2010-08-12,LOW,19.620001000000002,19.74,19.450001,19.83,9941000.0
72660,2010-08-13,LOW,19.620001000000002,19.59,19.549999,20.059998999999998,13805000.0
73129,2010-08-16,LOW,20.08,19.700001,19.58,20.370001000000002,25994300.0
73598,2010-08-17,LOW,20.02,19.99,19.780001000000002,20.34,18203600.0
74067,2010-08-18,LOW,20.040001,20.790001,20.02,20.809998999999998,19607100.0
74536,2010-08-19,LOW,20.620001000000002,20.4,20.129998999999998,20.85,17823900.0
75005,2010-08-20,LOW,20.27,20.639999,20.18,20.719998999999998,12040200.0
75474,2010-08-23,LOW,20.940001000000002,20.23,20.23,21.0,20860700.0
75943,2010-08-24,LOW,19.98,20.219998999999998,19.780001000000002,20.43,22442200.0
76412,2010-08-25,LOW,20.059998999999998,20.709999,20.049999,20.83,19268100.0
76881,2010-08-26,LOW,20.9,20.65,20.639999,20.98,15372200.0
77350,2010-08-27,LOW,20.77,21.1,20.52,21.15,17964900.0
77819,2010-08-30,LOW,21.040001,20.459999,20.450001,21.049999,13174400.0
78288,2010-08-31,LOW,20.35,20.280001000000002,20.25,20.74,16637800.0
78757,2010-09-01,LOW,20.48,21.24,20.469998999999998,21.290001,13041400.0
79226,2010-09-02,LOW,21.33,21.940001000000002,21.280001000000002,22.1,18434900.0
79695,2010-09-03,LOW,22.309998999999998,21.959999,21.74,22.5,11768700.0
80164,2010-09-07,LOW,21.809998999999998,21.530001000000002,21.469998999999998,21.85,8348200.0
80633,2010-09-08,LOW,21.48,21.540001,21.440001000000002,21.700001,8348400.0
81102,2010-09-09,LOW,21.719998999999998,21.57,21.5,21.84,7083500.0
81571,2010-09-10,LOW,21.57,21.52,21.5,21.809998999999998,6703000.0
82040,2010-09-13,LOW,21.68,21.709999,21.58,21.969998999999998,6542500.0
82509,2010-09-14,LOW,21.68,21.530001000000002,21.440001000000002,21.780001000000002,9771800.0
82978,2010-09-15,LOW,21.42,21.48,21.190001000000002,21.540001,8163900.0
83447,2010-09-16,LOW,21.34,21.309998999999998,21.129998999999998,21.469998999999998,8565100.0
83916,2010-09-17,LOW,21.4,21.02,20.959999,21.469998999999998,14891700.0
84385,2010-09-20,LOW,21.139999,21.459999,21.08,21.549999,11164800.0
84854,2010-09-21,LOW,21.559998999999998,21.690001000000002,21.4,22.0,13061200.0
85323,2010-09-22,LOW,21.639999,21.76,21.559998999999998,21.879998999999998,10494000.0
85792,2010-09-23,LOW,21.57,21.52,21.450001,21.9,8182200.0
86261,2010-09-24,LOW,21.83,22.48,21.74,22.530001000000002,12670400.0
86730,2010-09-27,LOW,22.42,22.27,22.24,22.469998999999998,7121700.0
87199,2010-09-28,LOW,22.200001,22.41,21.9,22.48,11880500.0
87668,2010-09-29,LOW,22.309998999999998,22.190001000000002,22.1,22.6,12385400.0
88137,2010-09-30,LOW,22.290001,22.290001,22.120001000000002,22.57,11853300.0
88606,2010-10-01,LOW,22.379998999999998,22.35,22.190001000000002,22.700001,10985400.0
89075,2010-10-04,LOW,22.26,22.24,21.969998999999998,22.51,12470300.0
89544,2010-10-05,LOW,22.4,22.67,22.299999,22.790001,11410900.0
90013,2010-10-06,LOW,22.690001000000002,22.67,22.459999,22.74,9561900.0
90482,2010-10-07,LOW,22.709999,22.629998999999998,22.440001000000002,22.91,11956400.0
90951,2010-10-08,LOW,22.74,22.700001,22.58,22.84,13676500.0
91420,2010-10-11,LOW,22.690001000000002,22.59,22.5,22.83,5210300.0
91889,2010-10-12,LOW,22.450001,22.040001,22.01,22.5,21676600.0
92358,2010-10-13,LOW,22.18,21.889999,21.76,22.200001,15558800.0
92827,2010-10-14,LOW,21.969998999999998,21.68,21.5,22.0,12710300.0
93296,2010-10-15,LOW,21.799999,21.559998999999998,21.280001000000002,21.889999,20615200.0
93765,2010-10-18,LOW,21.34,21.049999,20.879998999999998,21.370001000000002,23215100.0
94234,2010-10-19,LOW,20.83,21.049999,20.799999,21.41,18267300.0
94703,2010-10-20,LOW,21.09,21.65,21.0,21.690001000000002,15242800.0
95172,2010-10-21,LOW,21.77,22.049999,21.709999,22.370001000000002,21890300.0
95641,2010-10-22,LOW,22.08,22.0,21.83,22.08,7189900.0
96110,2010-10-25,LOW,22.07,21.860001,21.83,22.18,7775000.0
96579,2010-10-26,LOW,21.719998999999998,21.719998999999998,21.59,21.98,6384000.0
97048,2010-10-27,LOW,21.530001000000002,21.459999,21.18,21.540001,14100200.0
97517,2010-10-28,LOW,21.549999,21.379998999999998,21.24,21.6,6832200.0
97986,2010-10-29,LOW,21.360001,21.34,21.219998999999998,21.41,7759100.0
98455,2010-11-01,LOW,21.309998999999998,21.190001000000002,21.09,21.6,9258300.0
98924,2010-11-02,LOW,21.4,21.92,21.34,22.040001,11238800.0
99393,2010-11-03,LOW,22.07,21.92,21.610001,22.09,8872900.0
99862,2010-11-04,LOW,22.17,22.299999,22.040001,22.32,8339500.0
100331,2010-11-05,LOW,22.27,22.290001,22.120001000000002,22.469998999999998,8690800.0
100800,2010-11-08,LOW,22.02,22.09,21.84,22.200001,7195300.0
101269,2010-11-09,LOW,22.09,21.65,21.559998999999998,22.110001,10207200.0
101738,2010-11-10,LOW,21.709999,21.860001,21.549999,21.879998999999998,11885300.0
102207,2010-11-11,LOW,21.67,22.299999,21.549999,22.299999,12176600.0
102676,2010-11-12,LOW,22.18,21.690001000000002,21.6,22.190001000000002,14403800.0
103145,2010-11-15,LOW,21.75,21.459999,21.360001,22.48,21399500.0
103614,2010-11-16,LOW,21.440001000000002,21.57,21.34,22.09,22655500.0
104083,2010-11-17,LOW,21.59,21.52,21.370001000000002,21.65,14166300.0
104553,2010-11-18,LOW,21.74,21.639999,21.59,21.860001,10614600.0
105023,2010-11-19,LOW,21.620001000000002,22.09,21.549999,22.15,14257900.0
105493,2010-11-22,LOW,22.02,22.33,21.870001000000002,22.4,13749900.0
105963,2010-11-23,LOW,22.15,22.07,21.93,22.18,11923800.0
106433,2010-11-24,LOW,22.08,22.66,22.08,22.73,13171400.0
106903,2010-11-26,LOW,22.469998999999998,22.24,22.24,22.48,4467300.0
107373,2010-11-29,LOW,22.15,22.360001,21.969998999999998,22.5,11814900.0
107843,2010-11-30,LOW,21.67,22.700001,21.66,22.9,20740900.0
108313,2010-12-01,LOW,22.950001,23.75,22.950001,23.76,20397200.0
108783,2010-12-02,LOW,23.52,24.92,23.52,25.040001,37056700.0
109253,2010-12-03,LOW,24.639999,24.860001,24.43,24.940001000000002,18646300.0
109723,2010-12-06,LOW,24.76,24.82,24.709999,24.870001000000002,12216800.0
110193,2010-12-07,LOW,24.950001,25.15,24.889999,25.27,24580800.0
