,date,symbol,open,close,low,high,volume
526,2010-01-04,MCHP,29.459999,29.18,29.1,29.48,1518700.0
994,2010-01-05,MCHP,29.219998999999998,28.719998999999998,28.629998999999998,29.309998999999998,7795500.0
1462,2010-01-06,MCHP,28.700001,28.48,28.43,28.92,2783800.0
1930,2010-01-07,MCHP,28.690001000000002,28.33,28.120001000000002,28.690001000000002,1788500.0
2398,2010-01-08,MCHP,28.299999,28.5,28.08,28.610001,2050100.0
2866,2010-01-11,MCHP,28.49,28.459999,28.18,28.57,2244800.0
3334,2010-01-12,MCHP,28.35,27.99,27.74,28.540001,2334500.0
3802,2010-01-13,MCHP,28.120001000000002,28.23,27.620001000000002,28.280001000000002,2016800.0
4270,2010-01-14,MCHP,28.110001,28.030001000000002,27.709999,28.16,2258700.0
4738,2010-01-15,MCHP,27.790001,27.389999,27.27,28.110001,2334700.0
5206,2010-01-19,MCHP,27.43,27.76,27.43,27.85,1519700.0
5674,2010-01-20,MCHP,27.49,27.5,27.07,27.76,4018300.0
6142,2010-01-21,MCHP,27.530001000000002,27.23,27.09,27.940001000000002,3660800.0
6610,2010-01-22,MCHP,27.23,26.209999,26.17,27.23,4439300.0
7078,2010-01-25,MCHP,26.290001,26.440001000000002,26.27,26.620001000000002,3903200.0
7546,2010-01-26,MCHP,26.35,26.43,26.18,26.74,3405400.0
8014,2010-01-27,MCHP,26.299999,26.639999,26.16,26.719998999999998,3045200.0
8482,2010-01-28,MCHP,26.6,26.389999,25.790001,26.700001,5168400.0
8950,2010-01-29,MCHP,26.4,25.809998999999998,25.77,26.950001,3841700.0
9418,2010-02-01,MCHP,26.0,26.51,25.799999,26.58,3192400.0
9886,2010-02-02,MCHP,26.6,26.559998999999998,26.23,26.690001000000002,3464700.0
10354,2010-02-03,MCHP,26.450001,26.92,26.07,26.98,4436600.0
10822,2010-02-04,MCHP,26.6,25.950001,25.540001,26.610001,5575400.0
11290,2010-02-05,MCHP,25.92,26.280001000000002,25.700001,26.370001000000002,3763400.0
11758,2010-02-08,MCHP,26.43,26.280001000000002,26.0,26.719998999999998,2366100.0
12226,2010-02-09,MCHP,26.629998999999998,26.41,26.01,26.68,3501900.0
12694,2010-02-10,MCHP,26.4,26.66,26.209999,26.76,2453100.0
13162,2010-02-11,MCHP,26.59,27.190001000000002,26.370001000000002,27.25,3088200.0
13630,2010-02-12,MCHP,26.940001000000002,27.23,26.620001000000002,27.48,2693100.0
14098,2010-02-16,MCHP,27.110001,27.200001,26.969998999999998,27.25,2811700.0
14566,2010-02-17,MCHP,27.34,27.059998999999998,26.67,27.360001,3858100.0
15034,2010-02-18,MCHP,27.07,27.27,26.879998999999998,27.309998999999998,2677000.0
15502,2010-02-19,MCHP,27.370001000000002,27.41,27.08,27.540001,1697200.0
15970,2010-02-22,MCHP,27.59,27.08,27.040001,27.59,2296900.0
16438,2010-02-23,MCHP,27.02,26.879998999999998,26.700001,27.18,3270700.0
16906,2010-02-24,MCHP,27.09,27.290001,27.09,27.52,1743000.0
