,date,symbol,open,close,low,high,volume
531,2010-01-04,MET,35.880001,36.299999,35.459998999999996,36.34,4767000.0
999,2010-01-05,MET,36.080002,37.139998999999996,36.009997999999996,37.23,5604300.0
1467,2010-01-06,MET,37.119999,37.52,36.810001,37.599998,4208600.0
1935,2010-01-07,MET,37.259997999999996,38.049999,37.02,38.110001000000004,6297700.0
2403,2010-01-08,MET,37.799999,38.25,37.439999,38.27,4808800.0
2871,2010-01-11,MET,38.650002,38.5,38.209998999999996,38.900002,7141900.0
3339,2010-01-12,MET,39.0,38.509997999999996,38.349998,39.310001,6480200.0
3807,2010-01-13,MET,38.59,37.919998,37.639998999999996,38.869999,6664900.0
4275,2010-01-14,MET,37.880001,38.279999,37.07,38.439999,5642000.0
4743,2010-01-15,MET,38.029999,37.849998,37.34,38.029999,7618300.0
5211,2010-01-19,MET,37.869999,39.349998,37.639998999999996,40.310001,14774700.0
5679,2010-01-20,MET,38.939999,38.700001,38.0,39.0,6822800.0
6147,2010-01-21,MET,37.799999,37.349998,36.610001000000004,38.450001,11330500.0
6615,2010-01-22,MET,37.220001,36.119999,35.98,37.310001,8264100.0
7083,2010-01-25,MET,36.630001,36.41,36.290001000000004,37.119999,4629500.0
7551,2010-01-26,MET,35.98,35.73,35.57,36.880001,4872400.0
8019,2010-01-27,MET,35.740002000000004,36.400002,35.32,36.549999,5668900.0
8487,2010-01-28,MET,36.470001,35.630001,35.32,36.610001000000004,5061100.0
8955,2010-01-29,MET,36.040001000000004,35.32,35.16,36.330002,4910100.0
9423,2010-02-01,MET,36.099998,35.939999,35.689999,36.790001000000004,4719400.0
9891,2010-02-02,MET,36.490002000000004,36.369999,35.650002,36.639998999999996,6344700.0
10359,2010-02-03,MET,35.389998999999996,34.799999,34.32,35.599998,15039800.0
10827,2010-02-04,MET,35.130001,34.73,34.330002,35.360001000000004,13309300.0
11295,2010-02-05,MET,35.029999,34.68,33.57,35.349998,10360600.0
11763,2010-02-08,MET,34.610001000000004,33.639998999999996,33.599998,34.650002,6369200.0
12231,2010-02-09,MET,34.0,35.150002,33.400002,35.73,16339700.0
12699,2010-02-10,MET,35.099998,34.93,34.529999,35.299999,7349800.0
13167,2010-02-11,MET,34.700001,34.540001000000004,34.310001,34.77,6843800.0
13635,2010-02-12,MET,34.119999,34.639998999999996,33.700001,34.709998999999996,7606100.0
14103,2010-02-16,MET,35.07,35.060001,34.459998999999996,35.23,6902900.0
14571,2010-02-17,MET,35.23,34.869999,34.73,35.369999,6088500.0
15039,2010-02-18,MET,34.740002000000004,34.849998,34.740002000000004,35.029999,6383900.0
15507,2010-02-19,MET,34.700001,35.029999,34.459998999999996,35.240002000000004,7754400.0
15975,2010-02-22,MET,35.119999,35.27,34.91,35.43,6372700.0
16443,2010-02-23,MET,35.209998999999996,34.84,34.369999,35.389998999999996,7503800.0
16911,2010-02-24,MET,34.790001000000004,35.59,34.630001,35.650002,5668200.0
17379,2010-02-25,MET,35.200001,35.84,34.82,35.869999,8377300.0
17847,2010-02-26,MET,35.889998999999996,36.389998999999996,35.41,36.610001000000004,9668700.0
18315,2010-03-01,MET,36.509997999999996,36.540001000000004,36.259997999999996,37.299999,5319900.0
18783,2010-03-02,MET,36.630001,36.790001000000004,36.349998,36.91,4529700.0
19251,2010-03-03,MET,36.880001,36.75,36.619999,37.02,3832700.0
19719,2010-03-04,MET,36.93,38.110001000000004,36.830002,38.18,9054800.0
20187,2010-03-05,MET,38.310001,38.919998,38.130001,39.040001000000004,7082200.0
20655,2010-03-08,MET,40.650002,40.900002,40.040001000000004,41.060001,15602600.0
21123,2010-03-09,MET,40.75,40.810001,40.48,41.5,9184200.0
21591,2010-03-10,MET,40.950001,41.779999,40.810001,42.200001,10721400.0
22059,2010-03-11,MET,41.869999,42.32,41.450001,42.470001,9192300.0
22527,2010-03-12,MET,42.650002,42.110001000000004,41.91,42.939999,6421800.0
22995,2010-03-15,MET,41.970001,42.25,41.639998999999996,42.509997999999996,5754000.0
23463,2010-03-16,MET,42.200001,42.689999,42.110001000000004,42.720001,4616400.0
23931,2010-03-17,MET,43.029999,43.029999,42.849998,43.630001,6089500.0
24399,2010-03-18,MET,43.310001,42.450001,42.189999,43.310001,6597100.0
24867,2010-03-19,MET,41.830002,41.830002,41.669998,42.790001000000004,8516800.0
25335,2010-03-22,MET,41.459998999999996,41.720001,41.060001,42.200001,6699400.0
25803,2010-03-23,MET,41.77,42.169998,41.32,42.200001,4876500.0
26271,2010-03-24,MET,42.029999,41.919998,41.849998,42.689999,4807300.0
26739,2010-03-25,MET,42.310001,42.110001000000004,42.029999,43.0,5692900.0
27207,2010-03-26,MET,42.16,42.259997999999996,42.02,43.02,4595600.0
27675,2010-03-29,MET,42.48,43.0,42.360001000000004,43.09,4788900.0
28143,2010-03-30,MET,42.990002000000004,42.869999,42.830002,43.240002000000004,3558300.0
28611,2010-03-31,MET,42.57,43.34,42.57,43.349998,4884200.0
29079,2010-04-01,MET,43.59,44.009997999999996,43.41,44.040001000000004,5605900.0
29547,2010-04-05,MET,44.209998999999996,44.950001,44.18,45.0,4508500.0
30015,2010-04-06,MET,44.900002,44.84,44.73,45.150002,4536200.0
30483,2010-04-07,MET,44.630001,44.080002,43.799999,44.900002,6392600.0
30951,2010-04-08,MET,43.93,45.5,43.849998,45.619999,7776700.0
31419,2010-04-09,MET,45.73,45.27,44.849998,45.950001,4738400.0
31887,2010-04-12,MET,45.560001,45.630001,45.23,45.720001,4026000.0
32355,2010-04-13,MET,45.439999,45.459998999999996,44.82,45.529999,2912900.0
32823,2010-04-14,MET,45.25,46.43,45.25,46.549999,4877700.0
33291,2010-04-15,MET,45.490002000000004,46.27,45.48,46.330002,3679300.0
33759,2010-04-16,MET,46.0,45.369999,44.75,46.290001000000004,7970800.0
34227,2010-04-19,MET,44.970001,45.98,44.880001,46.009997999999996,5249600.0
34695,2010-04-20,MET,46.279999,46.950001,46.009997999999996,46.970001,3993200.0
35163,2010-04-21,MET,46.919998,46.290001000000004,45.610001000000004,47.029999,6159100.0
35631,2010-04-22,MET,45.779999,46.68,45.400002,46.740002000000004,4634500.0
36099,2010-04-23,MET,46.119999,47.099998,45.799999,47.139998999999996,4672800.0
36567,2010-04-26,MET,46.990002000000004,46.84,46.720001,47.75,4782300.0
37035,2010-04-27,MET,46.43,44.299999,44.049999,46.639998999999996,6997000.0
37504,2010-04-28,MET,44.849998,43.91,43.669998,45.73,10223800.0
37973,2010-04-29,MET,44.470001,45.619999,44.240002000000004,45.740002000000004,6675400.0
38442,2010-04-30,MET,46.240002000000004,45.580002,45.529999,47.720001,11632300.0
38911,2010-05-03,MET,45.950001,45.759997999999996,45.599998,46.450001,6630500.0
39380,2010-05-04,MET,45.209998999999996,44.48,44.130001,45.209998999999996,7202600.0
39849,2010-05-05,MET,43.869999,43.889998999999996,43.580002,44.540001000000004,6678300.0
40318,2010-05-06,MET,43.779999,42.150002,38.139998999999996,43.950001,11250400.0
40787,2010-05-07,MET,42.150002,40.709998999999996,40.07,42.73,11574000.0
