,date,symbol,open,close,low,high,volume
533,2010-01-04,MJN,43.889998999999996,44.990002000000004,43.889998999999996,45.5,6010500.0
1001,2010-01-05,MJN,45.040001000000004,44.610001000000004,44.150002,45.279999,5970900.0
1469,2010-01-06,MJN,44.580002,45.259997999999996,44.290001000000004,45.279999,4554500.0
1937,2010-01-07,MJN,45.259997999999996,45.959998999999996,45.259997999999996,46.16,5370300.0
2405,2010-01-08,MJN,46.0,45.23,45.02,46.040001000000004,2989200.0
2873,2010-01-11,MJN,45.57,45.59,45.0,45.66,1390300.0
3341,2010-01-12,MJN,45.540001000000004,45.490002000000004,45.27,45.860001000000004,2063400.0
3809,2010-01-13,MJN,45.400002,46.290001000000004,45.27,46.470001,2423500.0
4277,2010-01-14,MJN,46.400002,46.310001,46.060001,46.650002,2008500.0
4745,2010-01-15,MJN,46.560001,46.810001,46.060001,47.009997999999996,3229800.0
5213,2010-01-19,MJN,47.189999,46.900002,46.610001000000004,47.450001,1976700.0
5681,2010-01-20,MJN,46.5,46.099998,45.75,46.82,3592600.0
6149,2010-01-21,MJN,46.310001,45.119999,45.049999,46.439999,2243600.0
6617,2010-01-22,MJN,45.0,44.529999,44.299999,45.419998,2973300.0
7085,2010-01-25,MJN,44.889998999999996,43.619999,43.59,44.959998999999996,3243100.0
7553,2010-01-26,MJN,43.52,44.150002,43.5,44.330002,2075200.0
8021,2010-01-27,MJN,43.919998,44.0,43.5,44.290001000000004,2447200.0
8489,2010-01-28,MJN,44.220001,45.169998,44.220001,47.860001000000004,5412200.0
8957,2010-01-29,MJN,45.759997999999996,45.23,45.080002,46.060001,3421400.0
9425,2010-02-01,MJN,45.43,46.25,45.25,46.349998,2957300.0
9893,2010-02-02,MJN,46.330002,45.889998999999996,45.830002,47.080002,1990800.0
10361,2010-02-03,MJN,45.950001,47.0,45.790001000000004,47.099998,2527600.0
10829,2010-02-04,MJN,46.740002000000004,46.509997999999996,45.889998999999996,46.740002000000004,3049100.0
11297,2010-02-05,MJN,46.259997999999996,46.290001000000004,45.790001000000004,46.48,2568600.0
11765,2010-02-08,MJN,46.169998,46.049999,45.939999,46.529999,1387800.0
12233,2010-02-09,MJN,46.34,46.599998,45.919998,47.029999,1569100.0
12701,2010-02-10,MJN,46.529999,46.560001,45.900002,46.849998,1379800.0
13169,2010-02-11,MJN,46.470001,45.299999,45.209998999999996,46.470001,3682100.0
13637,2010-02-12,MJN,45.299999,45.049999,44.919998,45.599998,2506100.0
14105,2010-02-16,MJN,45.400002,45.400002,44.32,45.48,2090800.0
14573,2010-02-17,MJN,45.419998,46.43,45.279999,46.470001,2255500.0
15041,2010-02-18,MJN,46.450001,46.470001,45.779999,46.5,2225100.0
15509,2010-02-19,MJN,46.389998999999996,46.779999,46.240002000000004,46.779999,2864000.0
15977,2010-02-22,MJN,46.759997999999996,46.68,46.34,47.0,2162900.0
16445,2010-02-23,MJN,46.779999,46.209998999999996,46.0,46.939999,1628900.0
16913,2010-02-24,MJN,46.450001,46.299999,45.959998999999996,46.849998,1499000.0
17381,2010-02-25,MJN,45.959998999999996,46.880001,45.959998999999996,47.119999,2258200.0
17849,2010-02-26,MJN,47.060001,47.299999,46.66,47.52,1698900.0
18317,2010-03-01,MJN,47.43,47.830002,47.150002,48.240002000000004,2360500.0
18785,2010-03-02,MJN,47.830002,48.0,47.75,48.400002,1177400.0
19253,2010-03-03,MJN,48.09,48.389998999999996,47.790001000000004,48.5,1268200.0
19721,2010-03-04,MJN,48.419998,48.5,48.130001,48.509997999999996,1744400.0
20189,2010-03-05,MJN,48.860001000000004,49.91,48.5,49.939999,2748400.0
20657,2010-03-08,MJN,49.93,49.959998999999996,49.299999,50.049999,2956600.0
21125,2010-03-09,MJN,49.860001000000004,50.68,49.75,50.849998,2872100.0
21593,2010-03-10,MJN,50.610001000000004,50.939999,50.540001000000004,50.970001,2115100.0
22061,2010-03-11,MJN,50.799999,51.709998999999996,50.75,51.860001000000004,2107000.0
22529,2010-03-12,MJN,51.959998999999996,51.990002000000004,51.650002,52.290001000000004,2053100.0
22997,2010-03-15,MJN,52.040001000000004,51.77,51.57,52.16,1178900.0
23465,2010-03-16,MJN,51.799999,51.110001000000004,50.93,51.799999,2393100.0
23933,2010-03-17,MJN,51.540001000000004,51.41,50.529999,51.549999,2075700.0
24401,2010-03-18,MJN,51.400002,51.73,51.349998,52.07,1582400.0
24869,2010-03-19,MJN,51.389998999999996,51.389998999999996,51.080002,52.25,1989800.0
25337,2010-03-22,MJN,51.080002,51.470001,51.080002,51.540001000000004,1373600.0
25805,2010-03-23,MJN,51.439999,52.330002,50.900002,52.48,2314700.0
26273,2010-03-24,MJN,52.32,51.869999,51.740002000000004,52.68,1806100.0
26741,2010-03-25,MJN,52.18,51.52,51.490002000000004,52.400002,1641500.0
27209,2010-03-26,MJN,51.759997999999996,51.830002,51.5,51.91,1891500.0
27677,2010-03-29,MJN,51.98,52.349998,51.759997999999996,52.439999,972000.0
28145,2010-03-30,MJN,52.849998,52.200001,52.189999,52.869999,1026300.0
28613,2010-03-31,MJN,52.240002000000004,52.029999,51.889998999999996,52.669998,1069100.0
29081,2010-04-01,MJN,52.299999,52.900002,51.950001,52.91,1221500.0
29549,2010-04-05,MJN,52.950001,52.310001,52.189999,53.0,627400.0
30017,2010-04-06,MJN,52.290001000000004,52.290001000000004,51.59,52.639998999999996,1418700.0
30485,2010-04-07,MJN,52.349998,51.84,51.810001,52.549999,749400.0
30953,2010-04-08,MJN,51.799999,51.959998999999996,51.689999,52.009997999999996,1467400.0
31421,2010-04-09,MJN,51.98,52.09,51.75,52.150002,854100.0
31889,2010-04-12,MJN,51.970001,52.25,51.799999,52.740002000000004,1153000.0
32357,2010-04-13,MJN,52.200001,52.32,51.759997999999996,52.869999,944000.0
32825,2010-04-14,MJN,52.310001,52.09,51.759997999999996,52.75,829700.0
33293,2010-04-15,MJN,51.849998,51.59,51.52,52.049999,1227200.0
33761,2010-04-16,MJN,51.650002,51.400002,50.959998999999996,52.25,2063900.0
