,date,symbol,open,close,low,high,volume
547,2010-01-04,MTD,105.480003,105.639999,104.83000200000001,106.209999,95100.0
1015,2010-01-05,MTD,104.730003,103.0,101.309998,104.730003,317200.0
1483,2010-01-06,MTD,102.650002,102.209999,101.519997,104.269997,243400.0
1951,2010-01-07,MTD,102.0,100.440002,100.360001,102.550003,209400.0
2419,2010-01-08,MTD,99.900002,102.139999,99.540001,102.300003,119500.0
2887,2010-01-11,MTD,102.099998,103.050003,101.839996,103.349998,112300.0
3355,2010-01-12,MTD,102.879997,101.589996,101.150002,103.120003,97300.0
3823,2010-01-13,MTD,101.379997,102.970001,101.040001,103.57,160100.0
4291,2010-01-14,MTD,103.199997,103.82,103.010002,104.529999,132000.0
4759,2010-01-15,MTD,104.050003,101.089996,100.970001,104.339996,101700.0
5227,2010-01-19,MTD,100.720001,101.699997,100.550003,102.029999,153400.0
5695,2010-01-20,MTD,101.199997,100.82,99.910004,101.639999,136600.0
6163,2010-01-21,MTD,101.459999,100.16999799999999,99.690002,102.129997,314100.0
6631,2010-01-22,MTD,100.480003,98.779999,98.699997,101.059998,149000.0
7099,2010-01-25,MTD,99.059998,99.089996,98.589996,99.589996,139500.0
7567,2010-01-26,MTD,98.709999,98.970001,98.0,100.07,80100.0
8035,2010-01-27,MTD,98.690002,98.230003,97.0,98.75,182500.0
8503,2010-01-28,MTD,98.0,97.339996,97.339996,99.389999,184900.0
8971,2010-01-29,MTD,97.349998,97.470001,97.269997,99.0,206300.0
9439,2010-02-01,MTD,97.639999,97.68,97.059998,98.459999,234000.0
9907,2010-02-02,MTD,97.970001,98.099998,97.260002,98.949997,267500.0
10375,2010-02-03,MTD,97.519997,100.239998,97.519997,100.300003,282100.0
10843,2010-02-04,MTD,99.440002,96.290001,96.139999,99.940002,361000.0
11311,2010-02-05,MTD,96.010002,96.940002,93.949997,98.449997,620400.0
11779,2010-02-08,MTD,96.349998,94.459999,94.459999,96.980003,312400.0
12247,2010-02-09,MTD,95.489998,95.589996,95.260002,96.18,156800.0
12715,2010-02-10,MTD,95.25,94.099998,93.989998,95.66999799999999,120100.0
13183,2010-02-11,MTD,93.739998,94.849998,93.650002,95.029999,221400.0
13651,2010-02-12,MTD,93.949997,94.33000200000001,93.43,94.66999799999999,424800.0
14119,2010-02-16,MTD,94.800003,95.760002,94.220001,95.769997,209700.0
14587,2010-02-17,MTD,95.809998,96.239998,95.699997,96.449997,157700.0
15055,2010-02-18,MTD,96.309998,96.0,95.839996,96.540001,180200.0
15523,2010-02-19,MTD,95.629997,97.43,95.089996,97.510002,245600.0
15991,2010-02-22,MTD,98.309998,98.360001,97.440002,98.43,243500.0
16459,2010-02-23,MTD,98.449997,98.360001,97.800003,98.66999799999999,247600.0
16927,2010-02-24,MTD,98.209999,98.550003,98.0,99.349998,169600.0
17395,2010-02-25,MTD,98.010002,98.790001,97.110001,98.91999799999999,137600.0
17863,2010-02-26,MTD,98.410004,99.410004,98.410004,99.739998,140000.0
18331,2010-03-01,MTD,99.860001,102.620003,99.43,102.980003,215500.0
18799,2010-03-02,MTD,102.66999799999999,103.610001,102.32,103.839996,156400.0
19267,2010-03-03,MTD,103.870003,103.940002,103.360001,104.629997,96900.0
19735,2010-03-04,MTD,104.18,103.370003,101.650002,104.379997,231500.0
