,date,symbol,open,close,low,high,volume
549,2010-01-04,MUR,47.5993117444,48.290160621800005,47.5906709845,48.411048359300004,1642300.0
1017,2010-01-05,MUR,48.4628713299,49.0759887738,48.16062089810001,49.153708981,1787900.0
1485,2010-01-06,MUR,49.093261658100005,49.827289291899994,48.834201209,50.1122582038,2139200.0
1953,2010-01-07,MUR,49.7409283247,50.3885993092,49.4991416235,50.5613091537,2000200.0
2421,2010-01-08,MUR,50.1813506045,51.5630414508,49.7668419689,51.7443886011,2745500.0
2889,2010-01-11,MUR,51.9602806563,51.45941105359999,51.0794481866,52.0638998273,2579700.0
3357,2010-01-12,MUR,50.2158886011,49.6286692574,48.7910189983,50.58721848020001,3129900.0
3825,2010-01-13,MUR,49.6286692574,49.620029361,48.359240932700004,49.784110535399996,1908800.0
4293,2010-01-14,MUR,49.352329015600006,49.8704680484,49.0414499137,49.9913592401,1212100.0
4761,2010-01-15,MUR,49.637310017299995,49.093261658100005,48.5492210708,49.974090673599996,1969200.0
5229,2010-01-19,MUR,48.773749568199996,49.093261658100005,48.246978411099995,49.170978411099995,1657600.0
5697,2010-01-20,MUR,48.5492210708,48.359240932700004,47.8152003455,48.5578609672,1429600.0
6165,2010-01-21,MUR,48.2642512954,46.7184792746,46.4421381693,48.316058722,2995100.0
6633,2010-01-22,MUR,46.5544006909,45.5613091537,45.474960276400004,47.0725397237,2360200.0
7101,2010-01-25,MUR,46.0276295337,45.5958514681,45.3108782384,46.3903307427,1666200.0
7569,2010-01-26,MUR,45.1295319517,45.008639896400005,44.87910017270001,45.9844585492,1793800.0
8037,2010-01-27,MUR,44.87910017270001,44.7927512954,44.16234974100001,45.32815112270001,2317200.0
8505,2010-01-28,MUR,44.5768583765,44.1018981002,43.3246994819,45.284968911899995,3173200.0
8973,2010-01-29,MUR,44.5854905009,44.1105379966,43.7996476684,44.9222789292,4210300.0
9441,2010-02-01,MUR,44.473227979300006,45.3367875648,44.4645880829,45.4145086356,1722000.0
9909,2010-02-02,MUR,45.4058678757,46.1312599309,45.0431778929,46.2262495682,2306900.0
10377,2010-02-03,MUR,45.794471502600004,45.32815112270001,45.0,45.941279792799996,1766600.0
10845,2010-02-04,MUR,44.7927512954,43.5060379966,43.3765103627,44.887740932700005,1832100.0
11313,2010-02-05,MUR,43.7219309154,43.8255613126,42.3143385147,43.8428307427,2526200.0
11781,2010-02-08,MUR,43.7219309154,43.290160621800005,43.2815207254,44.16234974100001,2382500.0
12249,2010-02-09,MUR,43.929191709899996,44.4905008636,43.6183091537,44.9309196891,2441100.0
12717,2010-02-10,MUR,44.386871329899996,43.9550889465,43.48014076,44.6114006909,1989900.0
13185,2010-02-11,MUR,43.696029361,44.4905008636,43.445598445600005,44.6459386874,1663500.0
13653,2010-02-12,MUR,43.7219309154,44.2659792746,43.4628713299,44.5941312608,1929600.0
14121,2010-02-16,MUR,44.844558721999995,45.5094982729,44.784110535399996,45.5094982729,2032200.0
14589,2010-02-17,MUR,45.60448791020001,45.3195189983,44.939548359300005,45.6562996546,1618900.0
15057,2010-02-18,MUR,45.2158886011,45.820380828999994,45.008639896400005,45.941279792799996,1395600.0
15525,2010-02-19,MUR,45.613128670100004,46.2003514681,45.60448791020001,46.4335094992,1449200.0
15993,2010-02-22,MUR,46.364421416300004,45.8981018999,45.7858385147,46.6580310881,1790300.0
16461,2010-02-23,MUR,45.7513005182,44.7150302246,44.68912089810001,45.8549188256,1696500.0
16929,2010-02-24,MUR,44.9136390328,44.8186493955,44.378238341999996,45.146800518199996,1318600.0
17397,2010-02-25,MUR,43.88600863560001,44.51641019,43.45423057,44.6114006909,1361300.0
17865,2010-02-26,MUR,44.758201209,44.8186493955,44.153708981,45.01726856649999,1992900.0
18333,2010-03-01,MUR,45.1899792746,45.9844585492,45.0690803109,46.0190008636,1991600.0
18801,2010-03-02,MUR,46.2003514681,46.33850863560001,46.0276295337,46.7098385147,2064000.0
19269,2010-03-03,MUR,46.4766804836,46.1485284974,46.0103601037,46.7184792746,1825000.0
19737,2010-03-04,MUR,46.1139905009,45.9499093265,45.466319516400006,46.2694283247,1698400.0
20205,2010-03-05,MUR,46.364421416300004,46.545768566499994,46.3039697755,46.8480103627,1934500.0
20673,2010-03-08,MUR,46.528499136499995,46.3730578584,46.2176208981,46.9084585492,1619500.0
21141,2010-03-09,MUR,46.0362694301,46.2607918826,45.932639896400005,46.588950777200004,1884000.0
