,date,symbol,open,close,low,high,volume
561,2010-01-04,NRG,23.780001000000002,23.870001000000002,23.700001,24.129998999999998,1683700.0
1029,2010-01-05,NRG,23.959999,24.24,23.809998999999998,24.280001000000002,3473400.0
1497,2010-01-06,NRG,24.25,24.77,24.110001,24.790001,2719300.0
1965,2010-01-07,NRG,24.790001,24.91,24.73,25.24,3200800.0
2433,2010-01-08,NRG,24.809998999999998,24.5,24.48,25.01,1694600.0
2901,2010-01-11,NRG,24.690001000000002,24.73,24.690001000000002,25.0,2128700.0
3369,2010-01-12,NRG,24.6,24.040001,24.0,24.6,3446100.0
3837,2010-01-13,NRG,24.129998999999998,24.299999,24.09,24.35,2704100.0
4305,2010-01-14,NRG,24.25,24.049999,24.0,24.34,2016600.0
4773,2010-01-15,NRG,24.620001000000002,24.4,24.309998999999998,25.129998999999998,4573900.0
5241,2010-01-19,NRG,24.299999,25.15,24.299999,25.15,3141600.0
5709,2010-01-20,NRG,25.040001,24.67,24.5,25.049999,3770000.0
6177,2010-01-21,NRG,24.629998999999998,24.0,23.99,24.84,4069800.0
6645,2010-01-22,NRG,25.15,24.73,24.59,25.540001,16160300.0
7113,2010-01-25,NRG,24.91,24.940001000000002,24.799999,25.09,5075600.0
7581,2010-01-26,NRG,24.93,24.92,24.73,25.040001,3794800.0
8049,2010-01-27,NRG,25.219998999999998,24.99,24.639999,25.700001,11804700.0
8517,2010-01-28,NRG,25.110001,24.719998999999998,24.51,25.25,52002800.0
8985,2010-01-29,NRG,24.540001,24.110001,24.049999,24.690001000000002,8070400.0
9453,2010-02-01,NRG,24.15,23.9,23.559998999999998,24.23,6514500.0
9921,2010-02-02,NRG,23.889999,23.559998999999998,23.389999,23.889999,6373100.0
10389,2010-02-03,NRG,23.42,23.110001,23.049999,23.549999,3993600.0
10857,2010-02-04,NRG,23.0,22.1,22.049999,23.0,5576400.0
11325,2010-02-05,NRG,22.09,21.709999,21.379998999999998,22.129998999999998,5825600.0
11793,2010-02-08,NRG,21.82,21.59,21.559998999999998,22.01,3785300.0
12261,2010-02-09,NRG,21.860001,21.889999,21.74,22.27,4363100.0
12729,2010-02-10,NRG,21.9,21.66,21.34,21.91,3560600.0
13197,2010-02-11,NRG,21.950001,22.219998999999998,21.68,22.280001000000002,4536200.0
13665,2010-02-12,NRG,22.049999,22.059998999999998,21.65,22.07,4044000.0
14133,2010-02-16,NRG,22.129998999999998,22.49,22.1,22.49,2689900.0
14601,2010-02-17,NRG,22.549999,22.59,22.41,22.76,3466400.0
15069,2010-02-18,NRG,22.41,22.57,22.280001000000002,22.65,4348400.0
15537,2010-02-19,NRG,22.59,23.200001,22.440001000000002,23.450001,5192300.0
16005,2010-02-22,NRG,23.42,23.07,23.049999,23.52,3992000.0
16473,2010-02-23,NRG,22.5,22.26,22.200001,22.879998999999998,5158300.0
16941,2010-02-24,NRG,22.33,21.860001,21.57,22.5,5536400.0
17409,2010-02-25,NRG,21.42,22.07,21.360001,22.129998999999998,5194900.0
17877,2010-02-26,NRG,22.110001,21.84,21.6,22.24,5076400.0
18345,2010-03-01,NRG,21.889999,22.58,21.879998999999998,22.66,4454300.0
18813,2010-03-02,NRG,22.66,22.67,22.639999,22.969998999999998,5342400.0
19281,2010-03-03,NRG,22.74,22.5,22.48,22.98,4167100.0
19749,2010-03-04,NRG,22.41,22.299999,22.0,22.43,5632700.0
20217,2010-03-05,NRG,22.34,22.82,22.34,23.02,4665700.0
20685,2010-03-08,NRG,22.799999,22.9,22.700001,23.030001000000002,1857500.0
21153,2010-03-09,NRG,22.83,22.75,22.719998999999998,22.98,2425900.0
21621,2010-03-10,NRG,22.700001,22.639999,22.559998999999998,22.83,2847600.0
22089,2010-03-11,NRG,22.559998999999998,22.940001000000002,22.52,22.940001000000002,2830900.0
22557,2010-03-12,NRG,22.73,22.190001000000002,22.07,22.879998999999998,5232100.0
23025,2010-03-15,NRG,22.16,22.27,22.02,22.35,2323500.0
23493,2010-03-16,NRG,22.309998999999998,22.5,22.129998999999998,22.52,2155700.0
23961,2010-03-17,NRG,22.5,22.469998999999998,22.379998999999998,22.639999,2610400.0
24429,2010-03-18,NRG,22.59,22.02,21.959999,22.6,5028000.0
24897,2010-03-19,NRG,22.059998999999998,22.059998999999998,21.799999,22.35,5196100.0
25365,2010-03-22,NRG,21.98,21.620001000000002,21.59,22.030001000000002,3602500.0
25833,2010-03-23,NRG,21.610001,21.58,21.51,21.719998999999998,5733800.0
26301,2010-03-24,NRG,21.34,21.17,21.030001000000002,21.57,5763500.0
26769,2010-03-25,NRG,20.93,20.32,20.280001000000002,21.049999,5807500.0
27237,2010-03-26,NRG,20.280001000000002,20.25,20.200001,20.58,4812200.0
27705,2010-03-29,NRG,20.34,20.6,20.299999,20.629998999999998,4323100.0
28173,2010-03-30,NRG,20.700001,21.09,20.58,21.17,4447200.0
28641,2010-03-31,NRG,21.02,20.9,20.85,21.120001000000002,3365700.0
29109,2010-04-01,NRG,21.08,21.459999,21.059998999999998,21.6,3671500.0
29577,2010-04-05,NRG,21.549999,21.65,21.459999,21.809998999999998,4275700.0
30045,2010-04-06,NRG,21.620001000000002,21.639999,21.4,21.74,3130600.0
30513,2010-04-07,NRG,21.5,21.450001,21.389999,21.620001000000002,4468000.0
30981,2010-04-08,NRG,21.370001000000002,21.66,21.17,21.76,3457600.0
31449,2010-04-09,NRG,21.51,21.799999,21.290001,21.84,3709900.0
31917,2010-04-12,NRG,21.950001,22.41,21.950001,22.629998999999998,4397600.0
32385,2010-04-13,NRG,22.49,22.549999,22.02,22.610001,3212500.0
32853,2010-04-14,NRG,22.530001000000002,22.49,22.299999,22.540001,2744100.0
33321,2010-04-15,NRG,22.5,22.700001,22.26,22.76,2654300.0
33789,2010-04-16,NRG,22.620001000000002,21.85,21.83,22.690001000000002,4905000.0
