,date,symbol,open,close,low,high,volume
562,2010-01-04,NSC,52.830002,52.59,52.040001000000004,52.830002,1884500.0
1030,2010-01-05,NSC,52.560001,53.400002,52.5,53.619999,1803900.0
1498,2010-01-06,NSC,53.130001,53.25,53.009997999999996,53.959998999999996,2116000.0
1966,2010-01-07,NSC,53.009997999999996,52.549999,52.110001000000004,53.029999,3161500.0
2434,2010-01-08,NSC,52.439999,54.360001000000004,52.439999,54.759997999999996,3042400.0
2902,2010-01-11,NSC,54.73,54.23,53.73,54.73,1452500.0
3370,2010-01-12,NSC,53.84,54.02,53.580002,54.330002,2466200.0
3838,2010-01-13,NSC,54.029999,54.0,53.310001,54.220001,1497600.0
4306,2010-01-14,NSC,53.75,53.150002,52.759997999999996,53.959998999999996,2677100.0
4774,2010-01-15,NSC,53.360001000000004,52.779999,52.310001,53.360001000000004,2805900.0
5242,2010-01-19,NSC,52.900002,53.049999,52.470001,53.150002,1779200.0
5710,2010-01-20,NSC,52.009997999999996,51.75,50.900002,52.080002,3114800.0
6178,2010-01-21,NSC,51.599998,50.400002,50.380001,52.5,3712600.0
6646,2010-01-22,NSC,50.400002,49.650002,49.549999,50.900002,2728300.0
7114,2010-01-25,NSC,50.200001,49.869999,49.5,50.330002,1600900.0
7582,2010-01-26,NSC,49.709998999999996,49.75,49.380001,50.5,2461000.0
8050,2010-01-27,NSC,49.560001,50.43,49.189999,50.669998,3019000.0
8518,2010-01-28,NSC,49.93,48.09,47.810001,49.939999,4524100.0
8986,2010-01-29,NSC,48.0,47.060001,46.98,48.540001000000004,3038300.0
9454,2010-02-01,NSC,47.279999,48.080002,47.279999,48.5,2305800.0
9922,2010-02-02,NSC,48.419998,49.0,48.049999,49.540001000000004,2867500.0
10390,2010-02-03,NSC,48.59,48.450001,48.25,49.25,1710700.0
10858,2010-02-04,NSC,48.009997999999996,46.830002,46.77,48.150002,2929400.0
11326,2010-02-05,NSC,46.73,47.099998,46.18,47.290001000000004,3011500.0
11794,2010-02-08,NSC,47.009997999999996,46.310001,46.25,47.599998,3128000.0
12262,2010-02-09,NSC,47.27,47.139998999999996,46.93,47.75,1898500.0
12730,2010-02-10,NSC,47.099998,46.990002000000004,46.310001,47.380001,2391300.0
13198,2010-02-11,NSC,46.849998,48.580002,46.759997999999996,48.919998,3510200.0
13666,2010-02-12,NSC,48.099998,48.48,47.75,48.549999,2419000.0
14134,2010-02-16,NSC,48.77,49.889998999999996,48.400002,49.919998,2512100.0
14602,2010-02-17,NSC,49.900002,49.259997999999996,48.889998999999996,50.0,2253500.0
15070,2010-02-18,NSC,49.389998999999996,50.25,49.220001,50.349998,2693600.0
15538,2010-02-19,NSC,49.970001,51.009997999999996,49.970001,51.299999,3290700.0
16006,2010-02-22,NSC,51.240002000000004,51.139998999999996,50.82,51.369999,1665500.0
16474,2010-02-23,NSC,51.009997999999996,50.68,50.18,51.18,1997400.0
16942,2010-02-24,NSC,50.830002,51.110001000000004,50.549999,51.16,1715300.0
17410,2010-02-25,NSC,50.669998,51.650002,50.09,51.740002000000004,2563100.0
17878,2010-02-26,NSC,51.630001,51.43,51.040001000000004,51.73,2579400.0
18346,2010-03-01,NSC,52.57,52.639998999999996,52.200001,53.060001,2915200.0
18814,2010-03-02,NSC,53.02,52.709998999999996,52.48,53.099998,1423400.0
19282,2010-03-03,NSC,52.73,52.220001,52.139998999999996,53.0,1834400.0
19750,2010-03-04,NSC,52.029999,52.470001,52.0,52.779999,2614400.0
20218,2010-03-05,NSC,52.790001000000004,52.970001,52.599998,53.150002,2668300.0
20686,2010-03-08,NSC,53.110001000000004,52.970001,52.560001,53.380001,1839300.0
21154,2010-03-09,NSC,52.950001,53.740002000000004,52.889998999999996,54.040001000000004,2369400.0
21622,2010-03-10,NSC,54.0,53.869999,53.32,54.43,1979600.0
22090,2010-03-11,NSC,53.950001,54.360001000000004,53.869999,54.549999,1878900.0
22558,2010-03-12,NSC,54.790001000000004,54.450001,53.98,54.790001000000004,1272100.0
23026,2010-03-15,NSC,54.349998,54.560001,53.990002000000004,54.68,1277700.0
23494,2010-03-16,NSC,54.709998999999996,55.130001,54.52,55.209998999999996,2142400.0
23962,2010-03-17,NSC,55.209998999999996,55.279999,54.990002000000004,55.549999,1742900.0
24430,2010-03-18,NSC,55.029999,55.68,54.98,56.02,2248900.0
24898,2010-03-19,NSC,55.330002,55.330002,55.009997999999996,56.169998,3175700.0
25366,2010-03-22,NSC,55.029999,55.400002,54.549999,55.709998999999996,2811500.0
25834,2010-03-23,NSC,55.57,55.240002000000004,54.459998999999996,55.82,2933700.0
26302,2010-03-24,NSC,55.040001000000004,54.66,54.139998999999996,55.040001000000004,2841400.0
