,date,symbol,open,close,low,high,volume
563,2010-01-04,NTAP,34.59,34.189999,34.0,34.869999,5320100.0
1031,2010-01-05,NTAP,34.099998,33.59,33.380001,34.349998,7933900.0
1499,2010-01-06,NTAP,33.470001,33.349998,33.099998,33.990002000000004,5193900.0
1967,2010-01-07,NTAP,33.240002000000004,33.27,32.990002000000004,33.529999,5373000.0
2435,2010-01-08,NTAP,33.119999,33.540001000000004,32.779999,33.59,4718400.0
2903,2010-01-11,NTAP,33.540001000000004,32.939999,32.73,33.75,5526800.0
3371,2010-01-12,NTAP,32.799999,32.450001,32.049999,33.02,7329600.0
3839,2010-01-13,NTAP,32.709998999999996,33.73,32.700001,33.869999,6933200.0
4307,2010-01-14,NTAP,33.630001,33.650002,33.599998,34.25,5474000.0
4775,2010-01-15,NTAP,33.880001,33.150002,32.990002000000004,34.0,5337800.0
5243,2010-01-19,NTAP,33.16,33.299999,33.16,33.84,5129400.0
5711,2010-01-20,NTAP,33.07,32.5,31.799999,33.07,5545900.0
6179,2010-01-21,NTAP,32.380001,31.780001000000002,31.620001000000002,33.040001000000004,9320500.0
6647,2010-01-22,NTAP,31.540001,30.780001000000002,30.76,32.110001000000004,9246500.0
7115,2010-01-25,NTAP,31.01,30.93,30.58,31.42,5594800.0
7583,2010-01-26,NTAP,30.790001,30.91,30.530001000000002,31.540001,5227400.0
8051,2010-01-27,NTAP,30.68,30.93,30.309998999999998,31.209999,5722600.0
8519,2010-01-28,NTAP,30.6,29.82,29.48,30.92,9192700.0
8987,2010-01-29,NTAP,29.959999,29.129998999999998,28.92,30.280001000000002,8728400.0
9455,2010-02-01,NTAP,29.1,30.110001,29.1,30.16,5670000.0
9923,2010-02-02,NTAP,30.139999,30.969998999999998,30.0,31.129998999999998,8363000.0
10391,2010-02-03,NTAP,30.84,31.02,30.66,31.16,5400500.0
10859,2010-02-04,NTAP,30.74,29.889999,29.84,30.950001,8937500.0
11327,2010-02-05,NTAP,30.07,30.379998999999998,29.469998999999998,30.469998999999998,9856400.0
11795,2010-02-08,NTAP,30.5,30.52,30.200001,31.07,5738000.0
12263,2010-02-09,NTAP,30.91,31.01,30.41,31.18,6610900.0
12731,2010-02-10,NTAP,30.889999,30.76,30.530001000000002,31.1,4356600.0
13199,2010-02-11,NTAP,30.75,31.540001,30.5,31.629998999999998,5711200.0
13667,2010-02-12,NTAP,31.08,31.459999,30.790001,31.610001,4397400.0
14135,2010-02-16,NTAP,31.91,32.299999,31.74,32.32,7300700.0
14603,2010-02-17,NTAP,32.299999,32.080002,31.700001,32.310001,11614800.0
15071,2010-02-18,NTAP,31.58,31.68,30.26,31.700001,19885800.0
15539,2010-02-19,NTAP,31.469998999999998,31.290001,31.0,31.860001,10254200.0
16007,2010-02-22,NTAP,31.51,30.639999,30.540001,31.51,6244100.0
16475,2010-02-23,NTAP,30.41,29.9,29.620001000000002,30.549999,7964600.0
16943,2010-02-24,NTAP,30.059998999999998,29.83,29.57,30.35,9370800.0
17411,2010-02-25,NTAP,29.35,30.01,29.200001,30.16,7590900.0
17879,2010-02-26,NTAP,29.99,30.01,29.799999,30.290001,6076300.0
18347,2010-03-01,NTAP,30.27,31.459999,30.120001000000002,31.52,9051400.0
18815,2010-03-02,NTAP,31.530001000000002,31.09,30.790001,31.690001000000002,7709200.0
19283,2010-03-03,NTAP,31.26,31.24,30.99,32.009997999999996,7451900.0
19751,2010-03-04,NTAP,31.33,31.360001,31.030001000000002,31.42,5098000.0
20219,2010-03-05,NTAP,31.469998999999998,32.049999,31.469998999999998,32.23,6557700.0
20687,2010-03-08,NTAP,32.369999,32.509997999999996,32.34,32.889998999999996,5319400.0
21155,2010-03-09,NTAP,32.209998999999996,32.549999,32.209998999999996,32.860001000000004,4808300.0
21623,2010-03-10,NTAP,32.419998,33.18,32.419998,33.310001,7204400.0
22091,2010-03-11,NTAP,33.150002,33.32,32.880001,33.34,5345100.0
22559,2010-03-12,NTAP,33.529999,32.91,32.75,33.689999,4583900.0
23027,2010-03-15,NTAP,33.27,32.82,32.549999,33.299999,3756000.0
23495,2010-03-16,NTAP,32.990002000000004,33.189999,32.650002,33.23,4010400.0
23963,2010-03-17,NTAP,32.75,33.040001000000004,32.75,33.400002,5094900.0
24431,2010-03-18,NTAP,32.970001,33.299999,32.830002,33.369999,3209700.0
24899,2010-03-19,NTAP,33.34,32.459998999999996,32.16,33.580002,8786600.0
25367,2010-03-22,NTAP,32.200001,32.939999,32.200001,33.169998,3625200.0
25835,2010-03-23,NTAP,32.959998999999996,32.740002000000004,32.43,32.98,5347700.0
26303,2010-03-24,NTAP,32.580002,33.169998,32.450001,33.279999,4908300.0
26771,2010-03-25,NTAP,33.5,32.619999,32.610001000000004,33.509997999999996,6013700.0
27239,2010-03-26,NTAP,33.060001,32.73,32.48,33.110001000000004,5679800.0
27707,2010-03-29,NTAP,32.939999,32.540001000000004,32.419998,33.189999,3203800.0
28175,2010-03-30,NTAP,32.509997999999996,32.57,32.049999,32.720001,3747100.0
28643,2010-03-31,NTAP,32.25,32.540001000000004,32.25,32.84,3523500.0
29111,2010-04-01,NTAP,33.240002000000004,34.259997999999996,33.220001,34.669998,12611400.0
29579,2010-04-05,NTAP,34.330002,34.77,34.189999,34.91,5016200.0
30047,2010-04-06,NTAP,34.580002,34.830002,34.310001,34.880001,4068500.0
30515,2010-04-07,NTAP,34.720001,35.119999,34.650002,35.59,8154800.0
30983,2010-04-08,NTAP,34.93,34.84,34.09,35.0,5252600.0
31451,2010-04-09,NTAP,34.900002,35.529999,34.869999,35.529999,6107500.0
31919,2010-04-12,NTAP,35.150002,34.939999,34.709998999999996,35.529999,5231100.0
32387,2010-04-13,NTAP,34.700001,34.689999,34.549999,35.029999,3983300.0
