,date,symbol,open,close,low,high,volume
567,2010-01-04,NWL,15.12,15.2,15.07,15.43,2925800.0
1035,2010-01-05,NWL,15.27,15.11,14.98,15.28,2885400.0
1503,2010-01-06,NWL,15.05,15.38,15.04,15.4,4676500.0
1971,2010-01-07,NWL,15.54,15.82,15.33,15.87,3613200.0
2439,2010-01-08,NWL,15.7,15.77,15.56,15.8,1915900.0
2907,2010-01-11,NWL,15.86,15.6,15.56,15.86,2321700.0
3375,2010-01-12,NWL,15.46,15.4,15.22,15.59,3032900.0
3843,2010-01-13,NWL,15.4,15.51,15.38,15.57,2514000.0
4311,2010-01-14,NWL,15.46,15.45,15.42,15.55,2204300.0
4779,2010-01-15,NWL,15.38,14.91,14.91,15.44,4555400.0
5247,2010-01-19,NWL,15.02,15.2,14.93,15.44,10731500.0
5715,2010-01-20,NWL,15.13,15.13,15.01,15.24,4472700.0
6183,2010-01-21,NWL,15.23,14.77,14.73,15.23,5474500.0
6651,2010-01-22,NWL,14.72,14.47,14.44,14.93,4615800.0
7119,2010-01-25,NWL,14.61,14.54,14.42,14.7,2533700.0
7587,2010-01-26,NWL,14.44,14.43,14.36,14.6,3819100.0
8055,2010-01-27,NWL,14.43,14.26,14.02,14.5,4837200.0
8523,2010-01-28,NWL,14.32,14.2,14.04,14.36,4504300.0
8991,2010-01-29,NWL,14.02,13.57,13.21,14.11,15226700.0
9459,2010-02-01,NWL,13.81,13.64,13.39,13.81,9550300.0
9927,2010-02-02,NWL,14.03,14.24,13.83,14.48,7714400.0
10395,2010-02-03,NWL,14.14,14.13,14.03,14.31,4598600.0
10863,2010-02-04,NWL,14.01,13.56,13.54,14.05,4746800.0
11331,2010-02-05,NWL,13.53,13.36,13.11,13.56,5776500.0
11799,2010-02-08,NWL,13.75,13.58,13.51,13.92,6038800.0
12267,2010-02-09,NWL,13.74,13.84,13.58,13.88,3775800.0
12735,2010-02-10,NWL,13.83,13.64,13.5,13.85,4896500.0
13203,2010-02-11,NWL,13.59,13.77,13.46,13.84,6039200.0
13671,2010-02-12,NWL,13.59,13.78,13.45,13.81,3292800.0
14139,2010-02-16,NWL,13.81,13.76,13.65,13.85,4969100.0
14607,2010-02-17,NWL,13.81,13.75,13.61,13.88,3938000.0
15075,2010-02-18,NWL,13.69,13.83,13.66,13.9,2232000.0
