,date,symbol,open,close,low,high,volume
568,2010-01-04,O,26.26,26.1,25.959999,26.5,876900.0
1036,2010-01-05,O,26.4,26.540001,26.01,26.540001,664000.0
1504,2010-01-06,O,26.610001,26.52,26.26,26.610001,971500.0
1972,2010-01-07,O,26.59,27.08,26.35,27.15,1219300.0
2440,2010-01-08,O,26.99,27.450001,26.959999,27.5,789700.0
2908,2010-01-11,O,27.530001000000002,27.24,27.200001,27.549999,703000.0
3376,2010-01-12,O,27.15,27.34,27.09,27.379998999999998,618100.0
3844,2010-01-13,O,27.620001000000002,27.65,27.25,27.719998999999998,734000.0
4312,2010-01-14,O,27.530001000000002,27.540001,27.42,27.74,676800.0
4780,2010-01-15,O,27.68,27.49,27.469998999999998,27.75,700800.0
5248,2010-01-19,O,27.5,27.950001,27.5,28.1,1010300.0
5716,2010-01-20,O,27.809998999999998,27.530001000000002,27.51,28.0,581700.0
6184,2010-01-21,O,27.6,26.92,26.92,27.85,1016400.0
6652,2010-01-22,O,27.09,26.27,26.27,27.75,1425800.0
7120,2010-01-25,O,26.620001000000002,26.85,26.25,26.99,762800.0
7588,2010-01-26,O,26.879998999999998,27.27,26.73,27.549999,688600.0
8056,2010-01-27,O,27.190001000000002,27.84,26.879998999999998,27.84,906900.0
8524,2010-01-28,O,27.950001,27.780001000000002,27.360001,27.950001,1019400.0
8992,2010-01-29,O,27.82,27.93,27.469998999999998,27.950001,1001400.0
9460,2010-02-01,O,27.99,27.860001,27.440001000000002,28.0,902500.0
9928,2010-02-02,O,27.860001,27.700001,27.48,28.0,793200.0
10396,2010-02-03,O,27.549999,27.059998999999998,26.959999,27.74,621200.0
10864,2010-02-04,O,26.959999,26.02,26.0,27.299999,1479000.0
11332,2010-02-05,O,26.209999,26.120001000000002,25.6,26.549999,1956700.0
11800,2010-02-08,O,26.42,25.74,25.74,26.5,864600.0
12268,2010-02-09,O,26.09,25.52,25.440001000000002,26.09,1156800.0
12736,2010-02-10,O,25.58,25.75,25.280001000000002,25.82,914900.0
13204,2010-02-11,O,25.610001,26.030001000000002,25.42,26.24,914000.0
13672,2010-02-12,O,26.02,26.99,25.799999,27.049999,1132900.0
14140,2010-02-16,O,27.09,27.85,27.08,27.92,1222400.0
14608,2010-02-17,O,27.950001,28.32,27.9,28.32,1006800.0
15076,2010-02-18,O,28.290001,28.75,28.25,28.879998999999998,898100.0
15544,2010-02-19,O,28.629998999999998,28.58,28.440001000000002,28.790001,794300.0
