,date,symbol,open,close,low,high,volume
569,2010-01-04,OKE,19.646297496099997,19.9527223779,19.646297496099997,20.0096300998,1759600.0
1037,2010-01-05,OKE,19.9177035545,19.7776221327,19.5193481877,20.0271397303,3324900.0
1505,2010-01-06,OKE,19.817020224100002,19.8914375766,19.6988277009,19.930835668,1769400.0
1973,2010-01-07,OKE,19.9220810716,19.760112502200002,19.628786114500002,19.9220810716,1609800.0
2441,2010-01-08,OKE,19.7469786377,19.8739279461,19.5981443705,19.8958146559,1061300.0
2909,2010-01-11,OKE,19.9964979863,20.3160571704,19.8914375766,20.3598327788,1793000.0
3377,2010-01-12,OKE,20.2285059534,20.0183846962,19.9439677815,20.298545788800002,1631200.0
3845,2010-01-13,OKE,20.1322001401,20.1015583961,19.9395902644,20.1322001401,876900.0
4313,2010-01-14,OKE,20.0140076169,19.9833658729,19.9177035545,20.136577657100002,1537600.0
4781,2010-01-15,OKE,19.9220810716,19.6638066888,19.541236648599998,19.9220810716,1220700.0
5249,2010-01-19,OKE,19.5981443705,20.123445543699997,19.554368762,20.1628436351,1614300.0
5717,2010-01-20,OKE,20.0227622133,20.123445543699997,19.6988277009,20.136577657100002,1684000.0
6185,2010-01-21,OKE,20.158466118,19.9527223779,19.7907542462,20.3598327788,1651100.0
6653,2010-01-22,OKE,19.9352131851,19.6068989669,19.5675008755,19.9658544913,910100.0
7121,2010-01-25,OKE,19.7119598144,19.7951317633,19.5981443705,19.9045696901,1318500.0
7589,2010-01-26,OKE,19.7075822973,19.8432844511,19.685693836400002,20.0052525827,678000.0
8057,2010-01-27,OKE,19.5631237962,19.2216774645,18.9852924181,19.5981443705,1484400.0
8525,2010-01-28,OKE,19.3004723341,19.0159337244,18.9677810366,19.326738312,867100.0
8993,2010-01-29,OKE,19.0640868499,18.4687440903,18.4687440903,19.1253716512,2032800.0
9461,2010-02-01,OKE,18.5694274208,18.8583431098,18.4512348976,18.8889866048,1332000.0
9929,2010-02-02,OKE,18.8364563999,18.9546489231,18.7401501488,18.9896694975,1398000.0
10397,2010-02-03,OKE,18.8233242865,18.7970578708,18.718263439,18.9240054281,971500.0
10865,2010-02-04,OKE,18.6701107512,18.114166083,18.114166083,18.6701107512,1161300.0
11333,2010-02-05,OKE,18.1229206794,17.8383825074,17.4881802661,18.1229206794,1771300.0
11801,2010-02-08,OKE,17.9171769392,17.7814747855,17.7289445806,18.0309923831,870300.0
12269,2010-02-09,OKE,18.096654701400002,18.1010322185,17.908422342799998,18.2498682367,1080200.0
12737,2010-02-10,OKE,18.109789003699998,17.9915942917,17.798984416,18.2017155489,962600.0
13205,2010-02-11,OKE,17.9303090527,18.2192269305,17.851514620899998,18.2192269305,753800.0
13673,2010-02-12,OKE,18.000350639100002,18.2411136403,17.851514620899998,18.2411136403,1504500.0
14141,2010-02-16,OKE,18.385572141500003,18.5781820172,18.350551567100002,18.5781820172,1426300.0
14609,2010-02-17,OKE,18.6175801086,18.7007520574,18.5300293294,18.7007520574,2041300.0
15077,2010-02-18,OKE,18.6350897391,18.687619944,18.512519698800002,18.687619944,1192400.0
15545,2010-02-19,OKE,18.6482218526,18.8233242865,18.5956916477,18.8408334792,1731800.0
