,date,symbol,open,close,low,high,volume
573,2010-01-04,OXY,79.3282207294,79.750484645,78.88676103649999,80.1439558542,3624100.0
1041,2010-01-05,OXY,79.8272591171,79.1746717851,78.7236142035,79.875240883,3509400.0
1509,2010-01-06,OXY,79.0787015355,80.1247677544,78.5316737045,80.4894452975,5569100.0
1977,2010-01-07,OXY,79.6065335893,79.5297514396,79.0499078695,80.2591209213,4293200.0
2445,2010-01-08,OXY,79.1938598849,80.3454942419,78.2437629559,80.4030729367,4329000.0
2913,2010-01-11,OXY,80.7581602688,79.6161238004,78.982731286,81.4107552783,4072400.0
3381,2010-01-12,OXY,78.50288003840001,76.9289894434,76.68906046069999,78.8579673705,7059600.0
3849,2010-01-13,OXY,77.1017341651,76.420353167,75.43186564300001,77.44722360850001,7672400.0
4317,2010-01-14,OXY,75.9596976968,77.0153618043,75.9309049904,77.1881065259,4709500.0
4785,2010-01-15,OXY,76.8138243762,75.7389644914,75.1919443378,77.0345499041,8238800.0
5253,2010-01-19,OXY,75.4798474089,76.1612360845,75.0959740883,76.228412668,5690300.0
5721,2010-01-20,OXY,75.43186564300001,75.0575834933,73.71401631479999,75.43186564300001,6279000.0
6189,2010-01-21,OXY,75.0000038388,72.9462619962,72.831096929,75.3454932822,7594400.0
6657,2010-01-22,OXY,73.50288003840001,73.03263435699999,72.667950096,75.0096017275,10123400.0
7125,2010-01-25,OXY,73.92514395399999,74.5201612284,73.70441842609999,75.3646890595,6713100.0
7593,2010-01-26,OXY,73.1382024952,73.5700642995,73.1382024952,74.8272591171,9094600.0
8061,2010-01-27,OXY,73.60844817659999,73.3493310941,72.351253359,74.0882984645,5273200.0
8529,2010-01-28,OXY,74.3378186181,74.3762015355,71.38196161229999,75.64300191939999,11830600.0
8997,2010-01-29,OXY,74.9904059501,75.1823464492,74.6161238004,76.60268809979999,11203100.0
9465,2010-02-01,OXY,75.90211900199999,76.6122859885,75.7677571977,76.69865834939999,6338400.0
9933,2010-02-02,OXY,76.8810009597,77.5239990403,76.0172773513,77.667950096,5375300.0
10401,2010-02-03,OXY,77.4088330135,76.9001967371,76.4299433782,77.859890595,3680300.0
10869,2010-02-04,OXY,76.228412668,73.3589289828,73.22457485609999,76.228412668,7967800.0
11337,2010-02-05,OXY,73.30134932819999,73.61804606529999,71.2763934741,74.0499078695,10664700.0
11805,2010-02-08,OXY,73.6756247601,73.22457485609999,72.9558598849,75.4126698657,6912100.0
12273,2010-02-09,OXY,74.280231286,74.7696804223,73.39731957779999,75.71977639159999,8407400.0
12741,2010-02-10,OXY,75.24952303270001,75.230328215,73.9923291747,75.7389644914,6143400.0
13209,2010-02-11,OXY,75.29751247600001,77.2168925144,74.6161238004,77.2744788868,6473200.0
13677,2010-02-12,OXY,76.0172773513,76.5835,75.1343579655,76.6794702496,6447600.0
14145,2010-02-16,OXY,77.7351266795,77.9078714012,76.6602744722,78.1765863724,6069400.0
