,date,symbol,open,close,low,high,volume
583,2010-01-04,PFE,18.27,18.93,18.24,18.940001000000002,52086000.0
1051,2010-01-05,PFE,18.92,18.66,18.549999,18.93,43372800.0
1519,2010-01-06,PFE,18.66,18.6,18.51,18.809998999999998,41405100.0
1987,2010-01-07,PFE,18.639999,18.530001000000002,18.459999,18.67,39428000.0
2455,2010-01-08,PFE,18.620001000000002,18.68,18.52,18.709999,30407700.0
2923,2010-01-11,PFE,18.83,18.83,18.67,18.950001,32447500.0
3391,2010-01-12,PFE,18.799999,18.77,18.639999,18.99,41273100.0
3859,2010-01-13,PFE,18.870001000000002,19.209999,18.870001000000002,19.299999,59514300.0
4327,2010-01-14,PFE,19.200001,19.379998999999998,19.129998999999998,19.5,47267900.0
4795,2010-01-15,PFE,19.43,19.49,19.26,19.68,76622900.0
5263,2010-01-19,PFE,19.530001000000002,20.0,19.5,20.07,78332300.0
5731,2010-01-20,PFE,20.049999,19.940001000000002,19.870001000000002,20.360001,79243800.0
6199,2010-01-21,PFE,20.040001,19.24,19.17,20.15,77175700.0
6667,2010-01-22,PFE,19.26,18.959999,18.9,19.92,61703000.0
7135,2010-01-25,PFE,19.24,18.85,18.84,19.25,49272400.0
7603,2010-01-26,PFE,18.719998999999998,18.780001000000002,18.629998999999998,18.9,43600600.0
8071,2010-01-27,PFE,18.780001000000002,19.0,18.66,19.09,54609400.0
8539,2010-01-28,PFE,19.07,18.629998999999998,18.610001,19.1,50939800.0
9007,2010-01-29,PFE,18.700001,18.66,18.52,18.969998999999998,56044700.0
9475,2010-02-01,PFE,18.790001,18.790001,18.700001,18.99,39455700.0
9943,2010-02-02,PFE,18.870001000000002,19.24,18.77,19.33,67611300.0
10411,2010-02-03,PFE,18.690001000000002,18.620001000000002,18.42,18.85,113996100.0
10879,2010-02-04,PFE,18.35,18.030001000000002,18.01,18.440001000000002,94261900.0
11347,2010-02-05,PFE,17.91,17.959999,17.6,18.190001000000002,90398000.0
11815,2010-02-08,PFE,17.91,17.84,17.719998999999998,18.0,55626200.0
12283,2010-02-09,PFE,17.870001000000002,17.879998999999998,17.65,18.15,70972000.0
12751,2010-02-10,PFE,17.92,17.74,17.629998999999998,17.98,59957500.0
13219,2010-02-11,PFE,17.75,17.870001000000002,17.620001000000002,18.030001000000002,54692600.0
13687,2010-02-12,PFE,17.85,17.799999,17.620001000000002,17.889999,50341800.0
14155,2010-02-16,PFE,17.959999,17.719998999999998,17.610001,18.08,63281800.0
14623,2010-02-17,PFE,17.85,17.67,17.530001000000002,17.860001,58254100.0
