,date,symbol,open,close,low,high,volume
589,2010-01-04,PKI,20.76,20.639999,20.280001000000002,20.809998999999998,1880200.0
1057,2010-01-05,PKI,20.66,20.889999,20.49,21.059998999999998,1568200.0
1525,2010-01-06,PKI,20.82,21.299999,20.799999,21.41,1245300.0
1993,2010-01-07,PKI,21.799999,21.24,21.200001,22.0,2581900.0
2461,2010-01-08,PKI,21.32,21.43,21.209999,21.51,2273200.0
2929,2010-01-11,PKI,21.559998999999998,21.459999,21.4,21.66,2347600.0
3397,2010-01-12,PKI,21.4,21.16,21.040001,21.440001000000002,2656900.0
3865,2010-01-13,PKI,21.27,21.41,21.040001,21.440001000000002,1352600.0
4333,2010-01-14,PKI,21.34,21.65,21.32,21.67,1147700.0
4801,2010-01-15,PKI,21.719998999999998,21.41,21.280001000000002,21.889999,1239100.0
5269,2010-01-19,PKI,21.41,21.440001000000002,21.01,21.75,2235000.0
5737,2010-01-20,PKI,21.379998999999998,21.16,20.92,21.379998999999998,1301600.0
6205,2010-01-21,PKI,21.139999,20.48,20.41,21.18,1668900.0
6673,2010-01-22,PKI,20.530001000000002,20.370001000000002,20.370001000000002,21.17,2016100.0
7141,2010-01-25,PKI,20.48,20.52,20.4,20.700001,796300.0
7609,2010-01-26,PKI,20.49,20.57,20.219998999999998,20.77,879200.0
8077,2010-01-27,PKI,20.49,20.389999,20.200001,20.6,1135200.0
8545,2010-01-28,PKI,20.42,20.07,20.059998999999998,20.549999,1114100.0
9013,2010-01-29,PKI,20.139999,20.139999,20.030001000000002,20.49,1939600.0
9481,2010-02-01,PKI,20.299999,20.190001000000002,19.98,20.35,1740800.0
9949,2010-02-02,PKI,20.23,20.82,20.129998999999998,20.889999,1358000.0
10417,2010-02-03,PKI,20.84,20.68,20.639999,21.18,1190200.0
10885,2010-02-04,PKI,20.450001,19.82,19.73,20.49,1678300.0
11353,2010-02-05,PKI,21.5,20.52,20.120001000000002,22.059998999999998,6012000.0
11821,2010-02-08,PKI,20.459999,20.950001,20.43,21.290001,2804000.0
12289,2010-02-09,PKI,21.190001000000002,20.889999,20.82,21.190001000000002,2224300.0
12757,2010-02-10,PKI,20.9,20.700001,20.6,21.0,1458100.0
13225,2010-02-11,PKI,20.67,20.870001000000002,20.530001000000002,20.91,1542700.0
13693,2010-02-12,PKI,20.709999,21.0,20.5,21.02,1706800.0
14161,2010-02-16,PKI,21.1,21.59,20.9,21.6,1879200.0
14629,2010-02-17,PKI,21.73,21.59,21.549999,21.780001000000002,1321900.0
15097,2010-02-18,PKI,21.6,21.92,21.59,21.98,1537800.0
15565,2010-02-19,PKI,21.870001000000002,21.790001,21.66,22.059998999999998,985600.0
16033,2010-02-22,PKI,21.85,22.379998999999998,21.780001000000002,22.73,4185600.0
16501,2010-02-23,PKI,22.379998999999998,22.32,22.15,22.5,1983700.0
16969,2010-02-24,PKI,22.48,22.35,22.23,22.5,1331500.0
17437,2010-02-25,PKI,22.1,22.41,21.9,22.43,1302800.0
17905,2010-02-26,PKI,22.49,22.209999,22.030001000000002,22.49,945300.0
18373,2010-03-01,PKI,22.379998999999998,23.26,22.26,23.540001,3154400.0
18841,2010-03-02,PKI,23.24,23.43,23.24,23.690001000000002,1398800.0
19309,2010-03-03,PKI,23.440001000000002,23.34,23.200001,23.540001,866800.0
19777,2010-03-04,PKI,23.33,23.120001000000002,22.950001,23.450001,775700.0
20245,2010-03-05,PKI,23.190001000000002,23.790001,23.16,23.790001,1550400.0
20713,2010-03-08,PKI,23.68,23.68,23.48,23.82,1490800.0
21181,2010-03-09,PKI,23.52,23.52,23.440001000000002,23.709999,1059700.0
21649,2010-03-10,PKI,23.58,23.5,23.299999,23.58,1226000.0
22117,2010-03-11,PKI,23.5,23.459999,23.280001000000002,23.57,1005000.0
22585,2010-03-12,PKI,23.6,23.370001000000002,23.24,23.6,885000.0
23053,2010-03-15,PKI,23.67,23.5,23.370001000000002,23.67,656600.0
23521,2010-03-16,PKI,23.49,23.629998999999998,23.379998999999998,23.67,1046700.0
23989,2010-03-17,PKI,23.690001000000002,24.0,23.629998999999998,24.09,1109800.0
24457,2010-03-18,PKI,24.049999,24.110001,23.99,24.280001000000002,981100.0
24925,2010-03-19,PKI,23.610001,23.610001,23.6,24.450001,1714500.0
25393,2010-03-22,PKI,23.549999,24.059998999999998,23.42,24.09,1017600.0
25861,2010-03-23,PKI,24.049999,24.190001000000002,23.82,24.24,683400.0
26329,2010-03-24,PKI,24.09,23.98,23.91,24.18,849400.0
26797,2010-03-25,PKI,24.110001,23.9,23.860001,24.209999,1186900.0
27265,2010-03-26,PKI,23.950001,24.0,23.82,24.129998999999998,1114000.0
27733,2010-03-29,PKI,24.09,24.23,24.059998999999998,24.299999,737800.0
28201,2010-03-30,PKI,24.23,24.309998999999998,24.139999,24.440001000000002,602900.0
28669,2010-03-31,PKI,24.26,23.9,23.879998999999998,24.299999,863400.0
29137,2010-04-01,PKI,24.0,24.15,23.92,24.15,1344900.0
29605,2010-04-05,PKI,24.290001,24.200001,24.030001000000002,24.35,1191900.0
30073,2010-04-06,PKI,24.1,24.01,23.9,24.17,966700.0
30541,2010-04-07,PKI,24.02,23.879998999999998,23.809998999999998,24.07,917000.0
31009,2010-04-08,PKI,23.73,23.67,23.5,23.82,1367900.0
31477,2010-04-09,PKI,23.66,23.799999,23.66,23.870001000000002,2262500.0
31945,2010-04-12,PKI,23.84,23.76,23.75,23.940001000000002,407400.0
32413,2010-04-13,PKI,23.76,23.74,23.59,23.82,637600.0
32881,2010-04-14,PKI,23.450001,23.82,23.24,23.9,965100.0
33349,2010-04-15,PKI,23.809998999999998,23.870001000000002,23.77,23.950001,938900.0
33817,2010-04-16,PKI,23.790001,23.5,23.459999,24.040001,1475100.0
34285,2010-04-19,PKI,23.469998999999998,23.440001000000002,23.33,23.65,1433800.0
34753,2010-04-20,PKI,23.530001000000002,23.99,23.52,23.99,1527900.0
35221,2010-04-21,PKI,23.92,23.940001000000002,23.74,24.030001000000002,1279200.0
35689,2010-04-22,PKI,23.73,23.879998999999998,23.48,24.0,1726300.0
36157,2010-04-23,PKI,23.93,23.83,23.639999,23.959999,1796700.0
36625,2010-04-26,PKI,23.85,23.74,23.709999,23.959999,1330300.0
37093,2010-04-27,PKI,23.629998999999998,23.450001,23.43,24.02,2192800.0
37562,2010-04-28,PKI,23.639999,24.610001,23.59,24.76,3567900.0
38031,2010-04-29,PKI,24.860001,25.120001000000002,24.719998999999998,25.219998999999998,2816600.0
38500,2010-04-30,PKI,25.16,25.049999,24.940001000000002,25.450001,1971700.0
38969,2010-05-03,PKI,25.09,25.190001000000002,25.01,25.33,1927600.0
39438,2010-05-04,PKI,24.950001,24.33,24.27,24.950001,2066400.0
39907,2010-05-05,PKI,24.18,24.0,23.92,24.34,2050000.0
40376,2010-05-06,PKI,23.940001000000002,23.02,21.76,24.1,2918100.0
40845,2010-05-07,PKI,23.51,22.23,21.32,23.620001000000002,5277700.0
41314,2010-05-10,PKI,23.120001000000002,23.459999,22.790001,23.620001000000002,2027300.0
41783,2010-05-11,PKI,23.219998999999998,23.059998999999998,23.040001,23.67,2114400.0
42252,2010-05-12,PKI,23.07,23.549999,23.040001,23.610001,1566800.0
42721,2010-05-13,PKI,23.549999,23.309998999999998,23.25,23.76,1300800.0
43190,2010-05-14,PKI,23.190001000000002,22.709999,22.5,23.190001000000002,1847900.0
43659,2010-05-17,PKI,22.75,22.780001000000002,22.290001,22.91,1361400.0
44128,2010-05-18,PKI,22.889999,22.73,22.690001000000002,23.1,2621200.0
44597,2010-05-19,PKI,22.57,23.059998999999998,22.52,23.18,3763700.0
45066,2010-05-20,PKI,22.59,22.030001000000002,21.969998999999998,22.719998999999998,3621400.0
45535,2010-05-21,PKI,21.76,22.01,21.379998999999998,22.200001,2400800.0
46004,2010-05-24,PKI,21.870001000000002,21.84,21.809998999999998,22.200001,1818300.0
46473,2010-05-25,PKI,21.35,21.76,21.0,21.780001000000002,3169400.0
46942,2010-05-26,PKI,21.889999,21.969998999999998,21.82,22.4,2328800.0
47411,2010-05-27,PKI,22.34,23.08,22.290001,23.1,1573500.0
47880,2010-05-28,PKI,23.02,22.690001000000002,22.610001,23.040001,1412700.0
48349,2010-06-01,PKI,22.370001000000002,22.219998999999998,22.17,22.809998999999998,1162500.0
48818,2010-06-02,PKI,22.34,22.73,22.040001,22.73,1395400.0
49287,2010-06-03,PKI,22.85,23.0,22.76,23.07,1016500.0
49756,2010-06-04,PKI,22.35,21.719998999999998,21.65,22.51,2149300.0
50225,2010-06-07,PKI,21.809998999999998,21.309998999999998,21.290001,21.889999,1326700.0
50694,2010-06-08,PKI,21.32,21.360001,21.190001000000002,21.469998999999998,2716100.0
51163,2010-06-09,PKI,21.549999,21.790001,21.52,22.360001,3786500.0
51632,2010-06-10,PKI,22.09,22.48,22.0,22.549999,1036200.0
52101,2010-06-11,PKI,22.27,22.58,22.200001,22.65,767900.0
52570,2010-06-14,PKI,22.700001,22.450001,22.43,22.91,1435500.0
53039,2010-06-15,PKI,22.66,22.85,22.530001000000002,22.889999,1473300.0
53508,2010-06-16,PKI,22.700001,22.959999,22.57,23.059998999999998,1480200.0
53977,2010-06-17,PKI,23.030001000000002,22.940001000000002,22.65,23.09,782200.0
54446,2010-06-18,PKI,22.879998999999998,22.719998999999998,22.66,23.01,1193500.0
54915,2010-06-21,PKI,22.93,22.9,22.780001000000002,23.209999,1185300.0
55384,2010-06-22,PKI,22.959999,22.530001000000002,22.459999,23.08,1432700.0
55853,2010-06-23,PKI,22.52,22.24,22.1,22.540001,700300.0
56322,2010-06-24,PKI,22.1,21.43,21.360001,22.15,2975900.0
56791,2010-06-25,PKI,21.459999,21.9,21.32,21.99,3739400.0
57260,2010-06-28,PKI,21.870001000000002,21.82,21.58,22.02,1050300.0
57729,2010-06-29,PKI,21.5,20.870001000000002,20.76,21.5,1131000.0
58198,2010-06-30,PKI,20.75,20.67,20.610001,21.040001,921400.0
58667,2010-07-01,PKI,20.690001000000002,19.809998999999998,19.690001000000002,20.690001000000002,2632500.0
59136,2010-07-02,PKI,19.940001000000002,19.65,19.549999,19.959999,1853000.0
