,date,symbol,open,close,low,high,volume
597,2010-01-04,PRGO,40.259997999999996,40.349998,40.259997999999996,40.630001,546500.0
1065,2010-01-05,PRGO,40.200001,38.790001000000004,38.540001000000004,40.200001,1387400.0
1533,2010-01-06,PRGO,38.98,38.299999,37.880001,39.200001,1742200.0
2001,2010-01-07,PRGO,38.139998999999996,37.990002000000004,37.740002000000004,38.240002000000004,601300.0
2469,2010-01-08,PRGO,38.02,37.779999,37.459998999999996,38.150002,631700.0
2937,2010-01-11,PRGO,38.59,39.439999,38.23,39.509997999999996,1289800.0
3405,2010-01-12,PRGO,39.860001000000004,41.110001000000004,39.860001000000004,41.529999,1353800.0
3873,2010-01-13,PRGO,41.290001000000004,41.91,41.220001,42.200001,885400.0
4341,2010-01-14,PRGO,41.700001,42.130001,41.650002,42.150002,550800.0
4809,2010-01-15,PRGO,42.16,42.150002,41.82,42.32,762500.0
5277,2010-01-19,PRGO,42.139998999999996,43.009997999999996,42.02,43.110001000000004,1044200.0
5745,2010-01-20,PRGO,42.740002000000004,42.779999,42.150002,42.880001,581100.0
6213,2010-01-21,PRGO,42.869999,42.549999,42.169998,43.099998,725900.0
6681,2010-01-22,PRGO,42.48,42.560001,42.259997999999996,43.060001,959300.0
7149,2010-01-25,PRGO,42.650002,41.580002,41.540001000000004,42.689999,847100.0
7617,2010-01-26,PRGO,41.369999,42.5,41.25,42.799999,1191600.0
8085,2010-01-27,PRGO,42.439999,43.049999,42.439999,43.169998,838500.0
8553,2010-01-28,PRGO,43.060001,43.529999,42.82,43.82,764200.0
9021,2010-01-29,PRGO,43.700001,44.279999,43.48,44.59,1116100.0
9489,2010-02-01,PRGO,44.459998999999996,44.200001,43.709998999999996,44.830002,1243000.0
9957,2010-02-02,PRGO,43.279999,45.919998,43.099998,46.099998,3031500.0
10425,2010-02-03,PRGO,45.290001000000004,46.27,45.049999,46.900002,1630200.0
10893,2010-02-04,PRGO,46.099998,45.779999,45.77,46.48,1229800.0
11361,2010-02-05,PRGO,45.880001,45.290001000000004,44.700001,45.91,1243000.0
11829,2010-02-08,PRGO,45.41,45.740002000000004,45.200001,46.18,1015800.0
12297,2010-02-09,PRGO,46.25,46.32,46.040001000000004,46.669998,1032700.0
12765,2010-02-10,PRGO,46.27,45.810001,45.700001,46.27,439300.0
13233,2010-02-11,PRGO,45.68,47.060001,45.009997999999996,47.259997999999996,1323100.0
13701,2010-02-12,PRGO,46.91,48.549999,46.360001000000004,48.630001,2082100.0
14169,2010-02-16,PRGO,48.98,48.470001,48.349998,48.98,991400.0
14637,2010-02-17,PRGO,48.419998,48.119999,47.880001,48.709998999999996,1103300.0
15105,2010-02-18,PRGO,48.119999,49.200001,47.970001,49.23,1217800.0
15573,2010-02-19,PRGO,49.310001,49.880001,49.150002,50.16,1218400.0
16041,2010-02-22,PRGO,49.650002,49.200001,48.610001000000004,49.650002,971400.0
16509,2010-02-23,PRGO,49.150002,48.970001,48.759997999999996,49.310001,929600.0
16977,2010-02-24,PRGO,48.630001,48.709998999999996,48.43,49.040001000000004,857700.0
17445,2010-02-25,PRGO,48.490002000000004,49.650002,48.439999,50.02,1510500.0
17913,2010-02-26,PRGO,49.790001000000004,49.57,49.32,49.959998999999996,571600.0
18381,2010-03-01,PRGO,50.360001000000004,51.16,50.349998,51.330002,1218800.0
18849,2010-03-02,PRGO,51.389998999999996,52.68,51.259997999999996,52.720001,1314100.0
19317,2010-03-03,PRGO,52.619999,52.240002000000004,51.860001000000004,52.73,905000.0
19785,2010-03-04,PRGO,52.400002,51.279999,51.150002,52.48,1109600.0
20253,2010-03-05,PRGO,51.630001,50.73,49.849998,51.849998,2312900.0
20721,2010-03-08,PRGO,50.740002000000004,50.139998999999996,49.509997999999996,50.990002000000004,1747600.0
21189,2010-03-09,PRGO,49.959998999999996,49.330002,49.200001,49.98,1432100.0
21657,2010-03-10,PRGO,49.169998,50.099998,49.119999,50.139998999999996,903500.0
22125,2010-03-11,PRGO,50.099998,50.77,50.0,50.900002,844700.0
22593,2010-03-12,PRGO,50.77,50.68,50.279999,50.939999,514300.0
23061,2010-03-15,PRGO,50.549999,50.939999,50.310001,50.98,830000.0
23529,2010-03-16,PRGO,51.110001000000004,51.52,50.970001,51.580002,498000.0
23997,2010-03-17,PRGO,51.830002,50.060001,49.759997999999996,51.849998,1698900.0
24465,2010-03-18,PRGO,50.25,50.189999,49.82,50.299999,648800.0
24933,2010-03-19,PRGO,50.279999,50.380001,49.84,50.48,910900.0
25401,2010-03-22,PRGO,50.32,51.130001,50.299999,51.41,425700.0
25869,2010-03-23,PRGO,54.209998999999996,57.200001,53.639998999999996,57.490002000000004,5727700.0
26337,2010-03-24,PRGO,57.27,57.799999,56.459998999999996,57.959998999999996,2279500.0
26805,2010-03-25,PRGO,57.950001,56.529999,56.41,58.669998,2023100.0
27273,2010-03-26,PRGO,56.669998,56.790001000000004,55.91,56.84,981300.0
27741,2010-03-29,PRGO,57.009997999999996,58.220001,57.0,58.220001,798300.0
28209,2010-03-30,PRGO,58.200001,58.68,58.0,59.25,1049700.0
28677,2010-03-31,PRGO,58.75,58.720001,58.650002,59.740002000000004,899900.0
29145,2010-04-01,PRGO,59.380001,59.080002,58.880001,59.639998999999996,705400.0
29613,2010-04-05,PRGO,59.360001000000004,61.009997999999996,59.27,61.41,932200.0
30081,2010-04-06,PRGO,60.700001,60.689999,60.060001,61.099998,682600.0
30549,2010-04-07,PRGO,60.330002,59.580002,59.139998999999996,60.450001,992500.0
31017,2010-04-08,PRGO,59.049999,59.0,58.0,59.09,781400.0
31485,2010-04-09,PRGO,59.060001,59.0,58.549999,59.279999,466800.0
31953,2010-04-12,PRGO,59.290001000000004,59.91,58.82,59.98,894400.0
32421,2010-04-13,PRGO,59.98,60.77,59.799999,60.919998,795400.0
32889,2010-04-14,PRGO,60.990002000000004,60.990002000000004,60.470001,61.43,647000.0
33357,2010-04-15,PRGO,60.869999,61.98,60.75,62.349998,715600.0
33825,2010-04-16,PRGO,61.98,60.349998,59.880001,62.23,975800.0
34293,2010-04-19,PRGO,60.0,59.470001,58.900002,60.490002000000004,913900.0
34761,2010-04-20,PRGO,59.830002,60.0,59.450001,60.150002,526800.0
35229,2010-04-21,PRGO,60.080002,59.07,58.669998,60.080002,537700.0
35697,2010-04-22,PRGO,58.889998999999996,59.869999,58.0,60.400002,1059400.0
36165,2010-04-23,PRGO,60.07,60.580002,59.599998,60.889998999999996,909100.0
36633,2010-04-26,PRGO,59.82,60.240002000000004,59.82,60.639998999999996,837900.0
37101,2010-04-27,PRGO,59.830002,59.419998,58.689999,60.290001000000004,912100.0
37570,2010-04-28,PRGO,59.27,59.040001000000004,58.060001,59.279999,1207000.0
38039,2010-04-29,PRGO,59.27,63.470001,59.119999,64.589996,3449600.0
38508,2010-04-30,PRGO,63.220001,61.139998999999996,61.02,63.34,1343700.0
38977,2010-05-03,PRGO,60.900002,62.869999,60.810001,63.110001000000004,1175700.0
39446,2010-05-04,PRGO,62.009997999999996,61.959998999999996,61.439999,62.380001,797500.0
39915,2010-05-05,PRGO,61.16,61.669998,59.810001,61.900002,964800.0
40384,2010-05-06,PRGO,61.380001,59.330002,54.040001000000004,61.959998999999996,1409100.0
40853,2010-05-07,PRGO,59.279999,57.57,57.220001,60.0,1481600.0
41322,2010-05-10,PRGO,60.25,61.98,60.25,62.360001000000004,1282000.0
41791,2010-05-11,PRGO,61.0,63.43,60.610001000000004,63.740002000000004,1641500.0
42260,2010-05-12,PRGO,63.610001000000004,64.349998,63.52,64.660004,1603100.0
42729,2010-05-13,PRGO,64.08000200000001,62.450001,62.150002,64.08000200000001,1067200.0
43198,2010-05-14,PRGO,62.040001000000004,60.509997999999996,60.34,62.209998999999996,1015000.0
43667,2010-05-17,PRGO,60.84,59.970001,59.060001,61.32,1018500.0
44136,2010-05-18,PRGO,60.509997999999996,58.509997999999996,58.459998999999996,60.849998,949600.0
44605,2010-05-19,PRGO,58.459998999999996,58.299999,57.549999,59.380001,1155900.0
45074,2010-05-20,PRGO,57.66,56.049999,54.919998,57.810001,2215600.0
45543,2010-05-21,PRGO,55.209998999999996,58.59,54.169998,58.700001,1947700.0
46012,2010-05-24,PRGO,58.299999,57.040001000000004,56.880001,58.650002,987800.0
46481,2010-05-25,PRGO,55.599998,56.099998,53.099998,56.25,2235000.0
46950,2010-05-26,PRGO,57.060001,58.099998,56.82,59.490002000000004,2374800.0
47419,2010-05-27,PRGO,59.029999,60.240002000000004,59.029999,60.5,1952400.0
47888,2010-05-28,PRGO,60.09,59.41,59.369999,60.720001,1536100.0
48357,2010-06-01,PRGO,57.349998,56.52,56.5,59.130001,1861000.0
48826,2010-06-02,PRGO,56.900002,57.490002000000004,56.639998999999996,57.959998999999996,1227100.0
49295,2010-06-03,PRGO,57.75,58.900002,57.509997999999996,59.32,1736300.0
49764,2010-06-04,PRGO,57.709998999999996,56.98,56.860001000000004,58.759997999999996,1766100.0
50233,2010-06-07,PRGO,56.799999,55.82,55.709998999999996,57.529999,1434300.0
50702,2010-06-08,PRGO,55.889998999999996,57.669998,55.240002000000004,57.669998,1620900.0
51171,2010-06-09,PRGO,57.360001000000004,58.34,57.360001000000004,59.689999,1557600.0
51640,2010-06-10,PRGO,59.009997999999996,59.59,58.77,59.889998999999996,718600.0
52109,2010-06-11,PRGO,58.970001,59.900002,58.900002,60.650002,865800.0
52578,2010-06-14,PRGO,60.57,59.759997999999996,59.650002,60.689999,809000.0
53047,2010-06-15,PRGO,60.07,60.18,59.279999,60.290001000000004,737000.0
53516,2010-06-16,PRGO,59.700001,59.23,58.810001,59.779999,1160900.0
53985,2010-06-17,PRGO,59.48,59.419998,58.82,59.779999,455600.0
54454,2010-06-18,PRGO,59.43,58.77,58.669998,60.0,652200.0
54923,2010-06-21,PRGO,59.450001,59.970001,59.450001,60.91,1211800.0
55392,2010-06-22,PRGO,60.23,59.150002,59.060001,60.709998999999996,717900.0
55861,2010-06-23,PRGO,59.52,58.549999,57.91,60.389998999999996,946800.0
56330,2010-06-24,PRGO,57.73,57.779999,57.150002,58.27,931800.0
56799,2010-06-25,PRGO,58.0,59.189999,57.610001000000004,59.369999,1499200.0
57268,2010-06-28,PRGO,59.25,59.299999,57.810001,59.360001000000004,1011100.0
57737,2010-06-29,PRGO,58.869999,59.209998999999996,58.200001,60.16,2168100.0
58206,2010-06-30,PRGO,59.279999,59.07,58.900002,60.16,1299600.0
58675,2010-07-01,PRGO,59.18,57.490002000000004,56.310001,59.18,1613500.0
59144,2010-07-02,PRGO,57.610001000000004,57.25,56.869999,58.82,1029300.0
59613,2010-07-06,PRGO,57.880001,57.060001,56.849998,58.779999,1120200.0
60082,2010-07-07,PRGO,55.849998,56.439999,54.900002,56.490002000000004,2410700.0
60551,2010-07-08,PRGO,56.849998,57.5,56.82,57.939999,875900.0
61020,2010-07-09,PRGO,57.529999,58.049999,56.75,58.119999,720500.0
61489,2010-07-12,PRGO,58.040001000000004,56.880001,56.439999,58.150002,973800.0
61958,2010-07-13,PRGO,57.490002000000004,57.34,57.07,57.970001,744300.0
62427,2010-07-14,PRGO,56.849998,57.110001000000004,56.290001000000004,57.349998,568100.0
62896,2010-07-15,PRGO,57.0,58.799999,56.889998999999996,58.950001,1117900.0
63365,2010-07-16,PRGO,58.549999,57.290001000000004,57.139998999999996,58.900002,977700.0
