,date,symbol,open,close,low,high,volume
354690,2013-01-02,PSX,54.25,55.259997999999996,53.23,55.310001,5229900.0
355173,2013-01-03,PSX,55.029999,53.189999,52.869999,55.169998,5291900.0
355656,2013-01-04,PSX,53.119999,53.139998999999996,52.290001000000004,53.68,4161100.0
356139,2013-01-07,PSX,52.48,51.360001000000004,50.77,52.48,6884000.0
356622,2013-01-08,PSX,51.200001,51.59,51.080002,51.779999,3575600.0
357105,2013-01-09,PSX,51.560001,51.32,51.02,52.150002,4429800.0
357588,2013-01-10,PSX,51.639998999999996,51.509997999999996,51.220001,51.84,3403400.0
358071,2013-01-11,PSX,51.279999,50.580002,50.360001000000004,51.700001,4615800.0
358554,2013-01-14,PSX,50.669998,51.349998,50.119999,51.419998,5000100.0
359037,2013-01-15,PSX,51.349998,52.240002000000004,51.200001,52.330002,4499600.0
359520,2013-01-16,PSX,52.130001,54.52,52.07,54.549999,8024800.0
360003,2013-01-17,PSX,54.98,55.150002,54.189999,55.830002,5976600.0
360486,2013-01-18,PSX,55.209998999999996,55.07,54.580002,55.740002000000004,5998800.0
360969,2013-01-22,PSX,55.240002000000004,54.610001000000004,53.919998,55.240002000000004,4462000.0
361452,2013-01-23,PSX,54.720001,55.52,54.200001,56.189999,4293900.0
361935,2013-01-24,PSX,55.5,56.119999,55.369999,56.950001,4702100.0
362418,2013-01-25,PSX,56.5,56.810001,56.110001000000004,56.889998999999996,3612300.0
362901,2013-01-28,PSX,57.09,57.09,56.5,57.68,4055400.0
363384,2013-01-29,PSX,58.0,59.880001,57.959998999999996,60.450001,8446300.0
363867,2013-01-30,PSX,62.380001,60.759997999999996,60.650002,62.91,7922300.0
364350,2013-01-31,PSX,60.369999,60.57,59.91,61.049999,5450400.0
364833,2013-02-01,PSX,62.0,62.75,61.220001,63.25,4709200.0
365317,2013-02-04,PSX,62.130001,61.220001,61.16,62.25,3796500.0
365801,2013-02-05,PSX,61.720001,61.009997999999996,60.98,61.98,4578900.0
366285,2013-02-06,PSX,60.790001000000004,61.720001,60.709998999999996,62.5,5068700.0
366769,2013-02-07,PSX,61.880001,63.259997999999996,61.0,63.34,4392600.0
367253,2013-02-08,PSX,63.41,64.019997,63.220001,65.239998,4745800.0
367737,2013-02-11,PSX,64.0,64.18,63.720001,64.660004,3097900.0
368221,2013-02-12,PSX,64.620003,64.43,63.779999,64.779999,3702400.0
368705,2013-02-13,PSX,64.5,64.110001,63.849998,64.5,2777100.0
369189,2013-02-14,PSX,63.77,64.83000200000001,63.75,64.91999799999999,3560000.0
369673,2013-02-15,PSX,64.550003,64.16999799999999,63.529999,65.379997,3787800.0
370157,2013-02-19,PSX,63.669998,64.760002,63.66,64.879997,3091700.0
370641,2013-02-20,PSX,64.75,62.639998999999996,62.540001000000004,64.949997,4847000.0
371125,2013-02-21,PSX,62.32,62.290001000000004,61.220001,62.919998,5032600.0
371609,2013-02-22,PSX,62.779999,64.110001,62.509997999999996,64.120003,3049300.0
372093,2013-02-25,PSX,64.489998,61.34,61.310001,64.739998,4294800.0
372577,2013-02-26,PSX,61.48,61.23,59.939999,61.689999,4346900.0
373061,2013-02-27,PSX,61.299999,62.990002000000004,61.0,63.119999,2581500.0
373545,2013-02-28,PSX,62.860001000000004,62.959998999999996,62.0,64.269997,4226400.0
374029,2013-03-01,PSX,62.709998999999996,63.900002,62.189999,63.93,3150000.0
374513,2013-03-04,PSX,63.84,65.68,63.540001000000004,65.739998,3758500.0
374997,2013-03-05,PSX,66.040001,65.769997,64.519997,66.050003,3920300.0
375481,2013-03-06,PSX,66.0,66.050003,65.400002,66.970001,2929700.0
375965,2013-03-07,PSX,65.889999,65.870003,64.790001,66.120003,3429800.0
376449,2013-03-08,PSX,66.08000200000001,66.029999,65.599998,66.279999,4045300.0
376933,2013-03-11,PSX,65.900002,65.690002,63.939999,66.08000200000001,4966800.0
377417,2013-03-12,PSX,65.660004,66.220001,65.209999,66.400002,4134600.0
377901,2013-03-13,PSX,65.879997,64.550003,64.199997,66.040001,4784800.0
378385,2013-03-14,PSX,64.959999,64.949997,64.290001,65.449997,3832700.0
378869,2013-03-15,PSX,64.489998,64.150002,64.110001,65.239998,5979000.0
379353,2013-03-18,PSX,63.32,65.029999,63.009997999999996,65.290001,3643900.0
379837,2013-03-19,PSX,64.879997,65.410004,64.660004,66.349998,4124400.0
380321,2013-03-20,PSX,66.0,67.540001,65.949997,68.440002,5087500.0
380805,2013-03-21,PSX,67.0,66.82,66.110001,67.839996,3394800.0
381289,2013-03-22,PSX,66.970001,67.550003,66.839996,67.790001,2650400.0
381773,2013-03-25,PSX,67.940002,66.860001,66.650002,68.699997,3905300.0
382257,2013-03-26,PSX,66.980003,67.239998,66.370003,67.410004,3243600.0
382741,2013-03-27,PSX,67.129997,68.269997,66.459999,68.290001,3920600.0
383225,2013-03-28,PSX,68.379997,69.970001,67.959999,70.519997,6211100.0
383709,2013-04-01,PSX,70.0,69.360001,68.730003,70.190002,3015200.0
384193,2013-04-02,PSX,70.16999799999999,66.839996,66.709999,70.199997,5679900.0
384677,2013-04-03,PSX,66.839996,62.459998999999996,61.470001,66.879997,14028500.0
385161,2013-04-04,PSX,62.57,62.389998999999996,61.939999,63.950001,6139100.0
385645,2013-04-05,PSX,61.259997999999996,62.310001,60.200001,62.970001,5289600.0
386129,2013-04-08,PSX,62.290001000000004,63.619999,61.900002,63.799999,3969300.0
386613,2013-04-09,PSX,63.950001,64.660004,62.860001000000004,65.230003,4291500.0
387097,2013-04-10,PSX,64.779999,63.860001000000004,63.049999,65.209999,6005500.0
387581,2013-04-11,PSX,63.810001,62.009997999999996,61.810001,63.860001000000004,6204800.0
388065,2013-04-12,PSX,61.369999,60.669998,59.07,61.740002000000004,8305100.0
388549,2013-04-15,PSX,59.18,57.52,57.080002,59.990002000000004,7897200.0
389033,2013-04-16,PSX,58.150002,59.279999,57.77,59.32,5644000.0
389517,2013-04-17,PSX,58.549999,57.990002000000004,57.16,58.790001000000004,4602100.0
390001,2013-04-18,PSX,57.919998,57.23,56.130001,58.540001000000004,4270200.0
