,date,symbol,open,close,low,high,volume
609,2010-01-04,RF,5.36,5.42,5.33,5.47,11754800.0
1077,2010-01-05,RF,5.36,5.6,5.36,5.61,23691300.0
1545,2010-01-06,RF,5.61,5.67,5.55,5.69,22415300.0
2013,2010-01-07,RF,5.66,6.17,5.62,6.22,41430700.0
2481,2010-01-08,RF,6.15,6.18,6.07,6.29,25980300.0
2949,2010-01-11,RF,6.27,6.32,6.07,6.37,27433000.0
3417,2010-01-12,RF,6.26,6.25,6.2,6.35,32974200.0
3885,2010-01-13,RF,6.22,6.36,6.08,6.48,41055600.0
4353,2010-01-14,RF,6.34,6.55,6.3,6.57,31881500.0
4821,2010-01-15,RF,6.5,6.52,6.27,6.55,28504300.0
5289,2010-01-19,RF,6.41,6.51,6.36,6.56,22996900.0
5757,2010-01-20,RF,6.46,6.73,6.41,6.74,32758200.0
6225,2010-01-21,RF,6.78,6.86,6.76,7.27,81428500.0
6693,2010-01-22,RF,6.8,6.6,6.49,6.85,48623600.0
7161,2010-01-25,RF,6.6,6.55,6.3,6.69,34139700.0
7629,2010-01-26,RF,6.25,6.08,6.06,6.47,67534400.0
8097,2010-01-27,RF,6.05,6.17,6.05,6.34,38492200.0
8565,2010-01-28,RF,6.35,6.43,6.19,6.55,38907900.0
9033,2010-01-29,RF,6.49,6.35,6.32,6.57,29037400.0
9501,2010-02-01,RF,6.41,6.64,6.39,6.66,30603000.0
9969,2010-02-02,RF,6.69,6.58,6.5,6.78,35671900.0
10437,2010-02-03,RF,6.48,6.39,6.28,6.55,34371800.0
10905,2010-02-04,RF,6.33,6.12,6.03,6.34,41144000.0
11373,2010-02-05,RF,6.13,6.18,5.91,6.24,24816400.0
11841,2010-02-08,RF,6.18,6.23,6.06,6.44,25259900.0
12309,2010-02-09,RF,6.32,6.29,6.25,6.45,21901600.0
12777,2010-02-10,RF,6.27,6.36,6.25,6.48,18117800.0
13245,2010-02-11,RF,6.42,6.38,6.36,6.51,19687200.0
13713,2010-02-12,RF,6.32,6.35,6.21,6.39,22126400.0
14181,2010-02-16,RF,6.41,6.62,6.36,6.65,17782600.0
14649,2010-02-17,RF,6.66,6.46,6.42,6.7,16534700.0
15117,2010-02-18,RF,6.41,6.42,6.31,6.46,18949400.0
15585,2010-02-19,RF,6.4,6.57,6.39,6.62,14485500.0
16053,2010-02-22,RF,6.6,6.81,6.57,6.87,23729800.0
16521,2010-02-23,RF,6.73,6.53,6.5,6.76,20854700.0
16989,2010-02-24,RF,6.55,6.64,6.53,6.7,20217300.0
17457,2010-02-25,RF,6.48,6.54,6.4,6.57,18802500.0
17925,2010-02-26,RF,6.54,6.75,6.5,6.77,19859000.0
18393,2010-03-01,RF,6.76,6.65,6.55,6.83,16291900.0
18861,2010-03-02,RF,6.67,6.61,6.56,6.75,16207600.0
19329,2010-03-03,RF,6.61,6.62,6.59,6.69,12900100.0
19797,2010-03-04,RF,6.6,6.67,6.58,6.7,11836200.0
20265,2010-03-05,RF,6.74,6.84,6.69,6.85,18875100.0
20733,2010-03-08,RF,6.82,6.98,6.82,7.02,19023600.0
21201,2010-03-09,RF,6.93,6.91,6.76,7.0,22997500.0
21669,2010-03-10,RF,7.01,7.29,6.94,7.62,40783500.0
22137,2010-03-11,RF,7.34,7.38,7.25,7.46,24929300.0
22605,2010-03-12,RF,7.51,7.34,7.27,7.54,29002600.0
23073,2010-03-15,RF,7.28,7.23,7.11,7.38,19977400.0
23541,2010-03-16,RF,7.3,7.51,7.21,7.53,22336300.0
24009,2010-03-17,RF,7.6,7.7,7.55,7.77,25224500.0
24477,2010-03-18,RF,7.73,7.5,7.34,7.74,26623500.0
24945,2010-03-19,RF,7.38,7.38,7.32,7.6,22666300.0
25413,2010-03-22,RF,7.29,7.62,7.16,7.64,19801300.0
25881,2010-03-23,RF,7.62,7.73,7.5,7.74,23056900.0
26349,2010-03-24,RF,7.68,7.85,7.62,7.9,26987400.0
26817,2010-03-25,RF,7.97,7.69,7.65,8.05,35378100.0
27285,2010-03-26,RF,7.75,7.63,7.56,7.91,22603200.0
27753,2010-03-29,RF,7.69,7.64,7.52,7.78,17755000.0
28221,2010-03-30,RF,7.61,7.62,7.5,7.65,12744700.0
28689,2010-03-31,RF,7.55,7.85,7.52,7.88,21527100.0
29157,2010-04-01,RF,7.9,7.77,7.66,7.94,20835000.0
29625,2010-04-05,RF,7.93,8.19,7.84,8.2,28483800.0
30093,2010-04-06,RF,8.18,8.55,8.16,8.81,58256900.0
30561,2010-04-07,RF,8.62,8.37,8.29,8.9,54566600.0
31029,2010-04-08,RF,8.27,8.6,8.2,8.68,32548400.0
31497,2010-04-09,RF,8.65,8.59,8.5,8.71,17760100.0
31965,2010-04-12,RF,8.58,8.74,8.58,8.92,49794500.0
32433,2010-04-13,RF,8.54,8.34,8.34,8.66,38303500.0
32901,2010-04-14,RF,8.51,8.82,8.44,8.9,36670800.0
33369,2010-04-15,RF,8.8,8.53,8.45,8.87,39132300.0
33837,2010-04-16,RF,8.6,8.3,8.01,8.6,55336900.0
34305,2010-04-19,RF,8.2,8.33,8.04,8.44,29882900.0
34773,2010-04-20,RF,8.25,8.8,8.0,8.8,58631800.0
35241,2010-04-21,RF,8.62,8.79,8.5,9.33,60841600.0
35709,2010-04-22,RF,8.65,8.89,8.57,8.95,28106700.0
36177,2010-04-23,RF,8.95,8.95,8.8,9.14,27691000.0
36645,2010-04-26,RF,9.01,8.69,8.6,9.05,21155500.0
37113,2010-04-27,RF,8.62,8.43,8.37,8.7,39730200.0
37582,2010-04-28,RF,8.56,8.49,8.44,8.74,22352500.0
38051,2010-04-29,RF,8.56,8.65,8.43,8.72,24888900.0
38520,2010-04-30,RF,8.59,8.84,8.54,8.89,30368300.0
38989,2010-05-03,RF,8.85,8.84,8.71,8.96,20912900.0
39458,2010-05-04,RF,8.74,8.58,8.5,8.83,25258700.0
39927,2010-05-05,RF,8.4,8.67,8.2,8.82,24758100.0
40396,2010-05-06,RF,8.61,8.21,7.59,8.75,43556500.0
40865,2010-05-07,RF,8.25,7.99,7.75,8.38,46609300.0
41334,2010-05-10,RF,8.41,8.51,8.3,8.66,28882900.0
41803,2010-05-11,RF,8.28,8.67,8.28,8.86,32127900.0
42272,2010-05-12,RF,8.74,8.81,8.71,8.88,20856400.0
42741,2010-05-13,RF,8.77,8.74,8.72,8.96,17484400.0
43210,2010-05-14,RF,8.51,8.26,8.09,8.51,34245400.0
43679,2010-05-17,RF,8.25,8.27,7.96,8.35,27055800.0
44148,2010-05-18,RF,8.39,7.92,7.67,8.42,28755000.0
44617,2010-05-19,RF,7.84,7.82,7.6,8.01,36775400.0
45086,2010-05-20,RF,7.52,7.25,7.24,7.6,40050400.0
45555,2010-05-21,RF,7.08,7.47,7.0,7.52,42828400.0
46024,2010-05-24,RF,7.48,7.2,7.2,7.49,20185700.0
46493,2010-05-25,RF,6.93,7.45,6.85,7.48,35971100.0
46962,2010-05-26,RF,7.61,7.4,7.36,7.64,23517500.0
47431,2010-05-27,RF,7.6,7.88,7.45,7.89,23019100.0
47900,2010-05-28,RF,7.91,7.63,7.59,7.94,16599800.0
48369,2010-06-01,RF,7.54,7.38,7.38,7.69,17244200.0
48838,2010-06-02,RF,7.48,7.69,7.42,7.69,13643300.0
49307,2010-06-03,RF,7.75,7.64,7.59,7.85,13181400.0
49776,2010-06-04,RF,7.39,7.13,7.07,7.47,25696900.0
50245,2010-06-07,RF,7.19,6.91,6.88,7.31,20635000.0
50714,2010-06-08,RF,6.98,7.1,6.78,7.11,34936300.0
51183,2010-06-09,RF,7.18,6.79,6.74,7.2,30532600.0
51652,2010-06-10,RF,6.92,7.16,6.86,7.16,23385000.0
52121,2010-06-11,RF,7.07,7.06,6.85,7.07,19446800.0
52590,2010-06-14,RF,7.14,7.16,6.98,7.27,20885400.0
53059,2010-06-15,RF,7.23,7.34,7.05,7.37,16845500.0
53528,2010-06-16,RF,7.23,7.16,7.08,7.28,21471500.0
53997,2010-06-17,RF,7.21,7.15,7.05,7.23,19927900.0
54466,2010-06-18,RF,7.14,7.15,7.05,7.21,14760300.0
54935,2010-06-21,RF,7.26,7.17,7.11,7.35,19478200.0
55404,2010-06-22,RF,7.21,7.0,7.0,7.21,16738900.0
55873,2010-06-23,RF,7.01,7.07,6.9,7.13,17371600.0
56342,2010-06-24,RF,7.0,6.81,6.78,7.05,23105800.0
56811,2010-06-25,RF,6.93,6.99,6.75,6.99,24197300.0
57280,2010-06-28,RF,6.95,7.08,6.94,7.13,18553900.0
57749,2010-06-29,RF,6.95,6.76,6.67,6.99,29651000.0
58218,2010-06-30,RF,6.76,6.58,6.55,6.92,17448800.0
58687,2010-07-01,RF,6.59,6.39,6.22,6.75,27632300.0
59156,2010-07-02,RF,6.41,6.24,6.12,6.49,18842300.0
59625,2010-07-06,RF,6.35,6.41,6.32,6.59,21651600.0
60094,2010-07-07,RF,6.41,6.62,6.36,6.64,30843900.0
60563,2010-07-08,RF,6.73,6.83,6.65,6.84,24643800.0
61032,2010-07-09,RF,6.81,7.15,6.78,7.19,20138500.0
61501,2010-07-12,RF,7.08,7.24,7.05,7.33,20507200.0
61970,2010-07-13,RF,7.37,7.38,7.28,7.45,18449600.0
62439,2010-07-14,RF,7.25,7.15,7.01,7.25,22484800.0
62908,2010-07-15,RF,7.19,7.02,6.82,7.19,23794800.0
63377,2010-07-16,RF,6.93,6.55,6.51,6.95,21697500.0
63846,2010-07-19,RF,6.53,6.68,6.41,6.71,19111600.0
64315,2010-07-20,RF,6.52,6.56,6.33,6.59,21502600.0
64784,2010-07-21,RF,6.7,6.2,6.2,6.75,36413200.0
65253,2010-07-22,RF,6.31,6.6,6.3,6.62,22231500.0
65722,2010-07-23,RF,6.53,6.65,6.43,6.73,19309800.0
66191,2010-07-26,RF,6.69,7.09,6.59,7.1,26631800.0
66660,2010-07-27,RF,7.58,7.21,7.2,7.72,44147800.0
67129,2010-07-28,RF,7.11,7.28,7.11,7.36,23070800.0
67598,2010-07-29,RF,7.37,7.39,7.25,7.49,24413000.0
68067,2010-07-30,RF,7.28,7.33,7.25,7.42,17229200.0
68536,2010-08-02,RF,7.49,7.7,7.45,7.72,22209600.0
69005,2010-08-03,RF,7.66,7.58,7.56,7.76,15767500.0
69474,2010-08-04,RF,7.6,7.6,7.58,7.76,13133200.0
69943,2010-08-05,RF,7.54,7.47,7.25,7.55,15962800.0
70412,2010-08-06,RF,7.39,7.4,7.2,7.43,13619600.0
70881,2010-08-09,RF,7.44,7.59,7.34,7.62,16787900.0
71350,2010-08-10,RF,7.47,7.67,7.44,7.72,19654500.0
71819,2010-08-11,RF,7.52,7.17,7.16,7.55,17501300.0
72288,2010-08-12,RF,7.02,7.14,6.93,7.19,13204900.0
72757,2010-08-13,RF,7.13,7.15,7.11,7.27,12732300.0
