,date,symbol,open,close,low,high,volume
613,2010-01-04,RL,81.839996,81.559998,80.18,81.900002,899700.0
1081,2010-01-05,RL,81.370003,84.760002,80.83000200000001,84.989998,2044900.0
1549,2010-01-06,RL,84.739998,84.120003,83.779999,85.230003,873000.0
2017,2010-01-07,RL,84.150002,85.739998,84.120003,86.489998,1106900.0
2485,2010-01-08,RL,85.300003,86.370003,84.720001,86.489998,1202100.0
2953,2010-01-11,RL,86.480003,85.559998,84.989998,86.970001,1094600.0
3421,2010-01-12,RL,84.980003,83.82,83.199997,85.660004,867100.0
3889,2010-01-13,RL,84.25,85.699997,83.760002,85.970001,827200.0
4357,2010-01-14,RL,85.160004,85.110001,84.660004,85.639999,496900.0
4825,2010-01-15,RL,84.510002,83.83000200000001,82.879997,85.529999,977500.0
5293,2010-01-19,RL,83.900002,84.769997,83.82,84.940002,596000.0
5761,2010-01-20,RL,84.120003,86.400002,83.760002,86.510002,1948000.0
6229,2010-01-21,RL,86.239998,84.480003,84.099998,86.949997,1307100.0
6697,2010-01-22,RL,84.599998,82.040001,81.879997,84.989998,1015500.0
7165,2010-01-25,RL,82.779999,82.769997,82.019997,83.41999799999999,819500.0
7633,2010-01-26,RL,82.470001,82.57,82.050003,83.610001,666700.0
8101,2010-01-27,RL,82.410004,83.010002,81.760002,83.300003,575200.0
8569,2010-01-28,RL,83.209999,81.91999799999999,81.739998,83.510002,874400.0
9037,2010-01-29,RL,82.120003,82.0,81.730003,84.379997,1681900.0
9505,2010-02-01,RL,82.800003,83.139999,82.629997,83.66999799999999,792600.0
9973,2010-02-02,RL,83.510002,85.66999799999999,83.029999,86.279999,1426600.0
10441,2010-02-03,RL,79.449997,78.510002,76.900002,81.209999,7881700.0
10909,2010-02-04,RL,77.650002,77.139999,76.879997,78.510002,2692400.0
11377,2010-02-05,RL,77.379997,76.650002,75.059998,77.57,3109400.0
11845,2010-02-08,RL,76.5,77.629997,76.139999,78.970001,1848500.0
12313,2010-02-09,RL,78.290001,78.589996,78.129997,79.440002,1514300.0
12781,2010-02-10,RL,78.589996,77.989998,77.639999,79.400002,1132600.0
13249,2010-02-11,RL,77.790001,79.029999,77.769997,79.339996,1194100.0
13717,2010-02-12,RL,78.050003,78.690002,77.75,78.779999,908400.0
14185,2010-02-16,RL,79.029999,79.720001,78.0,79.769997,1097400.0
14653,2010-02-17,RL,79.739998,80.300003,79.739998,80.720001,885700.0
15121,2010-02-18,RL,79.760002,80.57,79.559998,80.660004,562500.0
15589,2010-02-19,RL,80.480003,80.599998,80.0,81.18,1147000.0
16057,2010-02-22,RL,80.75,81.309998,80.279999,81.699997,1112600.0
16525,2010-02-23,RL,80.959999,80.279999,79.889999,81.309998,1175000.0
16993,2010-02-24,RL,80.550003,80.150002,79.870003,80.66999799999999,1887400.0
17461,2010-02-25,RL,79.58000200000001,79.639999,78.730003,79.889999,1833800.0
17929,2010-02-26,RL,79.699997,79.93,79.300003,80.91999799999999,1103000.0
18397,2010-03-01,RL,79.230003,80.760002,79.160004,81.050003,740500.0
18865,2010-03-02,RL,81.120003,80.629997,80.410004,81.730003,1398800.0
19333,2010-03-03,RL,80.639999,80.349998,80.019997,80.940002,834100.0
19801,2010-03-04,RL,80.800003,80.989998,80.68,81.910004,1528200.0
20269,2010-03-05,RL,81.43,82.629997,81.089996,82.760002,984500.0
20737,2010-03-08,RL,82.809998,82.779999,82.449997,83.739998,662900.0
21205,2010-03-09,RL,82.400002,82.93,82.190002,83.449997,704100.0
21673,2010-03-10,RL,82.690002,82.349998,81.889999,83.07,1066800.0
22141,2010-03-11,RL,81.75,82.66999799999999,81.389999,82.760002,869900.0
22609,2010-03-12,RL,83.089996,82.160004,81.940002,83.16999799999999,721500.0
23077,2010-03-15,RL,82.0,81.120003,79.91999799999999,82.050003,1813500.0
23545,2010-03-16,RL,81.110001,81.370003,80.690002,81.5,671800.0
24013,2010-03-17,RL,81.41999799999999,81.989998,81.269997,82.470001,608900.0
24481,2010-03-18,RL,81.910004,83.32,81.629997,83.480003,1050900.0
24949,2010-03-19,RL,82.860001,82.860001,82.43,83.949997,1056700.0
25417,2010-03-22,RL,82.050003,83.860001,81.860001,84.279999,676100.0
25885,2010-03-23,RL,84.33000200000001,84.900002,84.190002,85.480003,951500.0
26353,2010-03-24,RL,84.699997,84.720001,84.110001,85.150002,717900.0
26821,2010-03-25,RL,85.279999,84.650002,84.57,85.83000200000001,671600.0
27289,2010-03-26,RL,84.639999,86.07,84.639999,86.699997,972700.0
27757,2010-03-29,RL,86.5,85.690002,84.879997,86.66999799999999,680200.0
28225,2010-03-30,RL,85.66999799999999,85.769997,85.220001,86.379997,443500.0
28693,2010-03-31,RL,85.349998,85.040001,84.739998,85.839996,396500.0
29161,2010-04-01,RL,85.599998,86.529999,85.589996,86.83000200000001,1655900.0
29629,2010-04-05,RL,86.860001,88.139999,86.660004,88.379997,624200.0
30097,2010-04-06,RL,87.940002,88.089996,87.41999799999999,88.220001,519900.0
30565,2010-04-07,RL,88.540001,88.860001,88.339996,89.839996,1105400.0
31033,2010-04-08,RL,88.489998,88.839996,87.620003,89.209999,465300.0
31501,2010-04-09,RL,89.019997,89.730003,88.400002,89.760002,430700.0
31969,2010-04-12,RL,89.75,89.470001,88.910004,89.940002,429200.0
32437,2010-04-13,RL,89.360001,90.389999,88.610001,90.889999,758200.0
32905,2010-04-14,RL,90.629997,91.18,90.08000200000001,91.360001,1186800.0
33373,2010-04-15,RL,91.279999,90.620003,89.970001,91.279999,740200.0
33841,2010-04-16,RL,90.440002,90.010002,89.290001,90.949997,1225100.0
34309,2010-04-19,RL,89.620003,90.760002,88.699997,90.879997,982100.0
34777,2010-04-20,RL,91.16999799999999,91.360001,90.91999799999999,91.800003,867800.0
35245,2010-04-21,RL,91.300003,92.900002,91.139999,93.08000200000001,795800.0
35713,2010-04-22,RL,91.839996,94.940002,91.809998,95.449997,927600.0
36181,2010-04-23,RL,94.800003,95.0,94.0,95.550003,592300.0
36649,2010-04-26,RL,94.699997,94.489998,94.300003,95.589996,367700.0
37117,2010-04-27,RL,94.220001,92.019997,91.650002,94.68,752500.0
37586,2010-04-28,RL,92.620003,92.349998,91.889999,93.41999799999999,554000.0
38055,2010-04-29,RL,92.82,93.849998,92.82,94.129997,418900.0
38524,2010-04-30,RL,93.980003,89.900002,89.83000200000001,94.879997,1040800.0
38993,2010-05-03,RL,90.699997,92.370003,89.900002,93.379997,714500.0
39462,2010-05-04,RL,91.339996,90.650002,90.209999,91.809998,1225100.0
39931,2010-05-05,RL,89.519997,89.410004,88.459999,91.660004,1179000.0
40400,2010-05-06,RL,88.800003,85.279999,80.339996,89.33000200000001,1865900.0
40869,2010-05-07,RL,84.459999,82.739998,80.83000200000001,86.199997,1892200.0
41338,2010-05-10,RL,86.410004,89.589996,86.410004,89.83000200000001,1198800.0
41807,2010-05-11,RL,88.099998,89.029999,88.099998,90.309998,1543800.0
42276,2010-05-12,RL,89.75,91.91999799999999,89.370003,92.07,611100.0
42745,2010-05-13,RL,91.91999799999999,90.18,89.709999,92.41999799999999,757500.0
43214,2010-05-14,RL,89.220001,89.32,88.050003,90.510002,1559300.0
43683,2010-05-17,RL,89.41999799999999,86.980003,84.519997,90.010002,2332800.0
44152,2010-05-18,RL,87.91999799999999,85.779999,85.480003,89.480003,1802600.0
44621,2010-05-19,RL,82.989998,88.099998,82.699997,89.260002,5850700.0
45090,2010-05-20,RL,85.720001,85.010002,84.650002,86.82,4014100.0
45559,2010-05-21,RL,83.41999799999999,84.269997,83.41999799999999,86.519997,2539100.0
46028,2010-05-24,RL,83.769997,84.91999799999999,83.629997,85.730003,1571100.0
46497,2010-05-25,RL,83.150002,85.599998,81.300003,85.940002,1942600.0
46966,2010-05-26,RL,86.529999,85.230003,85.16999799999999,87.190002,1604400.0
47435,2010-05-27,RL,86.779999,88.279999,86.589996,88.349998,901000.0
47904,2010-05-28,RL,87.91999799999999,86.860001,86.389999,88.940002,722300.0
48373,2010-06-01,RL,86.129997,84.550003,84.480003,87.660004,917600.0
48842,2010-06-02,RL,82.58000200000001,85.839996,82.559998,85.900002,1667000.0
49311,2010-06-03,RL,85.629997,86.339996,85.519997,87.489998,1036700.0
49780,2010-06-04,RL,85.129997,81.779999,81.050003,85.129997,1419400.0
50249,2010-06-07,RL,82.230003,78.599998,78.41999799999999,82.300003,2051600.0
50718,2010-06-08,RL,78.900002,79.410004,77.199997,79.889999,1557000.0
51187,2010-06-09,RL,79.889999,80.269997,79.75,82.459999,1697800.0
51656,2010-06-10,RL,81.699997,83.199997,81.639999,83.57,1081600.0
52125,2010-06-11,RL,82.120003,83.449997,82.050003,84.199997,1048300.0
52594,2010-06-14,RL,84.0,84.16999799999999,83.709999,85.0,1038000.0
53063,2010-06-15,RL,82.940002,82.440002,81.110001,83.099998,2485100.0
53532,2010-06-16,RL,80.139999,80.120003,80.0,80.809998,7336900.0
54001,2010-06-17,RL,80.400002,80.849998,80.110001,81.0,2294900.0
54470,2010-06-18,RL,80.93,80.449997,80.32,81.300003,1713900.0
54939,2010-06-21,RL,81.209999,79.879997,79.41999799999999,82.010002,2430200.0
55408,2010-06-22,RL,79.949997,78.18,77.93,81.0,2187400.0
55877,2010-06-23,RL,78.440002,78.83000200000001,76.68,79.58000200000001,2945700.0
56346,2010-06-24,RL,78.43,76.519997,76.08000200000001,78.529999,2142600.0
56815,2010-06-25,RL,76.720001,77.269997,76.410004,78.18,1731500.0
57284,2010-06-28,RL,77.290001,77.040001,76.699997,78.309998,900600.0
57753,2010-06-29,RL,75.709999,73.400002,72.910004,75.709999,2137400.0
58222,2010-06-30,RL,73.400002,72.959999,72.510002,74.610001,1503900.0
58691,2010-07-01,RL,73.32,73.949997,71.139999,74.32,2331500.0
59160,2010-07-02,RL,74.339996,73.120003,72.610001,74.900002,1119900.0
59629,2010-07-06,RL,74.0,71.93,71.120003,74.610001,1281800.0
60098,2010-07-07,RL,72.540001,74.959999,71.769997,75.150002,1369000.0
60567,2010-07-08,RL,75.940002,77.220001,75.68,77.489998,2080400.0
61036,2010-07-09,RL,77.879997,77.160004,76.120003,77.900002,866200.0
61505,2010-07-12,RL,77.0,76.120003,75.470001,77.209999,892500.0
61974,2010-07-13,RL,77.220001,77.68,76.540001,77.959999,1156900.0
62443,2010-07-14,RL,77.16999799999999,77.190002,76.360001,77.83000200000001,580900.0
62912,2010-07-15,RL,77.040001,77.18,75.349998,77.370003,778100.0
63381,2010-07-16,RL,76.68,73.900002,73.66999799999999,76.709999,1080200.0
63850,2010-07-19,RL,73.690002,72.900002,72.279999,74.019997,1483600.0
64319,2010-07-20,RL,71.610001,74.389999,71.389999,74.589996,1090600.0
64788,2010-07-21,RL,74.58000200000001,73.309998,73.190002,75.040001,961400.0
65257,2010-07-22,RL,74.43,76.470001,74.339996,77.5,1148200.0
65726,2010-07-23,RL,76.349998,79.220001,75.83000200000001,79.540001,1306300.0
66195,2010-07-26,RL,79.66999799999999,81.970001,79.110001,82.010002,1225000.0
66664,2010-07-27,RL,82.16999799999999,80.120003,79.559998,82.57,1089300.0
67133,2010-07-28,RL,80.099998,78.529999,78.0,80.339996,1354700.0
67602,2010-07-29,RL,78.970001,78.300003,77.239998,79.550003,840100.0
68071,2010-07-30,RL,77.150002,79.010002,76.82,79.400002,851600.0
68540,2010-08-02,RL,80.58000200000001,81.639999,80.449997,82.199997,1195400.0
69009,2010-08-03,RL,81.440002,79.309998,79.099998,81.510002,1613400.0
69478,2010-08-04,RL,82.040001,85.470001,80.0,85.879997,3270400.0
69947,2010-08-05,RL,84.870003,84.290001,83.760002,86.0,1653600.0
70416,2010-08-06,RL,82.720001,85.790001,82.720001,85.839996,1444900.0
70885,2010-08-09,RL,86.199997,86.550003,85.93,87.300003,1479100.0
71354,2010-08-10,RL,85.690002,84.82,84.110001,86.68,916200.0
71823,2010-08-11,RL,83.190002,81.769997,81.110001,83.190002,1238700.0
72292,2010-08-12,RL,79.860001,81.370003,79.860001,81.449997,1230700.0
72761,2010-08-13,RL,81.160004,80.360001,80.0,81.300003,586300.0
73230,2010-08-16,RL,79.58000200000001,79.779999,79.230003,80.599998,726300.0
73699,2010-08-17,RL,80.699997,82.459999,80.629997,83.239998,1061300.0
74168,2010-08-18,RL,82.129997,83.139999,81.93,83.779999,739700.0
74637,2010-08-19,RL,82.779999,82.720001,81.449997,83.199997,987100.0
75106,2010-08-20,RL,81.900002,83.040001,81.150002,83.239998,919900.0
75575,2010-08-23,RL,83.010002,82.910004,82.269997,84.0,1040500.0
76044,2010-08-24,RL,81.58000200000001,80.550003,79.860001,81.629997,942400.0
76513,2010-08-25,RL,79.790001,81.349998,79.199997,81.589996,512700.0
76982,2010-08-26,RL,81.610001,77.139999,77.059998,81.91999799999999,1856300.0
77451,2010-08-27,RL,77.589996,78.220001,76.08000200000001,78.5,1412600.0
77920,2010-08-30,RL,78.099998,75.459999,75.370003,78.18,1188800.0
78389,2010-08-31,RL,75.010002,75.739998,74.5,77.040001,1544900.0
78858,2010-09-01,RL,76.879997,78.839996,76.879997,79.220001,811500.0
79327,2010-09-02,RL,79.029999,79.910004,78.900002,80.519997,834800.0
79796,2010-09-03,RL,81.029999,81.089996,80.720001,82.199997,809400.0
80265,2010-09-07,RL,80.629997,80.190002,79.800003,81.199997,596600.0
80734,2010-09-08,RL,80.339996,81.379997,80.279999,82.0,596500.0
81203,2010-09-09,RL,82.699997,81.459999,81.08000200000001,82.83000200000001,534300.0
81672,2010-09-10,RL,81.510002,81.540001,80.949997,82.25,644900.0
82141,2010-09-13,RL,82.589996,83.33000200000001,82.08000200000001,83.58000200000001,515800.0
82610,2010-09-14,RL,83.08000200000001,85.099998,82.989998,85.870003,1076200.0
83079,2010-09-15,RL,84.400002,85.83000200000001,84.25,85.93,721100.0
83548,2010-09-16,RL,85.599998,86.389999,85.449997,86.449997,1062400.0
84017,2010-09-17,RL,86.529999,87.66999799999999,86.309998,87.769997,1481700.0
84486,2010-09-20,RL,87.68,89.82,87.120003,89.91999799999999,1059800.0
84955,2010-09-21,RL,89.809998,89.190002,88.449997,90.07,1114900.0
85424,2010-09-22,RL,89.129997,87.83000200000001,87.139999,89.449997,1060900.0
