,date,symbol,open,close,low,high,volume
616,2010-01-04,ROST,10.6925,10.67249975,10.57499975,10.7325,15743600.0
1084,2010-01-05,ROST,10.71,10.86750025,10.65250025,10.875,9369600.0
1552,2010-01-06,ROST,10.814999499999999,11.03499975,10.7875005,11.0375005,13144800.0
2020,2010-01-07,ROST,11.415,11.48750025,11.39000025,11.60999975,23984800.0
2488,2010-01-08,ROST,11.255,11.26500025,11.19499975,11.335,15926000.0
2956,2010-01-11,ROST,11.30000025,11.31999975,11.13,11.335,10197600.0
3424,2010-01-12,ROST,11.2924995,11.36250025,11.26249975,11.375,9478400.0
3892,2010-01-13,ROST,11.415,11.4825,11.375,11.51500025,7983600.0
4360,2010-01-14,ROST,11.4325,11.3999995,11.38249975,11.47000025,8125600.0
4828,2010-01-15,ROST,11.44750025,11.22000025,11.19999975,11.45250025,6539600.0
5296,2010-01-19,ROST,11.23499975,11.44499975,11.2325,11.46500025,6678400.0
5764,2010-01-20,ROST,11.39000025,11.314999499999999,11.21,11.415,5241600.0
6232,2010-01-21,ROST,11.34249975,11.1075,11.09000025,11.39000025,8160000.0
6700,2010-01-22,ROST,11.03499975,10.9575005,10.94499975,11.205,9143600.0
7168,2010-01-25,ROST,11.03499975,11.0874995,11.002499499999999,11.14000025,10186400.0
7636,2010-01-26,ROST,11.05000025,11.30000025,11.01000025,11.3500005,10211600.0
8104,2010-01-27,ROST,11.38500025,11.502499499999999,11.2124995,11.51500025,12769600.0
8572,2010-01-28,ROST,11.52999975,11.50749975,11.36499975,11.5375005,13789200.0
9040,2010-01-29,ROST,11.52999975,11.4825,11.4825,11.7325,13900400.0
9508,2010-02-01,ROST,11.5675,11.625,11.5,11.70250025,9596000.0
9976,2010-02-02,ROST,11.59249975,11.7075005,11.5575,11.75,10828800.0
10444,2010-02-03,ROST,11.65250025,11.55000025,11.4624995,11.67749975,12430400.0
10912,2010-02-04,ROST,11.295,11.30000025,11.26000025,11.5200005,13031600.0
11380,2010-02-05,ROST,11.34249975,11.49250025,11.3125,11.53499975,11869200.0
11848,2010-02-08,ROST,11.36250025,11.29749975,11.2299995,11.53499975,8425600.0
12316,2010-02-09,ROST,11.42,11.38500025,11.28499975,11.4750005,7817600.0
12784,2010-02-10,ROST,11.377499499999999,11.32750025,11.2924995,11.455,7723600.0
13252,2010-02-11,ROST,11.372500500000001,11.55000025,11.3125,11.59249975,7793600.0
13720,2010-02-12,ROST,11.51000025,11.6075,11.4125005,11.61750025,6904800.0
14188,2010-02-16,ROST,11.6674995,11.65250025,11.560000500000001,11.69999975,5942800.0
14656,2010-02-17,ROST,11.67,11.7725,11.6475,11.7749995,5629600.0
