,date,symbol,open,close,low,high,volume
617,2010-01-04,RRC,51.150002,52.599998,51.060001,52.68,2244000.0
1085,2010-01-05,RRC,52.349998,53.310001,52.349998,53.41,1825900.0
1553,2010-01-06,RRC,53.389998999999996,53.0,52.689999,53.57,2473300.0
2021,2010-01-07,RRC,52.700001,52.900002,52.060001,53.080002,1427300.0
2489,2010-01-08,RRC,52.709998999999996,53.93,52.049999,54.040001000000004,2072100.0
2957,2010-01-11,RRC,54.200001,52.029999,51.630001,54.650002,2414400.0
3425,2010-01-12,RRC,51.209998999999996,50.73,50.18,51.380001,2068200.0
3893,2010-01-13,RRC,50.82,52.009997999999996,50.029999,52.110001000000004,1936600.0
4361,2010-01-14,RRC,52.009997999999996,53.279999,51.900002,53.310001,3101200.0
4829,2010-01-15,RRC,53.07,52.75,51.57,53.509997999999996,2198100.0
5297,2010-01-19,RRC,52.130001,53.080002,52.110001000000004,53.169998,2295800.0
5765,2010-01-20,RRC,52.5,51.689999,51.150002,52.5,1402400.0
6233,2010-01-21,RRC,51.98,50.5,49.91,52.189999,3155200.0
6701,2010-01-22,RRC,50.240002000000004,48.82,48.700001,50.580002,3301400.0
7169,2010-01-25,RRC,49.389998999999996,49.880001,49.169998,50.360001000000004,2598400.0
7637,2010-01-26,RRC,49.450001,47.990002000000004,47.790001000000004,49.709998999999996,3511000.0
8105,2010-01-27,RRC,47.799999,47.349998,46.599998,48.279999,3067900.0
8573,2010-01-28,RRC,48.189999,47.040001000000004,46.23,48.189999,3390700.0
9041,2010-01-29,RRC,47.59,46.0,45.720001,48.110001000000004,3443900.0
9509,2010-02-01,RRC,46.509997999999996,47.57,46.369999,47.720001,2240200.0
9977,2010-02-02,RRC,47.849998,48.759997999999996,47.299999,48.959998999999996,2538400.0
10445,2010-02-03,RRC,48.290001000000004,48.439999,48.099998,49.080002,2284200.0
10913,2010-02-04,RRC,47.43,46.25,45.919998,47.450001,3935100.0
11381,2010-02-05,RRC,46.299999,46.419998,45.0,46.580002,4057000.0
11849,2010-02-08,RRC,46.02,46.439999,45.849998,47.220001,2978900.0
12317,2010-02-09,RRC,47.169998,47.529999,46.810001,48.040001000000004,3396900.0
12785,2010-02-10,RRC,47.110001000000004,47.73,46.400002,48.049999,2629100.0
