,date,symbol,open,close,low,high,volume
619,2010-01-04,RTN,51.919998,52.209998999999996,51.700001,52.25,1897000.0
1087,2010-01-05,RTN,52.220001,51.450001,51.220001,52.290001000000004,3721400.0
1555,2010-01-06,RTN,51.369999,50.73,50.59,51.599998,3688100.0
2023,2010-01-07,RTN,50.779999,51.349998,50.529999,51.619999,4251400.0
2491,2010-01-08,RTN,51.130001,52.450001,51.130001,52.48,2502000.0
2959,2010-01-11,RTN,52.5,53.0,52.439999,53.029999,2417300.0
3427,2010-01-12,RTN,52.73,53.0,52.25,53.009997999999996,2525500.0
3895,2010-01-13,RTN,53.110001000000004,53.740002000000004,52.93,53.889998999999996,2072300.0
4363,2010-01-14,RTN,53.799999,54.389998999999996,53.52,54.419998,2846100.0
4831,2010-01-15,RTN,54.18,53.98,53.66,54.259997999999996,2657600.0
5299,2010-01-19,RTN,53.849998,54.709998999999996,53.150002,54.720001,2828200.0
5767,2010-01-20,RTN,54.32,54.48,53.73,54.529999,2881900.0
6235,2010-01-21,RTN,54.450001,53.639998999999996,53.43,54.869999,3066800.0
6703,2010-01-22,RTN,53.48,53.009997999999996,52.950001,53.990002000000004,1876400.0
7171,2010-01-25,RTN,53.369999,53.209998999999996,52.880001,53.700001,1659000.0
7639,2010-01-26,RTN,53.200001,53.470001,52.970001,53.939999,2576700.0
8107,2010-01-27,RTN,53.52,53.459998999999996,52.650002,53.630001,3198000.0
8575,2010-01-28,RTN,53.41,52.700001,51.720001,53.599998,5129200.0
9043,2010-01-29,RTN,52.970001,52.43,52.25,52.970001,3637600.0
9511,2010-02-01,RTN,52.459998999999996,52.959998999999996,52.139998999999996,52.959998999999996,2723300.0
9979,2010-02-02,RTN,53.139998999999996,54.689999,52.68,54.82,4119100.0
10447,2010-02-03,RTN,54.400002,54.82,54.400002,55.0,2847400.0
10915,2010-02-04,RTN,54.650002,53.889998999999996,53.860001000000004,54.73,3581400.0
11383,2010-02-05,RTN,53.810001,53.41,52.560001,54.330002,3117700.0
11851,2010-02-08,RTN,53.5,52.790001000000004,52.790001000000004,53.73,2253300.0
12319,2010-02-09,RTN,53.240002000000004,53.41,52.950001,53.970001,2635500.0
12787,2010-02-10,RTN,53.349998,53.509997999999996,53.27,53.830002,2240400.0
13255,2010-02-11,RTN,53.360001000000004,53.66,53.099998,53.799999,2152400.0
13723,2010-02-12,RTN,53.240002000000004,53.400002,52.919998,53.610001000000004,2807100.0
14191,2010-02-16,RTN,53.360001000000004,54.5,53.139998999999996,54.57,3270100.0
14659,2010-02-17,RTN,54.630001,54.52,53.919998,54.810001,2557600.0
15127,2010-02-18,RTN,54.490002000000004,55.360001000000004,54.220001,55.630001,4478600.0
15595,2010-02-19,RTN,55.279999,55.540001000000004,54.959998999999996,55.650002,3963400.0
16063,2010-02-22,RTN,55.75,55.849998,55.540001000000004,56.200001,2540300.0
16531,2010-02-23,RTN,55.860001000000004,55.509997999999996,55.490002000000004,56.299999,2028700.0
16999,2010-02-24,RTN,56.610001000000004,56.169998,55.720001,56.610001000000004,2145900.0
17467,2010-02-25,RTN,55.509997999999996,55.849998,55.07,55.900002,2123200.0
17935,2010-02-26,RTN,56.02,56.240002000000004,55.990002000000004,56.860001000000004,3053200.0
18403,2010-03-01,RTN,56.540001000000004,56.790001000000004,56.349998,57.049999,1719100.0
18871,2010-03-02,RTN,57.060001,56.860001000000004,56.580002,57.220001,1889700.0
19339,2010-03-03,RTN,56.939999,56.48,56.43,57.0,1516100.0
19807,2010-03-04,RTN,56.560001,56.73,56.48,56.939999,1600200.0
20275,2010-03-05,RTN,56.889998999999996,57.110001000000004,56.75,57.32,2189200.0
20743,2010-03-08,RTN,57.130001,57.07,56.939999,57.32,1615400.0
21211,2010-03-09,RTN,57.09,57.099998,56.93,57.200001,1901700.0
21679,2010-03-10,RTN,56.990002000000004,57.099998,56.84,57.209998999999996,1562000.0
22147,2010-03-11,RTN,56.82,56.990002000000004,56.09,57.02,1859400.0
22615,2010-03-12,RTN,56.950001,56.68,56.279999,57.049999,2099400.0
23083,2010-03-15,RTN,56.52,56.560001,56.0,56.740002000000004,2360400.0
23551,2010-03-16,RTN,56.790001000000004,56.810001,56.619999,56.970001,3890500.0
24019,2010-03-17,RTN,56.790001000000004,56.84,56.509997999999996,56.919998,1539400.0
24487,2010-03-18,RTN,56.73,56.84,56.689999,57.07,2706700.0
24955,2010-03-19,RTN,56.869999,56.869999,56.48,57.080002,3843000.0
25423,2010-03-22,RTN,56.700001,57.09,56.5,57.09,2538900.0
25891,2010-03-23,RTN,57.080002,57.25,56.970001,57.32,2445300.0
26359,2010-03-24,RTN,57.189999,57.110001000000004,56.990002000000004,57.439999,2236000.0
26827,2010-03-25,RTN,58.029999,57.259997999999996,57.029999,58.299999,4935400.0
27295,2010-03-26,RTN,57.450001,57.290001000000004,57.099998,57.57,3136100.0
27763,2010-03-29,RTN,57.580002,57.669998,57.16,57.740002000000004,2173200.0
28231,2010-03-30,RTN,57.810001,57.450001,57.110001000000004,57.82,1485200.0
28699,2010-03-31,RTN,57.240002000000004,57.119999,56.860001000000004,57.459998999999996,1736300.0
