,date,symbol,open,close,low,high,volume
632,2010-01-04,SO,33.43,33.25,33.169998,33.560001,5119300.0
1100,2010-01-05,SO,33.349998,32.580002,32.5,33.349998,4948100.0
1568,2010-01-06,SO,32.68,33.040001000000004,32.560001,33.209998999999996,5061700.0
2036,2010-01-07,SO,33.09,32.900002,32.630001,33.09,3481100.0
2504,2010-01-08,SO,32.919998,32.830002,32.599998,32.919998,3513800.0
2972,2010-01-11,SO,33.029999,33.259997999999996,32.860001000000004,33.32,3609500.0
3440,2010-01-12,SO,33.220001,33.049999,33.0,33.43,4354600.0
3908,2010-01-13,SO,33.209998999999996,33.52,33.110001000000004,33.610001000000004,4961300.0
4376,2010-01-14,SO,33.490002000000004,33.439999,33.27,33.509997999999996,2654200.0
4844,2010-01-15,SO,33.150002,33.34,32.93,33.360001000000004,7412400.0
5312,2010-01-19,SO,33.389998999999996,33.650002,33.099998,33.650002,4693100.0
5780,2010-01-20,SO,33.509997999999996,33.43,33.139998999999996,33.540001000000004,8748000.0
6248,2010-01-21,SO,33.490002000000004,33.150002,33.009997999999996,33.73,4380800.0
6716,2010-01-22,SO,33.130001,32.540001000000004,32.52,33.349998,5910100.0
7184,2010-01-25,SO,32.790001000000004,32.799999,32.43,32.919998,4476600.0
7652,2010-01-26,SO,32.779999,32.970001,32.599998,33.110001000000004,5362200.0
8120,2010-01-27,SO,32.919998,32.91,32.110001000000004,33.23,9757100.0
8588,2010-01-28,SO,32.419998,31.950001,31.940001000000002,32.580002,5068900.0
9056,2010-01-29,SO,32.060001,32.0,31.85,32.200001,5421300.0
9524,2010-02-01,SO,32.09,32.0,31.75,32.139998999999996,3769100.0
9992,2010-02-02,SO,31.98,32.150002,31.709999,32.169998,4712400.0
10460,2010-02-03,SO,32.0,32.0,31.85,32.139998999999996,3143100.0
10928,2010-02-04,SO,31.889999,31.58,31.58,32.029999,4895000.0
11396,2010-02-05,SO,31.57,31.700001,31.309998999999998,31.74,7399800.0
11864,2010-02-08,SO,31.690001000000002,31.129998999999998,31.1,31.709999,3802600.0
12332,2010-02-09,SO,31.280001000000002,31.290001,31.16,31.6,4218000.0
12800,2010-02-10,SO,31.290001,31.280001000000002,31.01,31.360001,3165800.0
13268,2010-02-11,SO,31.190001000000002,31.32,30.85,31.379998999999998,3605200.0
13736,2010-02-12,SO,31.09,31.17,30.99,31.27,6222500.0
14204,2010-02-16,SO,31.530001000000002,31.879998999999998,31.01,31.92,3797300.0
14672,2010-02-17,SO,32.02,31.639999,31.58,32.099998,3320700.0
15140,2010-02-18,SO,31.58,31.809998999999998,31.58,31.870001000000002,2976400.0
15608,2010-02-19,SO,31.74,32.290001000000004,31.73,32.349998,4247500.0
16076,2010-02-22,SO,32.41,32.34,32.209998999999996,32.490002000000004,3799400.0
16544,2010-02-23,SO,32.330002,32.02,32.02,32.450001,4049500.0
17012,2010-02-24,SO,32.040001000000004,32.130001,31.73,32.220001,3603200.0
17480,2010-02-25,SO,31.93,32.009997999999996,31.59,32.029999,3895700.0
17948,2010-02-26,SO,32.07,31.77,31.75,32.09,3852100.0
18416,2010-03-01,SO,31.889999,32.060001,31.83,32.130001,2971100.0
18884,2010-03-02,SO,32.200001,32.23,32.02,32.369999,3216800.0
19352,2010-03-03,SO,32.330002,32.18,32.009997999999996,32.369999,3455100.0
19820,2010-03-04,SO,32.18,32.290001000000004,32.0,32.32,3264100.0
20288,2010-03-05,SO,32.099998,32.220001,32.029999,32.240002000000004,5062900.0
20756,2010-03-08,SO,32.490002000000004,32.349998,32.23,32.490002000000004,3070100.0
21224,2010-03-09,SO,32.380001,32.310001,32.080002,32.41,10894400.0
21692,2010-03-10,SO,32.32,32.360001000000004,32.150002,32.450001,3721100.0
22160,2010-03-11,SO,32.259997999999996,32.5,32.23,32.5,2547900.0
22628,2010-03-12,SO,32.52,32.48,32.259997999999996,32.540001000000004,3238000.0
23096,2010-03-15,SO,32.52,32.860001000000004,32.470001,32.889998999999996,3353700.0
23564,2010-03-16,SO,32.860001000000004,33.209998999999996,32.689999,33.27,4859400.0
24032,2010-03-17,SO,33.240002000000004,33.450001,33.110001000000004,33.450001,3424600.0
24500,2010-03-18,SO,33.400002,33.380001,33.25,33.459998999999996,3375900.0
24968,2010-03-19,SO,33.18,33.18,33.130001,33.5,8063000.0
25436,2010-03-22,SO,33.18,33.110001000000004,33.040001000000004,33.290001000000004,3480300.0
25904,2010-03-23,SO,33.150002,33.349998,33.009997999999996,33.349998,4174100.0
26372,2010-03-24,SO,33.330002,33.029999,33.009997999999996,33.330002,2922400.0
26840,2010-03-25,SO,33.18,33.009997999999996,32.849998,33.23,3877800.0
27308,2010-03-26,SO,33.02,33.099998,32.939999,33.299999,2678400.0
27776,2010-03-29,SO,33.110001000000004,33.34,33.110001000000004,33.349998,2640100.0
28244,2010-03-30,SO,33.389998999999996,33.209998999999996,33.049999,33.450001,3324300.0
28712,2010-03-31,SO,33.150002,33.16,33.0,33.25,2740600.0
29180,2010-04-01,SO,33.290001000000004,33.419998,33.200001,33.450001,2661500.0
29648,2010-04-05,SO,33.509997999999996,33.490002000000004,33.310001,33.52,2126800.0
30116,2010-04-06,SO,33.380001,33.880001,33.299999,33.880001,3050600.0
30584,2010-04-07,SO,33.790001000000004,33.560001,33.5,33.82,3302600.0
31052,2010-04-08,SO,33.48,33.509997999999996,33.349998,33.580002,2773400.0
31520,2010-04-09,SO,33.610001000000004,33.93,33.32,33.93,3197200.0
31988,2010-04-12,SO,33.91,33.950001,33.849998,33.990002000000004,2429000.0
32456,2010-04-13,SO,33.889998999999996,33.91,33.720001,33.970001,3045000.0
32924,2010-04-14,SO,33.799999,33.990002000000004,33.700001,34.0,3038900.0
33392,2010-04-15,SO,33.889998999999996,33.950001,33.700001,33.959998999999996,2774400.0
33860,2010-04-16,SO,33.93,33.869999,33.759997999999996,33.990002000000004,4463400.0
