,date,symbol,open,close,low,high,volume
638,2010-01-04,STI,20.65,20.440001000000002,20.209999,20.690001000000002,6668600.0
1106,2010-01-05,STI,20.299999,20.719998999999998,20.16,20.780001000000002,8285700.0
1574,2010-01-06,STI,20.620001000000002,21.299999,20.33,21.469998999999998,8224800.0
2042,2010-01-07,STI,21.4,22.559998999999998,21.040001,23.290001,15574600.0
2510,2010-01-08,STI,22.43,23.01,22.32,23.040001,6714700.0
2978,2010-01-11,STI,23.110001,23.27,22.719998999999998,23.35,7180200.0
3446,2010-01-12,STI,23.030001000000002,22.450001,22.379998999999998,23.1,9228700.0
3914,2010-01-13,STI,22.610001,22.780001000000002,22.110001,22.9,8276800.0
4382,2010-01-14,STI,22.780001000000002,23.700001,22.66,23.99,7962100.0
4850,2010-01-15,STI,23.49,23.389999,22.950001,23.6,10337100.0
5318,2010-01-19,STI,23.280001000000002,23.35,23.0,23.469998999999998,5851900.0
5786,2010-01-20,STI,23.26,23.42,23.110001,23.93,8259000.0
6254,2010-01-21,STI,23.530001000000002,24.530001000000002,23.51,25.889999,18108000.0
6722,2010-01-22,STI,24.52,24.549999,23.66,25.67,20884600.0
7190,2010-01-25,STI,24.540001,24.0,23.059998999999998,24.700001,12374200.0
7658,2010-01-26,STI,23.719998999999998,23.620001000000002,23.459999,24.379998999999998,9918600.0
8126,2010-01-27,STI,23.57,24.700001,23.440001000000002,24.809998999999998,11197700.0
8594,2010-01-28,STI,26.01,24.809998999999998,24.57,26.200001,20523500.0
9062,2010-01-29,STI,24.59,24.33,24.200001,24.77,13430100.0
9530,2010-02-01,STI,24.459999,24.5,23.639999,24.58,11481000.0
9998,2010-02-02,STI,24.5,24.27,23.98,24.68,11749100.0
10466,2010-02-03,STI,24.049999,23.27,22.860001,24.049999,13874900.0
10934,2010-02-04,STI,23.219998999999998,22.0,21.92,23.299999,12493100.0
11402,2010-02-05,STI,21.959999,22.49,21.440001000000002,22.67,9157500.0
11870,2010-02-08,STI,22.370001000000002,22.4,21.84,23.09,7662000.0
12338,2010-02-09,STI,22.610001,22.690001000000002,22.4,23.07,5773100.0
12806,2010-02-10,STI,22.59,22.99,22.49,23.41,5819800.0
13274,2010-02-11,STI,22.940001000000002,22.48,22.379998999999998,23.0,9105600.0
13742,2010-02-12,STI,22.26,22.370001000000002,21.799999,22.4,8346600.0
14210,2010-02-16,STI,22.709999,22.690001000000002,22.530001000000002,22.889999,9008200.0
14678,2010-02-17,STI,22.91,22.6,22.41,23.02,9022600.0
15146,2010-02-18,STI,22.440001000000002,22.620001000000002,22.08,22.780001000000002,9492600.0
15614,2010-02-19,STI,22.65,23.030001000000002,22.65,23.120001000000002,7952400.0
16082,2010-02-22,STI,23.16,23.65,23.049999,23.9,7016700.0
16550,2010-02-23,STI,23.709999,22.76,22.690001000000002,23.74,7776400.0
17018,2010-02-24,STI,22.85,23.77,22.77,23.870001000000002,8697700.0
17486,2010-02-25,STI,23.389999,23.52,22.93,23.549999,6841500.0
17954,2010-02-26,STI,23.59,23.809998999999998,23.190001000000002,23.860001,6849400.0
18422,2010-03-01,STI,23.780001000000002,23.639999,23.299999,23.860001,4387400.0
18890,2010-03-02,STI,23.67,24.43,23.67,24.719998999999998,7656800.0
19358,2010-03-03,STI,24.51,24.16,24.08,24.639999,3923000.0
19826,2010-03-04,STI,24.17,24.379998999999998,24.0,24.440001000000002,4261700.0
20294,2010-03-05,STI,24.450001,25.059998999999998,24.35,25.09,4957700.0
20762,2010-03-08,STI,25.02,25.639999,24.959999,25.9,7261400.0
21230,2010-03-09,STI,25.35,25.83,25.07,26.450001,10527600.0
21698,2010-03-10,STI,26.02,26.49,25.92,27.25,12603900.0
22166,2010-03-11,STI,26.690001000000002,27.08,26.280001000000002,27.129998999999998,6651300.0
22634,2010-03-12,STI,27.549999,26.860001,26.76,28.0,8986700.0
23102,2010-03-15,STI,26.719998999999998,26.99,26.719998999999998,27.389999,7235600.0
