,date,symbol,open,close,low,high,volume
641,2010-01-04,STZ,16.02,16.120001000000002,15.89,16.17,1418700.0
1109,2010-01-05,STZ,16.08,15.92,15.86,16.129998999999998,2431600.0
1577,2010-01-06,STZ,15.94,16.129998999999998,15.72,16.17,2836900.0
2045,2010-01-07,STZ,15.6,15.97,15.1,16.200001,3870700.0
2513,2010-01-08,STZ,15.88,15.66,15.55,15.88,2100300.0
2981,2010-01-11,STZ,15.66,15.69,15.53,15.8,1536000.0
3449,2010-01-12,STZ,15.63,15.65,15.52,15.75,1762900.0
3917,2010-01-13,STZ,15.64,15.91,15.61,16.0,1518800.0
4385,2010-01-14,STZ,15.98,16.33,15.98,16.48,2467000.0
4853,2010-01-15,STZ,16.370001000000002,16.41,16.290001,16.549999,2384700.0
5321,2010-01-19,STZ,16.379998999999998,16.82,16.379998999999998,16.84,2334600.0
5789,2010-01-20,STZ,16.66,16.83,16.540001,16.84,2655400.0
6257,2010-01-21,STZ,16.719998999999998,16.790001,16.719998999999998,17.040001,2402300.0
6725,2010-01-22,STZ,16.82,16.610001,16.5,16.85,2110100.0
7193,2010-01-25,STZ,16.799999,16.610001,16.459999,16.799999,1274300.0
7661,2010-01-26,STZ,16.469998999999998,16.42,16.41,16.620001000000002,1001200.0
8129,2010-01-27,STZ,16.4,16.34,16.059998999999998,16.48,1120600.0
8597,2010-01-28,STZ,16.41,16.17,16.1,16.450001,734700.0
9065,2010-01-29,STZ,16.23,16.08,16.030001000000002,16.27,1461400.0
9533,2010-02-01,STZ,16.18,16.23,16.07,16.290001,991900.0
10001,2010-02-02,STZ,16.280001000000002,16.389999,16.120001000000002,16.42,829100.0
10469,2010-02-03,STZ,16.360001,16.309998999999998,16.190001000000002,16.42,685200.0
10937,2010-02-04,STZ,16.16,15.45,15.41,16.200001,1993900.0
11405,2010-02-05,STZ,15.4,15.33,14.95,15.51,3211500.0
11873,2010-02-08,STZ,15.37,14.93,14.87,15.37,2205700.0
12341,2010-02-09,STZ,15.17,15.2,14.96,15.33,1509800.0
12809,2010-02-10,STZ,15.17,15.13,14.91,15.24,1615800.0
13277,2010-02-11,STZ,15.18,15.49,15.08,15.53,1351500.0
13745,2010-02-12,STZ,15.38,15.36,15.28,15.59,1974200.0
14213,2010-02-16,STZ,15.43,15.61,15.37,15.61,839500.0
14681,2010-02-17,STZ,15.65,15.68,15.55,15.84,1360400.0
15149,2010-02-18,STZ,15.61,15.59,15.56,15.8,1448000.0
15617,2010-02-19,STZ,15.48,15.6,15.33,15.63,1589900.0
16085,2010-02-22,STZ,15.61,15.53,15.47,15.68,958400.0
16553,2010-02-23,STZ,15.46,15.22,15.03,15.46,2240000.0
17021,2010-02-24,STZ,15.24,15.02,14.96,15.25,2710900.0
17489,2010-02-25,STZ,14.85,14.83,14.6,14.91,4360100.0
17957,2010-02-26,STZ,14.9,15.04,14.83,15.09,1611600.0
18425,2010-03-01,STZ,15.15,15.26,15.06,15.26,1071100.0
18893,2010-03-02,STZ,15.29,15.47,15.21,15.52,1365000.0
19361,2010-03-03,STZ,15.45,15.43,15.42,15.66,1498400.0
19829,2010-03-04,STZ,15.39,15.57,15.36,15.59,1096800.0
20297,2010-03-05,STZ,15.65,15.81,15.58,15.85,1118700.0
20765,2010-03-08,STZ,15.82,15.78,15.67,15.83,1596600.0
21233,2010-03-09,STZ,15.71,15.81,15.67,15.92,1815500.0
21701,2010-03-10,STZ,15.83,15.62,15.54,15.88,1849300.0
22169,2010-03-11,STZ,15.55,15.83,15.54,15.83,1099400.0
22637,2010-03-12,STZ,15.83,16.110001,15.83,16.139999,1627100.0
23105,2010-03-15,STZ,16.059998999999998,16.129998999999998,15.96,16.23,1076600.0
23573,2010-03-16,STZ,16.110001,16.17,15.99,16.23,822600.0
24041,2010-03-17,STZ,16.18,16.24,16.09,16.280001000000002,828400.0
