,date,symbol,open,close,low,high,volume
645,2010-01-04,SYK,51.279999,52.16,50.830002,52.27,3982800.0
1113,2010-01-05,SYK,52.330002,52.650002,51.93,52.689999,2238300.0
1581,2010-01-06,SYK,52.66,53.459998999999996,52.5,53.529999,3250400.0
2049,2010-01-07,SYK,53.349998,55.25,53.349998,55.360001000000004,4095500.0
2517,2010-01-08,SYK,55.68,55.419998,55.209998999999996,56.119999,3535500.0
2985,2010-01-11,SYK,55.759997999999996,55.25,54.98,55.849998,2164800.0
3453,2010-01-12,SYK,54.700001,55.209998999999996,54.380001,55.380001,2884700.0
3921,2010-01-13,SYK,55.150002,55.470001,55.02,55.639998999999996,1770600.0
4389,2010-01-14,SYK,55.529999,56.02,55.41,56.119999,1627200.0
4857,2010-01-15,SYK,55.98,56.029999,55.43,56.040001000000004,2935500.0
5325,2010-01-19,SYK,56.23,56.959998999999996,56.23,57.389998999999996,2577700.0
5793,2010-01-20,SYK,56.82,55.93,55.59,57.369999,2593100.0
6261,2010-01-21,SYK,55.84,54.73,54.5,55.970001,2411000.0
6729,2010-01-22,SYK,54.450001,54.040001000000004,53.98,55.189999,2588900.0
7197,2010-01-25,SYK,54.27,54.439999,53.810001,54.880001,2314000.0
7665,2010-01-26,SYK,54.299999,54.560001,53.900002,55.040001000000004,2183300.0
8133,2010-01-27,SYK,53.610001000000004,52.91,51.73,53.970001,4063900.0
8601,2010-01-28,SYK,52.959998999999996,52.189999,51.77,53.200001,3360100.0
9069,2010-01-29,SYK,52.43,51.919998,51.599998,52.57,3632400.0
9537,2010-02-01,SYK,52.220001,52.200001,51.599998,52.220001,1323800.0
10005,2010-02-02,SYK,52.34,53.150002,52.060001,53.290001000000004,2113600.0
10473,2010-02-03,SYK,53.02,52.540001000000004,52.419998,53.02,1353700.0
10941,2010-02-04,SYK,52.150002,51.09,51.07,52.189999,4333900.0
11409,2010-02-05,SYK,50.990002000000004,51.060001,49.849998,51.23,3187300.0
11877,2010-02-08,SYK,51.139998999999996,51.43,50.93,51.98,2219000.0
12345,2010-02-09,SYK,51.959998999999996,51.91,51.529999,52.450001,1910200.0
12813,2010-02-10,SYK,51.93,51.619999,51.290001000000004,52.099998,1461600.0
13281,2010-02-11,SYK,51.419998,52.169998,51.150002,52.389998999999996,1778500.0
13749,2010-02-12,SYK,51.66,52.060001,51.369999,52.259997999999996,1657600.0
14217,2010-02-16,SYK,52.25,52.799999,52.060001,52.810001,1362300.0
14685,2010-02-17,SYK,53.0,53.07,52.799999,53.220001,1117900.0
15153,2010-02-18,SYK,53.0,53.240002000000004,52.799999,53.34,1074800.0
15621,2010-02-19,SYK,52.970001,53.16,52.810001,53.43,1227100.0
16089,2010-02-22,SYK,53.360001000000004,53.09,52.959998999999996,53.450001,1255300.0
16557,2010-02-23,SYK,52.91,52.619999,52.450001,53.07,1249300.0
17025,2010-02-24,SYK,52.93,52.889998999999996,52.470001,52.950001,1094700.0
17493,2010-02-25,SYK,52.07,52.84,51.84,52.849998,1332700.0
17961,2010-02-26,SYK,52.98,53.099998,52.75,53.43,1213900.0
18429,2010-03-01,SYK,53.32,53.82,53.290001000000004,54.080002,1031000.0
18897,2010-03-02,SYK,53.939999,54.459998999999996,53.919998,54.77,1092100.0
19365,2010-03-03,SYK,54.560001,54.110001000000004,54.060001,54.779999,1447800.0
19833,2010-03-04,SYK,54.009997999999996,54.049999,53.790001000000004,54.189999,1256500.0
20301,2010-03-05,SYK,54.23,55.040001000000004,54.209998999999996,55.040001000000004,2263400.0
20769,2010-03-08,SYK,55.099998,55.049999,54.950001,55.240002000000004,1357300.0
21237,2010-03-09,SYK,54.93,55.0,54.779999,55.07,1329800.0
21705,2010-03-10,SYK,54.939999,55.290001000000004,54.689999,55.400002,1566300.0
22173,2010-03-11,SYK,55.200001,55.73,54.779999,55.790001000000004,2422700.0
22641,2010-03-12,SYK,55.75,55.23,54.470001,55.75,2085600.0
23109,2010-03-15,SYK,55.360001000000004,55.419998,54.98,55.470001,1033500.0
23577,2010-03-16,SYK,55.549999,55.43,55.060001,55.549999,1059200.0
24045,2010-03-17,SYK,55.439999,56.27,55.330002,56.27,2233000.0
24513,2010-03-18,SYK,56.07,56.66,56.02,56.669998,1597100.0
24981,2010-03-19,SYK,56.639998999999996,56.639998999999996,56.209998999999996,57.09,1804100.0
25449,2010-03-22,SYK,56.209998999999996,56.849998,56.209998999999996,57.25,1847500.0
25917,2010-03-23,SYK,56.869999,57.0,56.209998999999996,57.009997999999996,1365300.0
26385,2010-03-24,SYK,57.889998999999996,57.959998999999996,57.380001,58.240002000000004,2681700.0
26853,2010-03-25,SYK,58.310001,57.68,57.68,58.490002000000004,1713400.0
27321,2010-03-26,SYK,57.669998,56.709998999999996,56.66,57.68,1950700.0
27789,2010-03-29,SYK,56.830002,57.18,56.759997999999996,57.27,1123600.0
28257,2010-03-30,SYK,57.330002,57.509997999999996,57.049999,57.619999,1088000.0
28725,2010-03-31,SYK,57.240002000000004,57.220001,56.82,57.599998,1251000.0
29193,2010-04-01,SYK,57.59,57.650002,57.310001,57.740002000000004,859200.0
29661,2010-04-05,SYK,57.740002000000004,57.849998,57.509997999999996,58.200001,942200.0
30129,2010-04-06,SYK,57.790001000000004,57.779999,57.5,57.900002,875400.0
30597,2010-04-07,SYK,57.810001,57.169998,56.900002,57.93,1416900.0
31065,2010-04-08,SYK,57.189999,57.099998,56.630001,57.200001,1087600.0
31533,2010-04-09,SYK,57.009997999999996,57.639998999999996,57.009997999999996,57.639998999999996,618800.0
32001,2010-04-12,SYK,57.639998999999996,57.639998999999996,57.32,57.950001,1068500.0
32469,2010-04-13,SYK,57.130001,57.18,56.869999,57.560001,1950800.0
32937,2010-04-14,SYK,57.209998999999996,57.709998999999996,56.869999,57.830002,1953300.0
33405,2010-04-15,SYK,58.0,58.09,57.509997999999996,58.369999,1513400.0
33873,2010-04-16,SYK,58.049999,57.240002000000004,56.84,58.25,1842500.0
34341,2010-04-19,SYK,57.029999,57.470001,57.029999,57.509997999999996,1627800.0
34809,2010-04-20,SYK,57.709998999999996,58.450001,57.549999,58.720001,2116500.0
35277,2010-04-21,SYK,57.919998,57.93,57.349998,58.439999,1997600.0
35745,2010-04-22,SYK,57.369999,57.720001,56.759997999999996,57.82,1896300.0
36213,2010-04-23,SYK,57.759997999999996,58.889998999999996,57.150002,59.009997999999996,3247900.0
36681,2010-04-26,SYK,59.130001,58.810001,58.709998999999996,59.720001,2269200.0
37149,2010-04-27,SYK,58.73,57.540001000000004,57.450001,58.93,2400400.0
37618,2010-04-28,SYK,57.52,58.080002,57.310001,58.349998,1907600.0
38087,2010-04-29,SYK,58.360001000000004,58.599998,58.330002,58.98,1302400.0
38556,2010-04-30,SYK,58.849998,57.439999,57.400002,58.93,2093600.0
39025,2010-05-03,SYK,57.599998,58.119999,57.220001,58.369999,2187900.0
39494,2010-05-04,SYK,58.68,57.450001,56.919998,58.779999,3484700.0
39963,2010-05-05,SYK,56.75,57.220001,56.75,57.41,2073000.0
40432,2010-05-06,SYK,56.91,56.25,53.849998,57.279999,4144300.0
40901,2010-05-07,SYK,56.119999,54.119999,53.740002000000004,56.119999,4881200.0
41370,2010-05-10,SYK,56.419998,56.860001000000004,55.560001,56.869999,2755400.0
41839,2010-05-11,SYK,56.299999,56.75,56.09,57.18,1849300.0
42308,2010-05-12,SYK,56.959998999999996,57.220001,56.450001,57.220001,1166700.0
42777,2010-05-13,SYK,57.009997999999996,57.470001,57.009997999999996,57.990002000000004,1787000.0
43246,2010-05-14,SYK,57.709998999999996,56.459998999999996,55.650002,57.709998999999996,3243900.0
43715,2010-05-17,SYK,56.389998999999996,56.560001,55.740002000000004,56.889998999999996,2337500.0
44184,2010-05-18,SYK,57.200001,55.91,55.869999,57.27,1241100.0
44653,2010-05-19,SYK,55.66,55.720001,55.040001000000004,56.380001,2236200.0
45122,2010-05-20,SYK,55.0,53.880001,53.310001,55.0,4533600.0
45591,2010-05-21,SYK,53.23,52.700001,52.18,53.900002,5263400.0
46060,2010-05-24,SYK,52.580002,53.18,52.299999,53.73,2787700.0
46529,2010-05-25,SYK,52.02,52.59,51.220001,52.619999,2327300.0
46998,2010-05-26,SYK,53.040001000000004,52.189999,52.150002,53.369999,2173800.0
47467,2010-05-27,SYK,52.790001000000004,53.470001,52.529999,53.529999,1372900.0
47936,2010-05-28,SYK,53.34,53.029999,52.939999,53.73,1827000.0
48405,2010-06-01,SYK,52.599998,52.419998,52.34,53.34,1737300.0
48874,2010-06-02,SYK,52.540001000000004,53.709998999999996,52.189999,53.709998999999996,1833900.0
49343,2010-06-03,SYK,53.91,54.029999,53.619999,54.349998,1760700.0
49812,2010-06-04,SYK,53.389998999999996,51.970001,51.799999,53.389998999999996,2390700.0
50281,2010-06-07,SYK,51.98,50.619999,50.580002,52.169998,3053600.0
50750,2010-06-08,SYK,50.709998999999996,50.560001,49.91,50.939999,2642000.0
51219,2010-06-09,SYK,50.849998,49.48,49.240002000000004,51.0,4328200.0
51688,2010-06-10,SYK,50.139998999999996,49.360001000000004,48.759997999999996,50.25,4722700.0
52157,2010-06-11,SYK,49.009997999999996,50.59,49.0,50.599998,4198800.0
52626,2010-06-14,SYK,50.75,50.450001,50.439999,51.27,2018900.0
53095,2010-06-15,SYK,50.830002,51.720001,50.68,51.720001,2056200.0
53564,2010-06-16,SYK,51.310001,52.23,51.27,52.380001,2039600.0
54033,2010-06-17,SYK,52.220001,52.040001000000004,51.560001,52.23,1749600.0
54502,2010-06-18,SYK,51.849998,51.82,51.59,52.099998,2019800.0
54971,2010-06-21,SYK,52.240002000000004,51.580002,51.25,52.470001,1814100.0
55440,2010-06-22,SYK,51.73,50.939999,50.93,52.099998,1879700.0
55909,2010-06-23,SYK,51.23,51.139998999999996,50.169998,51.43,2388800.0
56378,2010-06-24,SYK,51.07,50.200001,50.029999,51.16,2361300.0
56847,2010-06-25,SYK,50.259997999999996,50.099998,49.75,50.509997999999996,3624600.0
57316,2010-06-28,SYK,49.799999,51.040001000000004,49.619999,51.439999,2396700.0
57785,2010-06-29,SYK,50.509997999999996,50.16,49.73,50.77,2444400.0
58254,2010-06-30,SYK,49.990002000000004,50.060001,49.740002000000004,50.740002000000004,1995800.0
58723,2010-07-01,SYK,49.799999,49.759997999999996,48.610001000000004,49.889998999999996,2948200.0
59192,2010-07-02,SYK,49.84,49.880001,49.419998,50.23,1897000.0
59661,2010-07-06,SYK,50.200001,50.419998,49.91,50.869999,1592000.0
60130,2010-07-07,SYK,50.540001000000004,52.25,50.5,52.27,1730000.0
60599,2010-07-08,SYK,52.619999,52.48,51.720001,52.669998,2674700.0
61068,2010-07-09,SYK,52.419998,52.380001,52.09,52.599998,962700.0
61537,2010-07-12,SYK,52.27,52.139998999999996,51.790001000000004,52.41,998200.0
62006,2010-07-13,SYK,52.43,53.119999,52.380001,53.25,1171400.0
62475,2010-07-14,SYK,53.009997999999996,53.049999,52.709998999999996,53.290001000000004,1532700.0
62944,2010-07-15,SYK,53.0,52.560001,52.080002,53.099998,1598900.0
63413,2010-07-16,SYK,52.380001,51.200001,51.029999,52.560001,1805800.0
63882,2010-07-19,SYK,51.279999,51.529999,50.799999,51.75,1573700.0
64351,2010-07-20,SYK,50.580002,51.290001000000004,49.23,51.380001,3213900.0
64820,2010-07-21,SYK,49.18,46.75,46.580002,49.75,8511500.0
