,date,symbol,open,close,low,high,volume
647,2010-01-04,SYY,28.200001,28.1,28.0,28.4,2459700.0
1115,2010-01-05,SYY,28.01,27.98,27.82,28.129998999999998,3789000.0
1583,2010-01-06,SYY,27.889999,28.059998999999998,27.76,28.15,2833300.0
2051,2010-01-07,SYY,28.01,28.09,27.75,28.1,3108200.0
2519,2010-01-08,SYY,28.08,27.91,27.780001000000002,28.08,2018500.0
2987,2010-01-11,SYY,28.07,27.85,27.76,28.07,2830600.0
3455,2010-01-12,SYY,27.780001000000002,27.700001,27.58,27.870001000000002,3348500.0
3923,2010-01-13,SYY,27.700001,28.0,27.700001,28.030001000000002,2877100.0
4391,2010-01-14,SYY,28.040001,28.18,27.83,28.219998999999998,2024600.0
4859,2010-01-15,SYY,28.219998999999998,28.129998999999998,27.950001,28.32,2962200.0
5327,2010-01-19,SYY,28.139999,28.389999,28.07,28.5,2373000.0
5795,2010-01-20,SYY,28.209999,28.43,28.07,28.48,3231200.0
6263,2010-01-21,SYY,28.5,27.799999,27.75,28.790001,5674300.0
6731,2010-01-22,SYY,27.799999,27.469998999999998,27.450001,27.950001,3961400.0
7199,2010-01-25,SYY,27.74,27.76,27.549999,27.950001,3723400.0
7667,2010-01-26,SYY,27.59,27.6,27.540001,27.77,2755800.0
8135,2010-01-27,SYY,27.52,27.610001,27.360001,27.639999,3042000.0
8603,2010-01-28,SYY,27.629998999999998,27.540001,27.309998999999998,27.74,2713300.0
9071,2010-01-29,SYY,27.620001000000002,27.99,27.41,28.24,5262400.0
9539,2010-02-01,SYY,29.129998999999998,28.370001000000002,28.120001000000002,29.58,4867300.0
10007,2010-02-02,SYY,28.370001000000002,28.16,27.959999,28.41,3858200.0
10475,2010-02-03,SYY,28.08,27.799999,27.719998999999998,28.08,4014600.0
10943,2010-02-04,SYY,27.6,27.290001,27.290001,27.690001000000002,4725600.0
11411,2010-02-05,SYY,27.200001,27.209999,26.99,27.4,5184200.0
11879,2010-02-08,SYY,27.209999,27.0,27.0,27.360001,3636000.0
12347,2010-02-09,SYY,27.26,27.33,27.200001,27.559998999999998,3986000.0
12815,2010-02-10,SYY,27.280001000000002,27.42,27.1,27.58,2603300.0
13283,2010-02-11,SYY,27.43,27.59,27.16,27.629998999999998,2168700.0
13751,2010-02-12,SYY,27.4,27.540001,27.209999,27.620001000000002,3504300.0
14219,2010-02-16,SYY,27.74,28.18,27.57,28.18,3251500.0
