,date,symbol,open,close,low,high,volume
661,2010-01-04,TSN,12.27,12.24,12.15,12.3,3355000.0
1129,2010-01-05,TSN,12.21,12.47,12.21,12.49,3781300.0
1597,2010-01-06,TSN,12.79,13.1,12.58,13.12,6810500.0
2065,2010-01-07,TSN,13.1,13.33,13.01,13.42,5979200.0
2533,2010-01-08,TSN,13.29,13.3,13.12,13.37,3999300.0
3001,2010-01-11,TSN,13.29,13.12,13.04,13.4,2875700.0
3469,2010-01-12,TSN,13.06,12.97,12.94,13.13,3315600.0
3937,2010-01-13,TSN,13.0,13.31,12.96,13.41,3900600.0
4405,2010-01-14,TSN,13.89,14.04,13.73,14.09,8703500.0
4873,2010-01-15,TSN,14.08,13.89,13.76,14.08,5633700.0
5341,2010-01-19,TSN,13.86,13.99,13.73,14.06,4694600.0
5809,2010-01-20,TSN,13.86,13.9,13.65,13.92,4448900.0
6277,2010-01-21,TSN,13.9,13.65,13.54,13.96,6339100.0
6745,2010-01-22,TSN,13.96,13.77,13.74,14.02,5865600.0
7213,2010-01-25,TSN,13.88,13.89,13.68,14.06,4363300.0
7681,2010-01-26,TSN,13.83,13.98,13.73,14.11,4628700.0
8149,2010-01-27,TSN,13.98,13.78,13.72,14.02,5437200.0
8617,2010-01-28,TSN,13.77,13.79,13.68,13.92,5243100.0
9085,2010-01-29,TSN,13.9,13.82,13.78,14.0,4792900.0
9553,2010-02-01,TSN,13.83,13.99,13.79,13.99,3347400.0
10021,2010-02-02,TSN,14.0,14.27,13.96,14.38,4978000.0
10489,2010-02-03,TSN,14.17,14.35,14.11,14.37,2992000.0
10957,2010-02-04,TSN,14.24,13.99,13.9,14.24,4597900.0
11425,2010-02-05,TSN,14.82,14.65,14.53,15.25,15735700.0
11893,2010-02-08,TSN,14.85,15.09,14.66,15.25,9906700.0
12361,2010-02-09,TSN,15.16,15.41,15.12,15.53,6883200.0
12829,2010-02-10,TSN,15.44,15.53,15.25,15.58,5977000.0
13297,2010-02-11,TSN,15.46,15.96,15.35,16.049999,7058800.0
13765,2010-02-12,TSN,15.89,16.040001,15.63,16.110001,4939400.0
14233,2010-02-16,TSN,16.09,16.440001000000002,15.96,16.58,5945800.0
14701,2010-02-17,TSN,16.49,16.629998999999998,16.23,16.67,7272900.0
15169,2010-02-18,TSN,16.540001,16.9,16.49,16.9,4726300.0
15637,2010-02-19,TSN,16.82,16.950001,16.74,17.07,7229500.0
16105,2010-02-22,TSN,16.790001,16.639999,16.549999,16.84,6349500.0
16573,2010-02-23,TSN,16.65,16.75,16.51,16.799999,5381100.0
17041,2010-02-24,TSN,16.76,16.67,16.610001,16.889999,5659400.0
17509,2010-02-25,TSN,16.469998999999998,17.0,16.450001,17.01,6548700.0
17977,2010-02-26,TSN,16.969998999999998,17.040001,16.85,17.07,4022300.0
18445,2010-03-01,TSN,17.049999,17.17,16.98,17.440001000000002,3946000.0
18913,2010-03-02,TSN,17.24,17.450001,17.18,17.459999,6095700.0
19381,2010-03-03,TSN,17.559998999999998,17.219998999999998,17.18,17.59,7858700.0
19849,2010-03-04,TSN,17.26,17.5,17.1,17.549999,5822200.0
20317,2010-03-05,TSN,17.059998999999998,17.24,17.059998999999998,17.459999,8337500.0
20785,2010-03-08,TSN,17.27,17.620001000000002,17.1,17.629998999999998,4690200.0
