,date,symbol,open,close,low,high,volume
663,2010-01-04,TSS,17.32,17.209999,16.57,17.379998999999998,1795200.0
1131,2010-01-05,TSS,17.190001000000002,17.209999,17.09,17.32,1045700.0
1599,2010-01-06,TSS,17.16,16.889999,16.889999,17.24,1188200.0
2067,2010-01-07,TSS,16.77,16.780001000000002,16.629998999999998,16.91,1276000.0
2535,2010-01-08,TSS,16.780001000000002,17.02,16.620001000000002,17.040001,1409000.0
3003,2010-01-11,TSS,17.129998999999998,17.0,16.950001,17.24,1379400.0
3471,2010-01-12,TSS,16.879998999999998,16.940001000000002,16.860001,17.0,1178900.0
3939,2010-01-13,TSS,16.940001000000002,17.07,16.91,17.1,908700.0
4407,2010-01-14,TSS,17.059998999999998,16.98,16.969998999999998,17.16,921900.0
4875,2010-01-15,TSS,16.84,16.51,16.5,16.9,1871400.0
5343,2010-01-19,TSS,16.540001,17.08,16.51,17.110001,2389500.0
5811,2010-01-20,TSS,16.959999,17.01,16.76,17.18,2451300.0
6279,2010-01-21,TSS,14.9,14.98,14.3,15.13,14303200.0
6747,2010-01-22,TSS,14.84,14.69,14.67,15.09,3385300.0
7215,2010-01-25,TSS,14.44,14.54,14.19,14.56,3738200.0
7683,2010-01-26,TSS,14.57,14.93,14.31,15.1,3071400.0
8151,2010-01-27,TSS,14.83,14.82,14.65,15.05,2165000.0
8619,2010-01-28,TSS,14.86,14.67,14.65,17.75,1782800.0
9087,2010-01-29,TSS,14.77,14.31,14.27,14.77,2901300.0
9555,2010-02-01,TSS,14.34,14.54,14.26,14.55,2124900.0
10023,2010-02-02,TSS,14.58,14.59,14.44,14.66,2043200.0
10491,2010-02-03,TSS,14.57,14.48,14.4,14.68,2010500.0
10959,2010-02-04,TSS,14.63,14.51,14.5,14.99,2991200.0
11427,2010-02-05,TSS,14.49,14.56,14.3,14.63,1754500.0
11895,2010-02-08,TSS,14.26,14.41,14.21,14.59,3489400.0
12363,2010-02-09,TSS,14.57,14.56,14.39,14.65,2639100.0
12831,2010-02-10,TSS,14.56,14.34,14.26,14.57,1734100.0
13299,2010-02-11,TSS,14.35,14.34,14.11,14.39,1610000.0
13767,2010-02-12,TSS,14.26,14.23,14.12,14.26,1039500.0
14235,2010-02-16,TSS,14.27,14.37,14.17,14.41,1249200.0
14703,2010-02-17,TSS,14.44,14.36,14.28,14.44,989100.0
15171,2010-02-18,TSS,14.33,14.37,14.29,14.43,764700.0
15639,2010-02-19,TSS,14.33,14.38,14.2,14.48,1434200.0
16107,2010-02-22,TSS,14.44,14.4,14.37,14.52,1247000.0
16575,2010-02-23,TSS,14.41,14.47,14.3,14.56,1896700.0
17043,2010-02-24,TSS,14.53,14.5,14.43,14.61,1002200.0
17511,2010-02-25,TSS,14.35,14.45,14.15,14.48,1138800.0
17979,2010-02-26,TSS,14.48,14.24,14.21,14.48,2117500.0
18447,2010-03-01,TSS,14.56,14.5,14.29,14.68,2054500.0
18915,2010-03-02,TSS,14.64,14.4,14.38,14.64,2020000.0
19383,2010-03-03,TSS,14.46,14.54,14.46,14.6,1058100.0
19851,2010-03-04,TSS,14.55,14.55,14.5,14.64,917100.0
20319,2010-03-05,TSS,14.65,14.89,14.57,14.89,1044800.0
20787,2010-03-08,TSS,14.89,14.96,14.87,15.02,1078900.0
21255,2010-03-09,TSS,14.92,15.04,14.87,15.1,1050200.0
21723,2010-03-10,TSS,15.02,15.04,14.94,15.07,958800.0
22191,2010-03-11,TSS,15.02,15.09,14.92,15.09,792000.0
22659,2010-03-12,TSS,15.08,15.13,15.01,15.18,1202500.0
23127,2010-03-15,TSS,15.09,15.12,14.99,15.21,1078300.0
23595,2010-03-16,TSS,15.11,15.13,15.05,15.18,916300.0
24063,2010-03-17,TSS,15.13,15.3,15.12,15.37,1466300.0
24531,2010-03-18,TSS,15.25,15.22,15.19,15.34,1339500.0
24999,2010-03-19,TSS,15.16,15.16,15.08,15.4,1897300.0
25467,2010-03-22,TSS,15.12,15.54,15.1,15.65,1601300.0
25935,2010-03-23,TSS,15.6,15.61,15.47,15.65,891500.0
26403,2010-03-24,TSS,15.54,15.47,15.39,15.66,1150500.0
26871,2010-03-25,TSS,15.54,15.47,15.42,15.66,1524000.0
27339,2010-03-26,TSS,15.54,15.61,15.54,15.86,1659600.0
27807,2010-03-29,TSS,15.7,15.73,15.61,15.86,1711800.0
28275,2010-03-30,TSS,15.77,15.92,15.75,15.94,1098600.0
28743,2010-03-31,TSS,15.9,15.66,15.63,15.92,1555000.0
29211,2010-04-01,TSS,15.73,15.83,15.65,15.87,1214300.0
29679,2010-04-05,TSS,15.83,16.030001000000002,15.81,16.040001,868600.0
30147,2010-04-06,TSS,15.93,16.09,15.88,16.280001000000002,2370200.0
30615,2010-04-07,TSS,16.040001,16.110001,16.040001,16.209999,1397500.0
31083,2010-04-08,TSS,16.030001000000002,16.1,15.92,16.129998999999998,1338200.0
31551,2010-04-09,TSS,16.1,16.33,16.030001000000002,16.34,848800.0
32019,2010-04-12,TSS,16.32,16.25,16.190001000000002,16.33,667300.0
32487,2010-04-13,TSS,16.25,16.17,16.17,16.32,1296800.0
32955,2010-04-14,TSS,16.219998999999998,16.41,16.219998999999998,16.450001,1196400.0
33423,2010-04-15,TSS,16.379998999999998,16.49,16.26,16.59,1580800.0
33891,2010-04-16,TSS,16.459999,16.209999,16.200001,16.52,1614900.0
34359,2010-04-19,TSS,16.110001,16.280001000000002,16.07,16.33,1771900.0
34827,2010-04-20,TSS,16.360001,16.5,16.209999,16.5,1878800.0
35295,2010-04-21,TSS,16.91,16.4,16.190001000000002,16.99,3746800.0
35763,2010-04-22,TSS,16.25,16.52,16.17,16.549999,1389300.0
36231,2010-04-23,TSS,16.559998999999998,16.77,16.4,16.77,1212800.0
36699,2010-04-26,TSS,16.709999,16.629998999999998,16.59,16.82,991300.0
37167,2010-04-27,TSS,16.57,16.129998999999998,16.09,16.629998999999998,1844200.0
37636,2010-04-28,TSS,16.16,16.040001,15.97,16.209999,1913100.0
38105,2010-04-29,TSS,16.139999,16.190001000000002,16.09,16.280001000000002,1019900.0
38574,2010-04-30,TSS,16.23,16.01,16.0,16.280001000000002,1811200.0
39043,2010-05-03,TSS,16.139999,15.96,15.81,16.18,2852600.0
39512,2010-05-04,TSS,15.83,15.58,15.5,15.85,1985800.0
39981,2010-05-05,TSS,15.41,15.5,15.41,15.58,2091600.0
40450,2010-05-06,TSS,15.48,15.23,14.59,15.67,5432700.0
