,date,symbol,open,close,low,high,volume
667,2010-01-04,UAA,27.469998999999998,28.08,27.469998999999998,28.1,4284000.0
1135,2010-01-05,UAA,28.030001000000002,28.92,27.73,28.959999,3666400.0
1603,2010-01-06,UAA,29.02,29.559998999999998,28.91,29.59,3821600.0
2071,2010-01-07,UAA,29.51,29.209999,28.969998999999998,29.99,5780800.0
2539,2010-01-08,UAA,29.219998999999998,29.15,28.73,29.450001,6400000.0
3007,2010-01-11,UAA,29.309998999999998,29.09,28.82,29.469998999999998,6161600.0
3475,2010-01-12,UAA,29.6,28.959999,28.700001,29.879998999999998,6319200.0
3943,2010-01-13,UAA,29.299999,29.0,28.84,29.4,3229600.0
4411,2010-01-14,UAA,29.07,28.9,28.67,29.15,5499200.0
4879,2010-01-15,UAA,28.85,27.99,27.82,29.16,4578400.0
5347,2010-01-19,UAA,28.110001,27.139999,27.01,28.370001000000002,9436000.0
5815,2010-01-20,UAA,27.129998999999998,26.68,26.5,27.200001,6938400.0
6283,2010-01-21,UAA,27.540001,27.34,26.99,28.370001000000002,15407200.0
6751,2010-01-22,UAA,27.280001000000002,26.629998999999998,26.5,27.83,8641600.0
7219,2010-01-25,UAA,26.959999,26.540001,26.200001,27.049999,4956000.0
7687,2010-01-26,UAA,26.5,27.42,26.18,28.059998999999998,8334400.0
8155,2010-01-27,UAA,27.32,27.91,27.32,28.209999,9220800.0
8623,2010-01-28,UAA,27.92,26.25,25.92,28.08,14160000.0
9091,2010-01-29,UAA,26.74,25.4,25.370001000000002,26.940001000000002,8784000.0
9559,2010-02-01,UAA,25.799999,25.969998999999998,25.15,26.08,4974400.0
10027,2010-02-02,UAA,26.120001000000002,26.799999,25.73,27.32,10510400.0
10495,2010-02-03,UAA,26.43,25.879998999999998,25.809998999999998,26.610001,5456000.0
10963,2010-02-04,UAA,25.700001,24.450001,24.370001000000002,25.700001,9863200.0
11431,2010-02-05,UAA,24.42,24.440001000000002,23.719998999999998,24.52,10075200.0
11899,2010-02-08,UAA,24.639999,23.940001000000002,23.889999,24.75,5335200.0
12367,2010-02-09,UAA,24.35,24.85,23.889999,25.09,6520800.0
12835,2010-02-10,UAA,24.83,24.540001,24.389999,25.120001000000002,4427200.0
13303,2010-02-11,UAA,24.610001,25.33,24.389999,25.389999,5113600.0
13771,2010-02-12,UAA,25.4,25.280001000000002,24.99,25.4,5303200.0
14239,2010-02-16,UAA,25.450001,25.629998999999998,25.17,25.639999,2821600.0
14707,2010-02-17,UAA,25.65,25.82,25.59,25.959999,2428000.0
15175,2010-02-18,UAA,25.85,25.690001000000002,25.440001000000002,25.85,2324000.0
15643,2010-02-19,UAA,25.6,25.77,25.459999,25.85,2404800.0
16111,2010-02-22,UAA,25.940001000000002,25.940001000000002,25.74,26.23,3177600.0
16579,2010-02-23,UAA,25.940001000000002,25.34,25.16,26.030001000000002,3596000.0
17047,2010-02-24,UAA,25.780001000000002,25.85,25.690001000000002,26.360001,6490400.0
17515,2010-02-25,UAA,25.52,26.09,25.27,26.110001,3859200.0
17983,2010-02-26,UAA,26.17,26.059998999999998,25.780001000000002,26.27,2902400.0
18451,2010-03-01,UAA,26.16,26.84,26.0,26.85,3281600.0
18919,2010-03-02,UAA,27.16,26.959999,26.68,27.17,3778400.0
19387,2010-03-03,UAA,27.0,26.75,26.549999,27.129998999999998,4318400.0
19855,2010-03-04,UAA,26.860001,26.690001000000002,26.43,26.99,1950400.0
20323,2010-03-05,UAA,26.879998999999998,28.139999,26.709999,28.450001,6939200.0
20791,2010-03-08,UAA,28.190001000000002,28.17,28.129998999999998,28.67,3035200.0
21259,2010-03-09,UAA,28.200001,28.41,28.17,28.889999,4067200.0
21727,2010-03-10,UAA,28.379998999999998,29.0,28.18,29.17,4709600.0
22195,2010-03-11,UAA,28.860001,29.18,28.129998999999998,29.209999,6637600.0
22663,2010-03-12,UAA,29.25,28.4,28.299999,29.280001000000002,6032000.0
23131,2010-03-15,UAA,28.360001,28.18,27.83,28.48,3158400.0
