,date,symbol,open,close,low,high,volume
677,2010-01-04,URI,9.92,10.04,9.79,10.13,1692500.0
1145,2010-01-05,URI,10.04,9.93,9.8,10.04,1459200.0
1613,2010-01-06,URI,9.9,9.93,9.69,9.97,1072900.0
2081,2010-01-07,URI,9.87,9.8,9.73,9.98,2052800.0
2549,2010-01-08,URI,9.78,9.58,9.52,9.85,1399000.0
3017,2010-01-11,URI,9.61,9.3,9.29,9.65,1570800.0
3485,2010-01-12,URI,9.3,9.14,8.97,9.32,1666600.0
3953,2010-01-13,URI,9.16,8.96,8.85,9.21,3644500.0
4421,2010-01-14,URI,8.97,8.98,8.87,9.0,1102000.0
4889,2010-01-15,URI,9.03,9.14,8.91,9.15,1683000.0
5357,2010-01-19,URI,9.19,9.28,9.1,9.33,1929300.0
5825,2010-01-20,URI,9.2,9.25,9.0,9.28,1465700.0
6293,2010-01-21,URI,9.28,8.8,8.73,9.28,2489400.0
6761,2010-01-22,URI,8.73,8.49,8.45,8.87,4160800.0
7229,2010-01-25,URI,8.56,8.62,8.36,8.75,3592100.0
7697,2010-01-26,URI,8.59,8.5,8.43,8.77,1005900.0
8165,2010-01-27,URI,8.49,8.34,8.26,8.51,2403900.0
8633,2010-01-28,URI,8.34,8.33,8.18,8.44,2354300.0
9101,2010-01-29,URI,8.3,8.01,8.01,8.43,1727100.0
9569,2010-02-01,URI,8.06,8.38,8.05,8.44,1465500.0
10037,2010-02-02,URI,8.37,8.46,8.25,8.61,1937000.0
10505,2010-02-03,URI,8.42,8.31,8.15,8.5,1484000.0
10973,2010-02-04,URI,8.18,7.38,7.29,8.2,4219100.0
11441,2010-02-05,URI,7.33,7.38,7.13,7.43,2973700.0
11909,2010-02-08,URI,7.38,7.41,7.25,7.53,2475700.0
12377,2010-02-09,URI,7.54,7.54,7.34,7.81,1831000.0
12845,2010-02-10,URI,7.5,7.28,7.18,7.6,1747300.0
13313,2010-02-11,URI,7.25,7.08,7.03,7.3,2456200.0
13781,2010-02-12,URI,7.03,7.07,6.99,7.1,1658700.0
14249,2010-02-16,URI,7.14,7.14,7.03,7.2,1078700.0
14717,2010-02-17,URI,7.15,7.16,7.02,7.21,981700.0
15185,2010-02-18,URI,7.14,7.02,6.93,7.17,1175100.0
15653,2010-02-19,URI,6.96,7.03,6.87,7.06,2765200.0
16121,2010-02-22,URI,7.09,7.44,6.99,7.46,2207600.0
16589,2010-02-23,URI,7.44,7.29,7.24,7.47,991200.0
17057,2010-02-24,URI,7.3,7.36,7.25,7.46,1566200.0
17525,2010-02-25,URI,7.23,7.28,7.03,7.32,1366600.0
17993,2010-02-26,URI,7.27,7.55,7.21,7.6,1162300.0
18461,2010-03-01,URI,7.57,7.8,7.56,7.97,1881800.0
18929,2010-03-02,URI,7.86,8.02,7.8,8.15,2345000.0
19397,2010-03-03,URI,8.04,7.76,7.67,8.19,1627000.0
19865,2010-03-04,URI,7.73,7.87,7.68,7.93,714000.0
20333,2010-03-05,URI,8.0,8.28,7.92,8.31,1420600.0
20801,2010-03-08,URI,8.29,8.18,8.11,8.35,633600.0
21269,2010-03-09,URI,8.11,8.39,8.11,8.49,939300.0
21737,2010-03-10,URI,8.38,8.5,8.29,8.64,1249500.0
22205,2010-03-11,URI,8.29,8.47,8.11,8.52,556800.0
22673,2010-03-12,URI,8.48,8.42,8.26,8.5,528700.0
23141,2010-03-15,URI,8.34,8.25,8.13,8.42,713100.0
23609,2010-03-16,URI,8.29,8.25,8.17,8.31,330800.0
24077,2010-03-17,URI,8.25,8.25,8.17,8.33,567900.0
24545,2010-03-18,URI,8.25,8.14,8.11,8.3,396600.0
25013,2010-03-19,URI,7.96,7.96,7.94,8.28,836200.0
25481,2010-03-22,URI,7.88,7.97,7.83,8.15,879000.0
25949,2010-03-23,URI,8.0,8.39,8.0,8.41,1027100.0
26417,2010-03-24,URI,8.35,8.46,8.25,8.49,1103400.0
26885,2010-03-25,URI,8.52,8.41,8.41,8.7,1027800.0
27353,2010-03-26,URI,8.37,8.4,8.31,8.65,695100.0
27821,2010-03-29,URI,8.5,9.0,8.41,9.1,2384100.0
28289,2010-03-30,URI,9.05,9.4,9.02,9.44,3247300.0
28757,2010-03-31,URI,9.37,9.38,9.17,9.62,1734600.0
29225,2010-04-01,URI,9.51,9.27,9.26,9.56,1442000.0
29693,2010-04-05,URI,9.3,9.6,9.26,9.64,1275300.0
30161,2010-04-06,URI,9.56,9.74,9.48,9.8,2087900.0
30629,2010-04-07,URI,9.65,9.83,9.65,10.0,1754900.0
31097,2010-04-08,URI,9.69,9.82,9.39,9.86,2041300.0
31565,2010-04-09,URI,9.83,10.46,9.76,10.48,3694700.0
32033,2010-04-12,URI,10.37,10.2,10.16,10.45,1985800.0
32501,2010-04-13,URI,10.22,10.47,10.12,10.54,1783000.0
32969,2010-04-14,URI,10.5,10.78,10.42,10.84,1508000.0
33437,2010-04-15,URI,10.71,10.94,10.71,11.05,2356000.0
33905,2010-04-16,URI,10.86,10.63,10.53,11.02,1306700.0
34373,2010-04-19,URI,10.53,10.73,10.53,10.8,1309700.0
34841,2010-04-20,URI,10.77,10.73,10.54,10.93,2109700.0
35309,2010-04-21,URI,10.75,10.7,10.35,10.76,1882300.0
35777,2010-04-22,URI,10.65,12.51,10.45,12.61,6920000.0
36245,2010-04-23,URI,12.49,13.14,12.42,13.35,3902600.0
36713,2010-04-26,URI,13.08,13.82,13.08,13.94,3153400.0
37181,2010-04-27,URI,13.75,13.22,13.13,13.95,3916900.0
37650,2010-04-28,URI,13.35,13.3,13.12,13.83,1827400.0
38119,2010-04-29,URI,13.33,14.46,13.33,14.69,4978600.0
38588,2010-04-30,URI,14.44,14.36,14.33,14.79,2752800.0
39057,2010-05-03,URI,14.48,14.59,14.31,14.7,1403700.0
39526,2010-05-04,URI,14.27,13.9,13.7,14.27,2395700.0
39995,2010-05-05,URI,13.59,13.3,13.14,13.8,2699200.0
40464,2010-05-06,URI,13.13,12.58,11.37,13.6,1824200.0
