,date,symbol,open,close,low,high,volume
679,2010-01-04,UTX,70.209999,71.629997,69.860001,71.860001,6104100.0
1147,2010-01-05,UTX,71.639999,70.559998,70.279999,71.639999,5004900.0
1615,2010-01-06,UTX,70.559998,70.190002,70.029999,70.83000200000001,4726900.0
2083,2010-01-07,UTX,70.010002,70.489998,69.57,70.620003,4264400.0
2551,2010-01-08,UTX,70.260002,70.629997,70.25,70.699997,4654800.0
3019,2010-01-11,UTX,70.730003,72.160004,70.730003,72.260002,5530000.0
3487,2010-01-12,UTX,71.800003,71.739998,71.059998,71.949997,4672000.0
3955,2010-01-13,UTX,71.82,72.559998,71.790001,72.660004,4877100.0
4423,2010-01-14,UTX,72.239998,72.809998,72.120003,72.849998,3551300.0
4891,2010-01-15,UTX,72.83000200000001,71.989998,71.68,72.93,5343300.0
5359,2010-01-19,UTX,71.989998,72.290001,71.639999,72.940002,3680700.0
5827,2010-01-20,UTX,72.010002,71.43,70.629997,72.239998,3673200.0
6295,2010-01-21,UTX,71.449997,70.129997,69.75,71.849998,5111300.0
6763,2010-01-22,UTX,69.870003,69.08000200000001,69.0,70.290001,5814000.0
7231,2010-01-25,UTX,69.510002,68.589996,68.559998,69.510002,4999400.0
7699,2010-01-26,UTX,68.0,68.470001,67.800003,68.860001,4996400.0
8167,2010-01-27,UTX,67.260002,67.610001,66.5,67.849998,7690700.0
8635,2010-01-28,UTX,67.690002,67.370003,66.550003,67.83000200000001,5578700.0
9103,2010-01-29,UTX,67.389999,67.480003,66.639999,68.489998,7232100.0
9571,2010-02-01,UTX,67.760002,67.550003,67.199997,67.970001,4916700.0
10039,2010-02-02,UTX,67.889999,68.029999,67.690002,68.43,6129300.0
10507,2010-02-03,UTX,67.82,68.239998,67.699997,68.43,4151000.0
10975,2010-02-04,UTX,67.870003,66.379997,66.339996,67.949997,5983200.0
11443,2010-02-05,UTX,66.379997,66.5,65.050003,67.0,7825300.0
11911,2010-02-08,UTX,66.279999,65.400002,65.309998,66.33000200000001,5260400.0
12379,2010-02-09,UTX,66.199997,66.519997,65.709999,67.110001,5277500.0
12847,2010-02-10,UTX,66.519997,66.639999,66.110001,66.93,4933100.0
13315,2010-02-11,UTX,66.360001,66.709999,65.860001,66.849998,5504100.0
13783,2010-02-12,UTX,65.900002,65.690002,65.010002,66.260002,7957400.0
14251,2010-02-16,UTX,66.059998,66.33000200000001,65.559998,66.43,6291000.0
14719,2010-02-17,UTX,66.300003,67.349998,65.82,67.529999,5988500.0
15187,2010-02-18,UTX,67.529999,68.110001,67.41999799999999,68.290001,4124800.0
15655,2010-02-19,UTX,68.239998,68.519997,68.110001,68.900002,5296100.0
16123,2010-02-22,UTX,68.839996,68.400002,68.129997,68.91999799999999,3311300.0
16591,2010-02-23,UTX,68.379997,67.790001,67.720001,68.75,4152300.0
17059,2010-02-24,UTX,68.190002,68.620003,67.790001,68.699997,4842400.0
17527,2010-02-25,UTX,67.57,68.66999799999999,67.050003,68.699997,5920600.0
17995,2010-02-26,UTX,68.66999799999999,68.650002,68.139999,68.980003,3973200.0
18463,2010-03-01,UTX,68.839996,69.639999,68.839996,69.800003,3703200.0
18931,2010-03-02,UTX,69.889999,69.75,69.639999,70.0,5956300.0
19399,2010-03-03,UTX,69.839996,69.599998,69.43,70.379997,4835600.0
19867,2010-03-04,UTX,69.660004,70.370003,69.639999,70.790001,5651700.0
20335,2010-03-05,UTX,70.57,71.25,70.57,71.309998,4057400.0
20803,2010-03-08,UTX,71.190002,70.760002,70.760002,71.41999799999999,4018500.0
21271,2010-03-09,UTX,71.510002,71.779999,71.160004,72.25,5560500.0
21739,2010-03-10,UTX,71.970001,71.790001,71.379997,72.220001,4901800.0
22207,2010-03-11,UTX,71.949997,72.040001,71.260002,72.040001,4983700.0
