,date,symbol,open,close,low,high,volume
683,2010-01-04,VIAB,30.059998999999998,29.98,29.799999,30.280001000000002,3132800.0
1151,2010-01-05,VIAB,29.98,30.040001,29.549999,30.059998999999998,4322700.0
1619,2010-01-06,VIAB,29.92,29.889999,29.809998999999998,30.360001,3614300.0
2087,2010-01-07,VIAB,29.93,30.200001,29.52,30.4,6299000.0
2555,2010-01-08,VIAB,30.15,30.040001,29.75,30.15,1765000.0
3023,2010-01-11,VIAB,30.02,30.18,29.76,30.24,3337500.0
3491,2010-01-12,VIAB,30.01,29.48,29.15,30.059998999999998,4338500.0
3959,2010-01-13,VIAB,29.65,29.67,29.33,29.780001000000002,2656700.0
4427,2010-01-14,VIAB,29.58,29.969998999999998,29.57,30.02,2870200.0
4895,2010-01-15,VIAB,29.93,29.450001,29.110001,29.969998999999998,4406000.0
5363,2010-01-19,VIAB,29.469998999999998,30.799999,29.469998999999998,30.9,5845900.0
5831,2010-01-20,VIAB,30.59,30.709999,30.34,30.82,4803400.0
6299,2010-01-21,VIAB,30.67,30.370001000000002,30.27,31.200001,5270200.0
6767,2010-01-22,VIAB,30.219998999999998,29.57,29.43,30.219998999999998,4483300.0
7235,2010-01-25,VIAB,29.85,29.299999,29.24,30.0,2770500.0
7703,2010-01-26,VIAB,29.209999,29.4,29.01,29.73,2583500.0
8171,2010-01-27,VIAB,29.49,29.25,29.030001000000002,29.68,2227000.0
8639,2010-01-28,VIAB,29.389999,29.0,28.73,29.58,2724900.0
9107,2010-01-29,VIAB,29.09,29.139999,28.98,29.74,4553200.0
9575,2010-02-01,VIAB,29.41,29.290001,29.110001,29.74,4157600.0
10043,2010-02-02,VIAB,29.32,29.68,28.5,29.76,4167900.0
10511,2010-02-03,VIAB,29.58,30.309998999999998,29.58,30.99,5797000.0
10979,2010-02-04,VIAB,30.040001,29.129998999999998,29.129998999999998,30.040001,4898600.0
11447,2010-02-05,VIAB,29.08,28.43,27.9,29.18,6303200.0
11915,2010-02-08,VIAB,28.48,27.92,27.889999,28.610001,5014000.0
12383,2010-02-09,VIAB,28.360001,28.75,28.17,29.030001000000002,7182300.0
12851,2010-02-10,VIAB,28.610001,28.549999,28.18,28.9,4393300.0
