,date,symbol,open,close,low,high,volume
693,2010-01-04,WBA,37.009997999999996,37.299999,36.639998999999996,37.299999,8171000.0
1161,2010-01-05,WBA,37.099998,37.0,36.619999,37.16,10843200.0
1629,2010-01-06,WBA,36.16,36.720001,35.919998,37.290001000000004,8945400.0
2097,2010-01-07,WBA,36.689999,36.939999,36.470001,37.0,5040700.0
2565,2010-01-08,WBA,36.919998,36.990002000000004,36.650002,37.07,6139800.0
3033,2010-01-11,WBA,37.0,37.049999,36.900002,37.139998999999996,4947500.0
3501,2010-01-12,WBA,36.84,36.740002000000004,36.599998,36.970001,4646300.0
3969,2010-01-13,WBA,36.650002,37.080002,36.599998,37.16,4526600.0
4437,2010-01-14,WBA,37.16,37.110001000000004,36.880001,37.25,5686500.0
4905,2010-01-15,WBA,36.93,36.599998,36.459998999999996,37.049999,8691800.0
5373,2010-01-19,WBA,36.619999,36.740002000000004,36.360001000000004,36.869999,5621700.0
5841,2010-01-20,WBA,36.599998,36.950001,36.509997999999996,37.049999,5939000.0
6309,2010-01-21,WBA,37.150002,36.450001,36.220001,37.27,7951700.0
6777,2010-01-22,WBA,36.310001,35.990002000000004,35.970001,36.799999,6976400.0
7245,2010-01-25,WBA,36.220001,36.669998,35.98,36.869999,6138000.0
7713,2010-01-26,WBA,36.549999,36.169998,36.110001000000004,36.700001,6565500.0
8181,2010-01-27,WBA,36.150002,36.700001,36.099998,36.830002,6706500.0
8649,2010-01-28,WBA,36.75,36.400002,36.369999,37.0,5611100.0
9117,2010-01-29,WBA,36.52,36.049999,36.0,37.060001,8441900.0
9585,2010-02-01,WBA,36.290001000000004,36.380001,36.009997999999996,36.41,6073200.0
10053,2010-02-02,WBA,36.349998,36.779999,36.220001,36.84,7675600.0
10521,2010-02-03,WBA,36.0,34.619999,34.23,36.189999,23408700.0
10989,2010-02-04,WBA,34.720001,33.450001,33.439999,35.099998,17080600.0
11457,2010-02-05,WBA,33.450001,33.310001,33.0,33.68,12632300.0
11925,2010-02-08,WBA,33.900002,33.290001000000004,33.27,33.900002,11686000.0
12393,2010-02-09,WBA,33.549999,33.610001000000004,33.41,33.84,7249200.0
