,date,symbol,open,close,low,high,volume
698,2010-01-04,WHR,81.379997,81.949997,80.5,82.230003,1010100.0
1166,2010-01-05,WHR,81.91999799999999,81.779999,80.559998,81.949997,1209300.0
1634,2010-01-06,WHR,81.730003,81.059998,80.870003,82.440002,1335100.0
2102,2010-01-07,WHR,81.730003,82.800003,81.059998,83.489998,1567300.0
2570,2010-01-08,WHR,82.43,84.559998,82.43,84.730003,1357200.0
3038,2010-01-11,WHR,84.82,84.019997,83.879997,85.16999799999999,848100.0
3506,2010-01-12,WHR,83.239998,82.349998,81.550003,83.239998,852600.0
3974,2010-01-13,WHR,83.07,83.07,82.029999,83.360001,721300.0
4442,2010-01-14,WHR,82.809998,83.16999799999999,82.75,84.0,592500.0
4910,2010-01-15,WHR,83.139999,82.300003,81.949997,83.849998,728600.0
5378,2010-01-19,WHR,82.0,82.639999,81.339996,82.690002,703800.0
5846,2010-01-20,WHR,82.25,81.360001,80.019997,82.25,981200.0
6314,2010-01-21,WHR,81.25,78.83000200000001,78.099998,81.589996,1368200.0
6782,2010-01-22,WHR,78.16999799999999,77.57,75.940002,78.959999,2366900.0
7250,2010-01-25,WHR,79.339996,76.720001,76.029999,79.389999,1076100.0
7718,2010-01-26,WHR,76.349998,76.099998,75.349998,77.449997,996300.0
8186,2010-01-27,WHR,75.790001,75.879997,74.540001,76.370003,848700.0
8654,2010-01-28,WHR,76.050003,75.68,74.75,76.879997,1024900.0
9122,2010-01-29,WHR,76.120003,75.18,74.870003,76.980003,1282300.0
9590,2010-02-01,WHR,75.629997,76.059998,75.33000200000001,76.32,1160200.0
10058,2010-02-02,WHR,78.860001,82.230003,78.849998,83.269997,5826000.0
10526,2010-02-03,WHR,81.260002,82.08000200000001,80.58000200000001,82.57,2072800.0
10994,2010-02-04,WHR,80.93,78.629997,78.379997,81.059998,2354100.0
11462,2010-02-05,WHR,78.449997,76.120003,73.300003,79.099998,2661100.0
11930,2010-02-08,WHR,76.190002,75.610001,74.25,77.379997,1987600.0
12398,2010-02-09,WHR,76.800003,77.879997,75.18,78.230003,1725000.0
12866,2010-02-10,WHR,77.949997,77.639999,76.379997,78.709999,1134600.0
13334,2010-02-11,WHR,77.93,80.339996,77.389999,80.480003,1273100.0
13802,2010-02-12,WHR,79.029999,81.16999799999999,79.029999,81.25,1163000.0
14270,2010-02-16,WHR,80.370003,82.309998,79.690002,82.389999,1473700.0
14738,2010-02-17,WHR,82.199997,83.059998,82.029999,83.209999,975500.0
15206,2010-02-18,WHR,82.889999,84.559998,82.029999,84.849998,1501500.0
15674,2010-02-19,WHR,83.93,84.66999799999999,83.93,85.139999,1175900.0
16142,2010-02-22,WHR,84.900002,84.519997,84.129997,85.120003,1336600.0
16610,2010-02-23,WHR,84.010002,82.91999799999999,82.410004,84.529999,1211700.0
17078,2010-02-24,WHR,83.019997,83.550003,81.849998,83.650002,1121100.0
17546,2010-02-25,WHR,82.089996,83.610001,82.059998,83.790001,1205500.0
18014,2010-02-26,WHR,83.540001,84.160004,82.989998,84.440002,1013700.0
18482,2010-03-01,WHR,84.5,85.889999,83.66999799999999,85.91999799999999,884200.0
18950,2010-03-02,WHR,86.349998,86.379997,85.910004,86.940002,961600.0
19418,2010-03-03,WHR,86.489998,86.690002,86.089996,87.519997,884900.0
19886,2010-03-04,WHR,86.809998,85.5,85.309998,86.959999,1046200.0
20354,2010-03-05,WHR,86.190002,86.66999799999999,85.800003,86.989998,796600.0
20822,2010-03-08,WHR,86.839996,86.870003,86.260002,87.220001,838400.0
21290,2010-03-09,WHR,86.769997,87.25,86.540001,88.08000200000001,998900.0
