,date,symbol,open,close,low,high,volume
702,2010-01-04,WU,19.1,19.09,19.049999,19.24,4277900.0
1170,2010-01-05,WU,19.15,19.01,18.77,19.15,3914900.0
1638,2010-01-06,WU,18.889999,19.0,18.870001000000002,19.049999,4207900.0
2106,2010-01-07,WU,18.92,19.610001,18.85,19.73,8256900.0
2574,2010-01-08,WU,19.6,19.799999,19.459999,19.809998999999998,5673900.0
3042,2010-01-11,WU,19.959999,19.969998999999998,19.74,19.99,5324200.0
3510,2010-01-12,WU,19.870001000000002,19.85,19.41,19.91,5087200.0
3978,2010-01-13,WU,19.92,20.129998999999998,19.889999,20.26,5782200.0
4446,2010-01-14,WU,20.08,19.879998999999998,19.74,20.08,3248600.0
4914,2010-01-15,WU,19.940001000000002,19.530001000000002,19.49,19.940001000000002,4712600.0
5382,2010-01-19,WU,19.5,19.860001,19.4,19.860001,5510000.0
5850,2010-01-20,WU,19.709999,19.5,19.35,19.709999,5009000.0
6318,2010-01-21,WU,19.57,19.43,19.309998999999998,19.75,6601200.0
6786,2010-01-22,WU,19.4,18.799999,18.66,19.469998999999998,8153700.0
7254,2010-01-25,WU,19.110001,18.629998999999998,18.5,19.110001,4601800.0
7722,2010-01-26,WU,18.459999,18.309998999999998,18.24,18.629998999999998,6389800.0
8190,2010-01-27,WU,18.25,18.35,18.190001000000002,18.450001,5930200.0
8658,2010-01-28,WU,18.459999,18.25,18.15,18.51,5696400.0
9126,2010-01-29,WU,18.440001000000002,18.540001,18.32,18.84,6724300.0
9594,2010-02-01,WU,18.66,18.58,18.4,18.700001,6174400.0
10062,2010-02-02,WU,18.59,18.85,18.52,18.879998999999998,5609400.0
10530,2010-02-03,WU,17.07,17.17,16.700001,18.209999,50847200.0
10998,2010-02-04,WU,16.799999,16.540001,16.219998999999998,16.889999,34294500.0
11466,2010-02-05,WU,16.43,16.5,15.85,16.540001,16719900.0
11934,2010-02-08,WU,16.530001000000002,16.16,16.139999,16.549999,14785800.0
12402,2010-02-09,WU,16.35,16.139999,15.93,16.51,19461200.0
12870,2010-02-10,WU,16.139999,16.440001000000002,16.01,16.6,15728500.0
13338,2010-02-11,WU,16.299999,16.16,16.1,16.41,15781600.0
13806,2010-02-12,WU,16.139999,16.120001000000002,15.96,16.32,10303100.0
14274,2010-02-16,WU,16.360001,16.5,16.120001000000002,16.6,9555700.0
14742,2010-02-17,WU,16.51,16.4,16.4,16.709999,4641900.0
15210,2010-02-18,WU,16.4,16.459999,16.389999,16.52,4625700.0
15678,2010-02-19,WU,16.389999,16.35,16.27,16.459999,6963200.0
16146,2010-02-22,WU,16.379998999999998,16.18,16.120001000000002,16.4,8705700.0
16614,2010-02-23,WU,16.290001,16.040001,16.040001,16.32,7570700.0
17082,2010-02-24,WU,16.129998999999998,16.0,15.96,16.17,7906700.0
17550,2010-02-25,WU,15.85,15.96,15.71,16.040001,8671700.0
18018,2010-02-26,WU,16.01,15.78,15.72,16.02,7390900.0
18486,2010-03-01,WU,15.88,16.0,15.76,16.07,7732200.0
18954,2010-03-02,WU,16.280001000000002,15.84,15.81,16.290001,8930400.0
19422,2010-03-03,WU,15.91,15.71,15.71,15.99,7149800.0
19890,2010-03-04,WU,15.77,16.02,15.68,16.1,9927800.0
20358,2010-03-05,WU,16.16,16.309998999999998,16.02,16.34,6846600.0
20826,2010-03-08,WU,16.34,16.219998999999998,16.18,16.370001000000002,5737000.0
21294,2010-03-09,WU,16.18,16.33,16.040001,16.370001000000002,9019600.0
21762,2010-03-10,WU,16.35,16.51,16.15,16.540001,9640700.0
22230,2010-03-11,WU,16.48,16.77,16.4,16.83,7827000.0
22698,2010-03-12,WU,16.860001,16.91,16.690001000000002,16.92,5575800.0
23166,2010-03-15,WU,16.860001,16.709999,16.59,16.889999,8710300.0
23634,2010-03-16,WU,16.440001000000002,16.24,16.17,16.809998999999998,15668000.0
24102,2010-03-17,WU,16.299999,16.799999,16.25,16.85,10028200.0
24570,2010-03-18,WU,16.84,16.799999,16.65,16.870001000000002,6454200.0
25038,2010-03-19,WU,16.66,16.66,16.57,16.93,7976000.0
25506,2010-03-22,WU,16.58,16.91,16.58,16.959999,6188800.0
25974,2010-03-23,WU,16.92,17.059998999999998,16.9,17.17,6867700.0
26442,2010-03-24,WU,17.02,16.879998999999998,16.799999,17.040001,5866000.0
26910,2010-03-25,WU,17.040001,16.969998999999998,16.940001000000002,17.23,12780900.0
27378,2010-03-26,WU,17.08,17.049999,16.92,17.08,5075900.0
27846,2010-03-29,WU,17.16,17.190001000000002,17.1,17.26,3781400.0
28314,2010-03-30,WU,17.25,17.0,16.91,17.27,5273800.0
28782,2010-03-31,WU,16.98,16.959999,16.9,17.09,7401800.0
29250,2010-04-01,WU,17.1,17.059998999999998,16.940001000000002,17.4,6969000.0
29718,2010-04-05,WU,17.129998999999998,17.370001000000002,17.08,17.459999,6680700.0
30186,2010-04-06,WU,17.35,17.5,17.35,17.65,7567600.0
30654,2010-04-07,WU,17.41,17.24,17.18,17.58,6621700.0
31122,2010-04-08,WU,17.209999,17.41,17.120001000000002,17.51,6274300.0
31590,2010-04-09,WU,17.4,17.49,17.34,17.549999,5384000.0
32058,2010-04-12,WU,17.51,17.469998999999998,17.43,17.76,5273900.0
32526,2010-04-13,WU,17.370001000000002,17.49,17.299999,17.540001,4556900.0
32994,2010-04-14,WU,17.58,17.639999,17.440001000000002,17.73,5907000.0
33462,2010-04-15,WU,17.610001,17.530001000000002,17.5,17.73,5581700.0
33930,2010-04-16,WU,17.48,17.24,17.15,17.58,5843500.0
34398,2010-04-19,WU,17.17,17.299999,17.17,17.43,6909400.0
34866,2010-04-20,WU,17.4,17.4,17.27,17.459999,5264100.0
35334,2010-04-21,WU,17.370001000000002,17.440001000000002,17.299999,17.459999,6088000.0
35802,2010-04-22,WU,17.25,17.450001,17.23,17.5,8236200.0
36270,2010-04-23,WU,17.42,17.780001000000002,17.370001000000002,17.780001000000002,5103100.0
36738,2010-04-26,WU,17.870001000000002,17.91,17.809998999999998,18.23,14884800.0
37206,2010-04-27,WU,18.85,19.0,18.85,19.57,32835800.0
37675,2010-04-28,WU,19.02,18.620001000000002,18.360001,19.09,15051500.0
38144,2010-04-29,WU,18.700001,18.68,18.450001,18.940001000000002,8554400.0
38613,2010-04-30,WU,18.67,18.25,18.209999,18.790001,11664200.0
39082,2010-05-03,WU,18.4,18.219998999999998,18.18,18.459999,7609800.0
39551,2010-05-04,WU,18.030001000000002,17.780001000000002,17.610001,18.030001000000002,11105400.0
40020,2010-05-05,WU,17.6,17.58,17.459999,17.889999,5456200.0
40489,2010-05-06,WU,17.459999,17.219998999999998,16.299999,17.65,15012300.0
40958,2010-05-07,WU,17.15,16.549999,16.35,17.26,15320700.0
41427,2010-05-10,WU,17.24,17.24,17.09,17.379998999999998,11335900.0
41896,2010-05-11,WU,17.16,16.790001,16.6,17.16,9176000.0
42365,2010-05-12,WU,16.84,17.059998999999998,16.75,17.129998999999998,7515700.0
42834,2010-05-13,WU,16.98,17.01,16.98,17.26,8497100.0
43303,2010-05-14,WU,16.940001000000002,16.639999,16.530001000000002,17.01,11157600.0
43772,2010-05-17,WU,16.67,16.620001000000002,16.35,16.92,9021300.0
44241,2010-05-18,WU,16.790001,16.190001000000002,16.15,16.9,9670500.0
44710,2010-05-19,WU,16.26,16.049999,16.02,16.370001000000002,14244400.0
45179,2010-05-20,WU,15.74,15.47,15.38,15.95,11139000.0
45648,2010-05-21,WU,15.2,15.9,15.2,15.92,11210300.0
46117,2010-05-24,WU,15.8,15.58,15.58,15.89,5774600.0
46586,2010-05-25,WU,15.25,15.69,15.15,15.7,9238400.0
47055,2010-05-26,WU,15.74,15.66,15.6,16.07,10637400.0
47524,2010-05-27,WU,15.91,16.26,15.82,16.280001000000002,7301900.0
47993,2010-05-28,WU,16.27,15.96,15.9,16.32,5441800.0
48462,2010-06-01,WU,15.86,15.69,15.68,16.1,8407600.0
48931,2010-06-02,WU,15.8,15.76,15.66,15.86,8887600.0
49400,2010-06-03,WU,15.82,16.15,15.79,16.16,6867200.0
49869,2010-06-04,WU,15.76,15.63,15.59,16.0,10025100.0
50338,2010-06-07,WU,15.73,15.31,15.27,15.82,9292000.0
50807,2010-06-08,WU,15.39,15.44,15.1,15.44,8890500.0
51276,2010-06-09,WU,15.5,15.51,15.35,15.79,6681500.0
51745,2010-06-10,WU,15.72,16.07,15.72,16.08,6589200.0
52214,2010-06-11,WU,15.87,16.09,15.87,16.1,5209200.0
52683,2010-06-14,WU,16.24,15.93,15.91,16.309998999999998,5244500.0
53152,2010-06-15,WU,16.1,16.379998999999998,16.07,16.379998999999998,8854800.0
53621,2010-06-16,WU,16.26,16.23,16.1,16.35,4842600.0
54090,2010-06-17,WU,16.309998999999998,16.27,16.110001,16.34,3056400.0
54559,2010-06-18,WU,16.23,16.200001,16.15,16.35,4736500.0
55028,2010-06-21,WU,16.4,16.0,15.92,16.5,4443300.0
55497,2010-06-22,WU,16.0,15.78,15.76,16.08,4789200.0
55966,2010-06-23,WU,15.71,15.8,15.51,15.89,4536000.0
56435,2010-06-24,WU,15.73,15.53,15.48,15.8,7002200.0
56904,2010-06-25,WU,15.6,16.0,15.42,16.040001,12492200.0
57373,2010-06-28,WU,16.09,15.74,15.74,16.1,4645900.0
57842,2010-06-29,WU,15.53,14.94,14.83,15.53,11026500.0
58311,2010-06-30,WU,15.01,14.91,14.87,15.12,8062000.0
58780,2010-07-01,WU,14.91,15.03,14.65,15.11,8920700.0
59249,2010-07-02,WU,15.15,14.9,14.83,15.22,5878900.0
59718,2010-07-06,WU,15.17,15.06,14.93,15.44,4962800.0
60187,2010-07-07,WU,15.14,15.79,15.14,15.85,9701900.0
60656,2010-07-08,WU,15.86,15.63,15.49,15.95,8551200.0
61125,2010-07-09,WU,15.67,15.87,15.55,15.88,4157000.0
61594,2010-07-12,WU,15.79,15.9,15.72,15.97,3624900.0
62063,2010-07-13,WU,16.0,16.0,15.79,16.08,8550000.0
62532,2010-07-14,WU,16.030001000000002,15.96,15.81,16.030001000000002,3785500.0
63001,2010-07-15,WU,15.94,15.98,15.68,16.030001000000002,6341700.0
