,date,symbol,open,close,low,high,volume
710,2010-01-04,XOM,68.720001,69.150002,68.190002,69.260002,27809100.0
1178,2010-01-05,XOM,69.190002,69.41999799999999,68.800003,69.449997,30174700.0
1646,2010-01-06,XOM,69.449997,70.019997,69.339996,70.599998,35044700.0
2114,2010-01-07,XOM,69.900002,69.800003,69.41999799999999,70.059998,27192100.0
2582,2010-01-08,XOM,69.690002,69.519997,69.220001,69.75,24891800.0
3050,2010-01-11,XOM,69.940002,70.300003,69.650002,70.519997,30685000.0
3518,2010-01-12,XOM,69.720001,69.949997,69.519997,69.989998,31496700.0
3986,2010-01-13,XOM,69.959999,69.66999799999999,69.260002,70.040001,24884400.0
4454,2010-01-14,XOM,69.540001,69.68,69.349998,69.739998,18630800.0
4922,2010-01-15,XOM,69.650002,69.110001,68.650002,69.690002,29411900.0
5390,2010-01-19,XOM,68.739998,69.269997,68.41999799999999,69.349998,26081900.0
5858,2010-01-20,XOM,68.559998,68.029999,67.93,68.660004,34629500.0
6326,2010-01-21,XOM,68.120003,66.699997,66.5,68.150002,39114000.0
6794,2010-01-22,XOM,66.519997,66.099998,66.0,67.139999,39085500.0
7262,2010-01-25,XOM,66.550003,65.849998,65.690002,66.760002,29305100.0
7730,2010-01-26,XOM,65.639999,65.91999799999999,65.5,66.739998,34083300.0
8198,2010-01-27,XOM,65.660004,65.540001,65.0,66.059998,35723500.0
8666,2010-01-28,XOM,65.849998,64.959999,64.57,65.849998,37349800.0
9134,2010-01-29,XOM,65.150002,64.43,64.019997,65.82,40880500.0
9602,2010-02-01,XOM,65.769997,66.18,65.349998,66.410004,37703000.0
10070,2010-02-02,XOM,66.730003,66.959999,66.470001,67.120003,34057900.0
10538,2010-02-03,XOM,66.879997,66.599998,66.559998,67.230003,24024700.0
11006,2010-02-04,XOM,66.269997,64.720001,64.68,66.349998,33858200.0
11474,2010-02-05,XOM,64.699997,64.800003,63.560001,64.900002,42297500.0
11942,2010-02-08,XOM,64.910004,64.349998,64.339996,65.489998,30519400.0
12410,2010-02-09,XOM,65.110001,65.199997,64.559998,65.709999,36243300.0
12878,2010-02-10,XOM,65.08000200000001,64.849998,64.160004,65.220001,21699100.0
13346,2010-02-11,XOM,64.690002,65.239998,64.410004,65.480003,23555200.0
13814,2010-02-12,XOM,64.620003,64.800003,64.279999,65.139999,30636200.0
14282,2010-02-16,XOM,65.440002,66.279999,65.08000200000001,66.379997,30514900.0
14750,2010-02-17,XOM,66.339996,65.760002,65.57,66.449997,21821800.0
15218,2010-02-18,XOM,65.800003,65.959999,65.349998,66.089996,22536700.0
15686,2010-02-19,XOM,65.589996,65.870003,65.43,66.239998,24264600.0
16154,2010-02-22,XOM,66.099998,65.400002,65.25,66.120003,20469700.0
16622,2010-02-23,XOM,65.260002,64.940002,64.150002,65.559998,33372900.0
17090,2010-02-24,XOM,65.010002,65.550003,64.769997,65.870003,21469600.0
17558,2010-02-25,XOM,64.610001,65.139999,64.370003,65.16999799999999,25668800.0
18026,2010-02-26,XOM,65.260002,65.0,64.91999799999999,65.400002,20129700.0
18494,2010-03-01,XOM,65.360001,65.400002,65.089996,65.540001,18798600.0
18962,2010-03-02,XOM,65.660004,65.489998,65.150002,65.790001,24823900.0
19430,2010-03-03,XOM,65.769997,65.43,65.379997,65.970001,22279800.0
19898,2010-03-04,XOM,65.349998,65.400002,65.08000200000001,65.629997,21961100.0
20366,2010-03-05,XOM,65.959999,66.470001,65.779999,66.519997,26837900.0
20834,2010-03-08,XOM,66.769997,66.480003,66.230003,66.790001,20297200.0
21302,2010-03-09,XOM,66.32,66.779999,66.220001,67.190002,29003100.0
21770,2010-03-10,XOM,67.160004,67.220001,66.779999,67.41999799999999,24810300.0
22238,2010-03-11,XOM,67.389999,67.220001,66.980003,67.559998,19357400.0
22706,2010-03-12,XOM,67.58000200000001,66.800003,66.5,67.58000200000001,23361800.0
23174,2010-03-15,XOM,66.66999799999999,66.300003,65.900002,66.690002,22070000.0
23642,2010-03-16,XOM,66.550003,66.57,66.0,66.68,35103700.0
24110,2010-03-17,XOM,66.910004,67.360001,66.800003,67.790001,38770000.0
24578,2010-03-18,XOM,67.5,67.389999,67.010002,67.739998,25925500.0
25046,2010-03-19,XOM,67.040001,67.040001,66.43,67.889999,45564200.0
25514,2010-03-22,XOM,66.489998,66.970001,66.32,67.199997,21390600.0
25982,2010-03-23,XOM,66.940002,66.949997,66.449997,66.980003,24754700.0
26450,2010-03-24,XOM,66.57,66.5,66.230003,66.860001,19748800.0
26918,2010-03-25,XOM,66.809998,66.300003,66.239998,66.91999799999999,21095600.0
27386,2010-03-26,XOM,66.440002,66.540001,66.16999799999999,66.879997,30553400.0
27854,2010-03-29,XOM,66.660004,67.300003,66.589996,67.480003,26122200.0
28322,2010-03-30,XOM,67.190002,67.050003,66.790001,67.300003,17745900.0
28790,2010-03-31,XOM,66.940002,66.980003,66.599998,67.190002,22352500.0
29258,2010-04-01,XOM,67.269997,67.610001,67.190002,67.800003,19614700.0
29726,2010-04-05,XOM,67.839996,68.190002,67.720001,68.360001,20901100.0
30194,2010-04-06,XOM,67.989998,67.900002,67.800003,68.349998,19776800.0
30662,2010-04-07,XOM,67.83000200000001,67.339996,66.970001,67.849998,24531500.0
31130,2010-04-08,XOM,67.010002,67.860001,66.849998,68.220001,24060800.0
31598,2010-04-09,XOM,68.110001,68.760002,68.07,68.980003,21099600.0
32066,2010-04-12,XOM,68.800003,68.709999,68.58000200000001,69.050003,18170300.0
32534,2010-04-13,XOM,68.470001,68.660004,68.07,68.760002,19177100.0
33002,2010-04-14,XOM,68.720001,68.610001,68.360001,68.82,18777800.0
33470,2010-04-15,XOM,68.5,68.260002,68.150002,68.720001,16712900.0
33938,2010-04-16,XOM,68.120003,67.93,67.709999,68.699997,33855100.0
34406,2010-04-19,XOM,67.75,68.230003,67.57,68.440002,25686000.0
34874,2010-04-20,XOM,68.620003,68.970001,68.5,69.220001,22989500.0
35342,2010-04-21,XOM,69.0,68.91999799999999,68.57,69.43,21119200.0
35810,2010-04-22,XOM,68.519997,68.559998,68.220001,68.730003,21654700.0
36278,2010-04-23,XOM,68.5,69.239998,68.18,69.269997,24340000.0
36746,2010-04-26,XOM,69.029999,69.290001,68.93,69.529999,18237100.0
37214,2010-04-27,XOM,69.010002,68.269997,68.199997,70.0,36374700.0
37683,2010-04-28,XOM,68.870003,69.190002,68.610001,69.540001,33243500.0
38152,2010-04-29,XOM,68.449997,68.660004,68.239998,69.660004,47200900.0
38621,2010-04-30,XOM,68.900002,67.769997,67.730003,69.309998,43762100.0
39090,2010-05-03,XOM,68.110001,67.839996,67.18,68.220001,30734900.0
39559,2010-05-04,XOM,67.150002,66.470001,66.0,67.260002,31646100.0
40028,2010-05-05,XOM,65.940002,66.16999799999999,65.83000200000001,66.940002,30260300.0
40497,2010-05-06,XOM,65.790001,63.889998999999996,58.459998999999996,66.230003,58336300.0
40966,2010-05-07,XOM,64.5,63.700001,63.23,64.91999799999999,69004800.0
41435,2010-05-10,XOM,65.41999799999999,65.230003,64.519997,65.75,38337600.0
41904,2010-05-11,XOM,64.620003,64.459999,64.230003,65.0,29790600.0
42373,2010-05-12,XOM,64.639999,64.910004,64.5,65.339996,25390700.0
42842,2010-05-13,XOM,64.870003,64.739998,64.32,65.269997,26791600.0
43311,2010-05-14,XOM,64.5,63.599998,62.91,64.730003,38815400.0
43780,2010-05-17,XOM,63.740002000000004,63.27,62.259997999999996,63.880001,31923700.0
44249,2010-05-18,XOM,64.050003,62.790001000000004,62.419998,64.269997,34457000.0
44718,2010-05-19,XOM,62.459998999999996,62.450001,62.0,62.939999,36722500.0
45187,2010-05-20,XOM,61.470001,60.330002,60.209998999999996,61.68,57194500.0
45656,2010-05-21,XOM,59.16,60.880001,59.16,60.950001,52802900.0
46125,2010-05-24,XOM,60.740002000000004,60.189999,60.130001,61.0,27847800.0
46594,2010-05-25,XOM,58.990002000000004,59.709998999999996,58.459998999999996,59.779999,50533800.0
47063,2010-05-26,XOM,60.080002,59.310001,59.119999,60.459998999999996,34028900.0
47532,2010-05-27,XOM,60.5,61.459998999999996,60.099998,61.549999,31911500.0
48001,2010-05-28,XOM,61.209998999999996,60.459998999999996,60.279999,61.669998,32078700.0
48470,2010-06-01,XOM,60.380001,59.25,59.139998999999996,60.860001000000004,32972000.0
48939,2010-06-02,XOM,59.509997999999996,60.77,59.23,60.799999,28668400.0
49408,2010-06-03,XOM,61.23,61.560001,60.599998,62.009997999999996,32383700.0
49877,2010-06-04,XOM,60.740002000000004,59.529999,59.290001000000004,61.049999,45019200.0
50346,2010-06-07,XOM,59.98,59.299999,59.200001,60.41,28389500.0
50815,2010-06-08,XOM,59.619999,61.240002000000004,59.380001,61.439999,48460700.0
51284,2010-06-09,XOM,61.580002,60.029999,59.82,61.599998,31693200.0
51753,2010-06-10,XOM,61.5,61.889998999999996,61.16,62.0,33020100.0
52222,2010-06-11,XOM,61.68,61.860001000000004,61.18,61.919998,21227100.0
52691,2010-06-14,XOM,62.060001,61.369999,61.32,62.459998999999996,24667800.0
53160,2010-06-15,XOM,61.889998999999996,62.509997999999996,61.490002000000004,62.57,24532600.0
53629,2010-06-16,XOM,61.970001,62.509997999999996,61.900002,62.619999,20652700.0
54098,2010-06-17,XOM,62.419998,62.599998,61.950001,62.700001,23310200.0
54567,2010-06-18,XOM,62.779999,63.099998,62.400002,63.369999,32747000.0
55036,2010-06-21,XOM,64.099998,63.130001,62.849998,64.5,24877600.0
55505,2010-06-22,XOM,63.130001,61.939999,61.790001000000004,63.200001,26147000.0
55974,2010-06-23,XOM,61.709998999999996,61.099998,60.900002,62.259997999999996,38058900.0
56443,2010-06-24,XOM,60.82,60.07,59.869999,61.200001,34188500.0
56912,2010-06-25,XOM,60.150002,59.099998,59.099998,60.240002000000004,118023500.0
57381,2010-06-28,XOM,59.310001,58.470001,58.470001,59.389998999999996,43013000.0
57850,2010-06-29,XOM,58.0,57.290001000000004,57.0,58.09,52525000.0
58319,2010-06-30,XOM,57.330002,57.07,56.919998,57.73,43944900.0
58788,2010-07-01,XOM,56.98,56.610001000000004,56.169998,57.27,47746400.0
59257,2010-07-02,XOM,56.849998,56.57,55.939999,56.990002000000004,32767900.0
59726,2010-07-06,XOM,57.169998,57.459998999999996,56.77,57.59,36912100.0
60195,2010-07-07,XOM,57.369999,58.43,57.259997999999996,58.450001,41797200.0
60664,2010-07-08,XOM,59.130001,58.810001,58.130001,59.200001,40430300.0
61133,2010-07-09,XOM,58.759997999999996,58.779999,58.299999,59.009997999999996,25976500.0
61602,2010-07-12,XOM,58.290001000000004,58.939999,58.200001,58.939999,23515000.0
62071,2010-07-13,XOM,59.599998,59.419998,59.040001000000004,59.720001,30514200.0
62540,2010-07-14,XOM,59.220001,59.259997999999996,58.619999,59.34,26061100.0
63009,2010-07-15,XOM,59.360001000000004,59.27,58.59,59.490002000000004,24737300.0
63478,2010-07-16,XOM,58.84,57.959998999999996,57.810001,59.110001000000004,35805700.0
63947,2010-07-19,XOM,58.330002,58.43,58.099998,58.740002000000004,20960000.0
64416,2010-07-20,XOM,57.68,58.950001,57.669998,58.990002000000004,23807300.0
64885,2010-07-21,XOM,59.130001,58.169998,57.599998,59.130001,26859700.0
65354,2010-07-22,XOM,58.709998999999996,59.380001,58.66,59.790001000000004,27051400.0
65823,2010-07-23,XOM,59.259997999999996,59.720001,58.799999,59.810001,19281400.0
66292,2010-07-26,XOM,59.700001,60.389998999999996,59.630001,60.439999,20236500.0
66761,2010-07-27,XOM,60.619999,60.810001,60.389998999999996,60.900002,22400800.0
67230,2010-07-28,XOM,60.73,60.91,60.73,61.27,23511100.0
67699,2010-07-29,XOM,61.419998,60.34,60.290001000000004,61.880001,33763000.0
68168,2010-07-30,XOM,60.150002,59.68,59.599998,60.509997999999996,29354600.0
68637,2010-08-02,XOM,60.639998999999996,61.939999,60.610001000000004,62.040001000000004,28144000.0
69106,2010-08-03,XOM,61.98,62.720001,61.880001,62.990002000000004,31075800.0
69575,2010-08-04,XOM,62.860001000000004,62.720001,62.27,62.889998999999996,21033800.0
70044,2010-08-05,XOM,62.279999,62.709998999999996,61.849998,62.709998999999996,19985300.0
70513,2010-08-06,XOM,61.919998,61.970001,61.25,62.5,23097300.0
70982,2010-08-09,XOM,62.560001,62.450001,62.18,62.669998,14731300.0
71451,2010-08-10,XOM,61.849998,61.93,61.450001,62.169998,23188500.0
71920,2010-08-11,XOM,60.549999,60.389998999999996,60.200001,60.66,24281300.0
72389,2010-08-12,XOM,59.700001,60.23,59.560001,60.560001,16951300.0
72858,2010-08-13,XOM,59.959998999999996,59.91,59.799999,60.450001,14651300.0
73327,2010-08-16,XOM,59.599998,59.880001,59.25,60.25,14301100.0
73796,2010-08-17,XOM,60.490002000000004,60.82,60.139998999999996,61.16,20122200.0
74265,2010-08-18,XOM,60.669998,60.150002,59.630001,60.720001,20071500.0
74734,2010-08-19,XOM,59.93,59.290001000000004,58.900002,60.060001,21174500.0
75203,2010-08-20,XOM,59.02,58.889998999999996,58.549999,59.07,21008800.0
75672,2010-08-23,XOM,58.970001,59.5,58.900002,60.049999,21337700.0
76141,2010-08-24,XOM,58.959998999999996,58.939999,58.790001000000004,59.450001,25679100.0
76610,2010-08-25,XOM,58.689999,58.91,58.419998,59.400002,20944000.0
77079,2010-08-26,XOM,59.360001000000004,58.48,58.330002,59.5,22320900.0
77548,2010-08-27,XOM,58.720001,59.799999,58.049999,59.959998999999996,28279500.0
78017,2010-08-30,XOM,59.560001,59.0,58.959998999999996,59.900002,16265100.0
78486,2010-08-31,XOM,58.75,59.110001000000004,58.5,59.540001000000004,26985400.0
78955,2010-09-01,XOM,60.040001000000004,60.91,59.720001,60.959998999999996,26286200.0
79424,2010-09-02,XOM,60.490002000000004,61.060001,60.369999,61.060001,18662600.0
79893,2010-09-03,XOM,61.200001,61.32,60.75,61.599998,21982900.0
80362,2010-09-07,XOM,60.889998999999996,60.549999,60.450001,61.07,19435700.0
80831,2010-09-08,XOM,60.66,60.75,60.630001,61.259997999999996,17380600.0
81300,2010-09-09,XOM,61.5,61.049999,60.91,61.59,16525200.0
81769,2010-09-10,XOM,61.380001,61.200001,60.950001,61.48,14488400.0
82238,2010-09-13,XOM,61.389998999999996,61.0,60.540001000000004,61.52,23141800.0
82707,2010-09-14,XOM,60.84,61.009997999999996,60.75,61.34,17977500.0
83176,2010-09-15,XOM,60.759997999999996,61.0,60.360001000000004,61.029999,18769900.0
83645,2010-09-16,XOM,60.849998,60.970001,60.450001,60.990002000000004,16432500.0
84114,2010-09-17,XOM,61.189999,60.779999,60.630001,61.299999,26447200.0
84583,2010-09-20,XOM,61.040001000000004,61.549999,60.950001,61.82,21788100.0
85052,2010-09-21,XOM,61.650002,61.540001000000004,61.25,61.900002,20525200.0
85521,2010-09-22,XOM,61.560001,61.450001,61.41,62.0,18207700.0
85990,2010-09-23,XOM,60.990002000000004,61.150002,60.900002,61.57,18097800.0
86459,2010-09-24,XOM,61.509997999999996,61.75,61.360001000000004,62.130001,25145300.0
86928,2010-09-27,XOM,61.990002000000004,61.709998999999996,61.68,62.080002,16642800.0
87397,2010-09-28,XOM,61.630001,62.060001,61.27,62.259997999999996,18806700.0
87866,2010-09-29,XOM,61.77,61.59,61.27,62.02,21158000.0
88335,2010-09-30,XOM,61.950001,61.790001000000004,61.470001,62.439999,25460200.0
88804,2010-10-01,XOM,62.32,62.540001000000004,61.799999,62.580002,24160200.0
89273,2010-10-04,XOM,62.52,62.189999,61.84,62.73,16902500.0
89742,2010-10-05,XOM,62.59,63.259997999999996,62.43,63.400002,25185400.0
90211,2010-10-06,XOM,63.18,63.939999,63.18,63.939999,21645200.0
90680,2010-10-07,XOM,63.959998999999996,63.849998,63.369999,64.0,19468400.0
91149,2010-10-08,XOM,63.810001,64.379997,63.630001,64.529999,22370500.0
91618,2010-10-11,XOM,64.360001,64.550003,64.309998,64.809998,13848900.0
92087,2010-10-12,XOM,64.309998,64.699997,63.93,64.889999,20732000.0
92556,2010-10-13,XOM,64.839996,65.040001,64.57,65.290001,22560500.0
93025,2010-10-14,XOM,65.050003,65.300003,64.870003,65.449997,17778100.0
93494,2010-10-15,XOM,65.639999,65.190002,64.82,65.650002,25500700.0
93963,2010-10-18,XOM,65.190002,66.279999,65.029999,66.540001,22481700.0
94432,2010-10-19,XOM,65.589996,65.120003,64.589996,66.040001,25367400.0
94901,2010-10-20,XOM,65.470001,66.010002,65.349998,66.389999,20543900.0
95370,2010-10-21,XOM,66.290001,66.32,65.650002,66.800003,21291200.0
95839,2010-10-22,XOM,66.510002,66.339996,66.129997,66.550003,13332800.0
96308,2010-10-25,XOM,66.68,66.199997,66.160004,66.809998,16516600.0
96777,2010-10-26,XOM,65.959999,66.529999,65.809998,66.57,17652900.0
97246,2010-10-27,XOM,65.949997,65.66999799999999,65.089996,65.989998,23358900.0
97715,2010-10-28,XOM,66.43,66.220001,66.050003,66.699997,20464200.0
98184,2010-10-29,XOM,66.099998,66.489998,65.989998,66.559998,19265600.0
98653,2010-11-01,XOM,66.720001,66.949997,66.629997,67.209999,22372700.0
99122,2010-11-02,XOM,67.32,67.839996,67.209999,68.25,26192200.0
99591,2010-11-03,XOM,68.230003,67.970001,67.32,68.269997,26545300.0
100060,2010-11-04,XOM,68.400002,69.379997,68.290001,69.599998,31221400.0
100529,2010-11-05,XOM,69.440002,70.0,69.400002,70.0,26531700.0
100998,2010-11-08,XOM,69.489998,70.32,69.459999,70.41999799999999,23628000.0
101467,2010-11-09,XOM,70.290001,70.629997,70.099998,71.110001,33938100.0
101936,2010-11-10,XOM,70.959999,71.129997,70.150002,71.160004,25482400.0
102405,2010-11-11,XOM,71.0,71.83000200000001,70.730003,71.900002,23788900.0
102874,2010-11-12,XOM,71.379997,70.989998,70.43,71.400002,24598100.0
