,date,symbol,open,close,low,high,volume
712,2010-01-04,XRX,8.54,8.63,8.47,8.76,13472700.0
1180,2010-01-05,XRX,8.63,8.64,8.56,8.65,8579300.0
1648,2010-01-06,XRX,8.64,8.56,8.54,8.67,6941700.0
2116,2010-01-07,XRX,8.53,8.6,8.51,8.62,11880200.0
2584,2010-01-08,XRX,8.58,8.57,8.51,8.64,6482500.0
3052,2010-01-11,XRX,8.62,8.78,8.57,8.84,13900400.0
3520,2010-01-12,XRX,8.68,8.85,8.68,8.91,18706200.0
3988,2010-01-13,XRX,8.88,8.95,8.81,8.97,11117400.0
4456,2010-01-14,XRX,8.91,8.89,8.85,9.0,9249700.0
4924,2010-01-15,XRX,8.85,8.84,8.79,8.89,11527200.0
5392,2010-01-19,XRX,8.83,9.02,8.79,9.04,17863000.0
5860,2010-01-20,XRX,8.92,8.89,8.73,8.95,20787000.0
6328,2010-01-21,XRX,9.16,9.28,9.13,9.48,44240100.0
6796,2010-01-22,XRX,9.19,8.97,8.91,9.27,21866600.0
7264,2010-01-25,XRX,9.03,8.89,8.86,9.11,14668100.0
7732,2010-01-26,XRX,8.87,8.86,8.72,8.94,10855700.0
8200,2010-01-27,XRX,8.83,8.89,8.71,8.91,18320200.0
8668,2010-01-28,XRX,8.88,8.82,8.78,8.95,18055100.0
9136,2010-01-29,XRX,8.9,8.72,8.71,8.91,22324400.0
9604,2010-02-01,XRX,8.75,8.97,8.73,8.97,14442700.0
10072,2010-02-02,XRX,8.98,9.13,8.93,9.16,24610200.0
10540,2010-02-03,XRX,9.09,8.99,8.97,9.17,13122500.0
11008,2010-02-04,XRX,8.98,8.65,8.63,9.04,24839100.0
11476,2010-02-05,XRX,8.55,8.47,8.35,8.6,36423600.0
11944,2010-02-08,XRX,8.39,8.45,8.25,8.51,12811700.0
12412,2010-02-09,XRX,8.53,8.38,8.2,8.55,27285300.0
12880,2010-02-10,XRX,8.39,8.45,8.37,8.54,10699600.0
13348,2010-02-11,XRX,8.47,8.76,8.4,8.81,23186600.0
13816,2010-02-12,XRX,8.6,8.77,8.54,8.88,13527800.0
14284,2010-02-16,XRX,8.7,8.86,8.69,8.9,9919500.0
14752,2010-02-17,XRX,8.9,8.92,8.8,9.03,13713700.0
15220,2010-02-18,XRX,8.93,9.17,8.87,9.19,17983200.0
15688,2010-02-19,XRX,9.11,9.2,9.09,9.27,14373900.0
16156,2010-02-22,XRX,9.3,9.24,9.19,9.31,12534200.0
16624,2010-02-23,XRX,9.22,9.1,9.04,9.23,7947400.0
17092,2010-02-24,XRX,9.16,9.25,9.09,9.26,10582500.0
17560,2010-02-25,XRX,9.12,9.29,9.1,9.31,11735000.0
18028,2010-02-26,XRX,9.29,9.37,9.21,9.4,11007800.0
18496,2010-03-01,XRX,9.38,9.55,9.38,9.58,12528600.0
18964,2010-03-02,XRX,9.54,9.5,9.44,9.6,11579200.0
19432,2010-03-03,XRX,9.6,9.52,9.5,9.7,10315800.0
19900,2010-03-04,XRX,9.61,9.54,9.4,9.64,15502600.0
20368,2010-03-05,XRX,9.62,9.87,9.58,9.9,13873400.0
20836,2010-03-08,XRX,9.9,9.91,9.88,10.07,13831300.0
21304,2010-03-09,XRX,9.7,9.74,9.67,9.88,9199200.0
21772,2010-03-10,XRX,9.78,9.85,9.69,9.87,12324300.0
22240,2010-03-11,XRX,9.79,10.0,9.76,10.0,13069300.0
22708,2010-03-12,XRX,10.0,9.89,9.81,10.0,13891300.0
23176,2010-03-15,XRX,9.85,10.02,9.83,10.05,14334200.0
23644,2010-03-16,XRX,10.11,10.09,10.01,10.17,12826700.0
24112,2010-03-17,XRX,10.11,9.9,9.85,10.12,18152100.0
24580,2010-03-18,XRX,9.93,9.86,9.75,9.93,12103800.0
25048,2010-03-19,XRX,9.57,9.57,9.52,9.94,17805500.0
25516,2010-03-22,XRX,9.51,9.87,9.45,9.89,14269700.0
25984,2010-03-23,XRX,9.92,10.11,9.79,10.12,14926700.0
26452,2010-03-24,XRX,10.04,9.86,9.85,10.06,8812800.0
26920,2010-03-25,XRX,9.93,9.62,9.62,9.99,12810100.0
27388,2010-03-26,XRX,9.67,9.7,9.64,9.84,7236800.0
27856,2010-03-29,XRX,9.65,9.73,9.63,9.75,7063400.0
28324,2010-03-30,XRX,9.65,9.69,9.63,9.77,6246800.0
28792,2010-03-31,XRX,9.7,9.75,9.6,9.78,11630500.0
29260,2010-04-01,XRX,9.81,9.99,9.78,10.0,10197200.0
29728,2010-04-05,XRX,10.0,10.38,9.9,10.4,17407600.0
30196,2010-04-06,XRX,10.37,10.27,10.18,10.37,11745000.0
30664,2010-04-07,XRX,10.19,10.16,10.0,10.29,12542600.0
31132,2010-04-08,XRX,10.1,10.42,9.94,10.43,14986900.0
31600,2010-04-09,XRX,10.42,10.44,10.34,10.5,14624500.0
32068,2010-04-12,XRX,10.51,10.49,10.41,10.55,7891500.0
32536,2010-04-13,XRX,10.39,10.45,10.38,10.5,18826200.0
33004,2010-04-14,XRX,10.41,10.55,10.38,10.62,12570200.0
33472,2010-04-15,XRX,10.55,10.49,10.4,10.55,12931700.0
33940,2010-04-16,XRX,10.43,10.32,10.27,10.54,15697700.0
34408,2010-04-19,XRX,10.28,10.71,10.18,10.77,24903200.0
34876,2010-04-20,XRX,10.74,10.74,10.56,11.07,19474400.0
35344,2010-04-21,XRX,10.8,10.6,10.55,10.89,13640600.0
35812,2010-04-22,XRX,10.49,10.45,10.21,10.57,14026600.0
36280,2010-04-23,XRX,11.3,11.32,10.78,11.72,79286000.0
36748,2010-04-26,XRX,11.12,11.35,11.1,11.49,27920300.0
37216,2010-04-27,XRX,11.31,10.81,10.78,11.31,24956600.0
37685,2010-04-28,XRX,10.88,11.1,10.75,11.22,23734300.0
38154,2010-04-29,XRX,11.24,11.22,10.99,11.27,18561900.0
