"","date","A.csv","AAL.csv","AAP.csv","AAPL.csv","ABC.csv","ABT.csv"
"1","2010-01-04",22.38912804,4.77,40.380001,30.5728568571,26.629999,26.1298844898
"2","2010-01-05",22.1459234621,5.31,40.139999,30.6257132857,26.440001,25.9187734494
"3","2010-01-06",22.067239628,5.09,40.490002,30.1385707143,26.190001,26.0627134494
"4","2010-01-07",22.0386258941,5.24,40.48,30.0828571428,25.77,26.2786229696
"5","2010-01-08",22.0314735336,5.14,40.639999,30.2828578571,26.049999,26.4129669696
"6","2010-01-11",22.0457804006,5.04,40.240002,30.0157147143,26.34,26.5473109696
"7","2010-01-12",21.7811165951,5.08,39.540001,29.6742858571,26.52,26.4705424898
"8","2010-01-13",21.9527889843,5.48,40.09,30.0928574285,27.040001,26.5281194494
"9","2010-01-14",22.2818319027,5.59,39.560001,29.9185714285,27.209999,26.5569069696
"10","2010-01-15",21.7668097282,5.5,39.310001,29.4185714285,26.92,26.62407801
"11","2010-01-19",22.0314735336,5.64,39.5,30.7199992857,27.370001,26.96473601
"12","2010-01-20",21.9098719599,5.74,39.16,30.2471428571,27.139999,26.9839275302
"13","2010-01-21",21.8311881259,5.46,39.23,29.7242851428,26.58,26.6576644898
"14","2010-01-22",20.8655221745,5.24,39.740002,28.25,26.66,26.1538749696
"15","2010-01-25",21.0658090129,5.22,40.5,29.0100002857,27.110001,26.2450369696
"16","2010-01-26",20.9513590844,5.05,40.549999,29.4200001428,27.440001,26.1394804898
"17","2010-01-27",20.8655221745,4.86,40.59,29.6971435714,27.26,25.8611964898
"18","2010-01-28",20.522174535,5.14,39.77,28.4699992857,27.280001,25.8851869696
"19","2010-01-29",20.0500715307,5.31,39.450001,27.4371432857,27.26,25.4005894494
"20","2010-02-01",20.8369105865,5.6,40.490002,27.8185711428,27.75,25.5925084898
"21","2010-02-02",21.1015736767,5.96,41.189999,27.9799995714,28.549999,26.1202884898
"22","2010-02-03",21.13018598,5.66,41.189999,28.4614277143,28.32,26.22104601
"23","2010-02-04",20.7939914163,5.49,40.93,27.4357147143,27.42,25.8228129696
"24","2010-02-05",20.8655221745,5.89,40.720001,27.9228572857,27.01,25.8947829696
"25","2010-02-08",20.8869821173,5.93,40.810001,27.7314281428,26.950001,25.5973074494
"26","2010-02-09",21.037195279,6.44,41.57,28.0271434285,27.16,25.5973074494
"27","2010-02-10",20.9227467811,6.31,42.330002,27.8742867143,27.190001,25.5541249696
"28","2010-02-11",21.0014306152,6.32,42.549999,28.3814277143,27.52,25.6884689696
"29","2010-02-12",21.4449213162,6.81,42.810001,28.6257132857,27.35,25.8755914494
"30","2010-02-16",21.6380536481,6.88,42.630001,29.0571422857,27.57,26.1922584898
"31","2010-02-17",21.9098719599,6.8,42.880001,28.9357147143,27.59,26.2690274494
"32","2010-02-18",22.1602288984,6.73,40.150002,28.9899997143,27.860001,26.37458201
"33","2010-02-19",22.3175965665,6.93,40,28.8099994285,28.139999,26.0915009696
"34","2010-02-22",22.2818319027,7.02,40.240002,28.6314277143,27.889999,26.1010969696
"35","2010-02-23",22.067239628,7.09,40.220001,28.1514282857,27.75,25.8947829696
